;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;335;94;96;12;2;139;8;10,12;0;4,55;0,13;0;1,84;00:03:34;0,04;1,36;3,44;0,63;41,34;28,5;0;2,21;5,58;0,05;0;0,05;95,9;56,43;0;
BIANCU;323;90;52;9;2;132;7,66;9,68;0;4,76;0;0;0,94;00:03:34;0;1,47;2,76;0,76;40,98;16,25;0;4;5;0;0;0;52,5;55,98;0;
DALLA BERNARDINA ;338;95;117;14;4;145;8,25;12,47;0;5,96;0,75;0;3,5;00:03:34;0,22;1,76;4,07;1,26;42,89;34,62;0;0;4;0;0;0;117,12;59,34;0;
DEMARCUS ;325;91;94;10;2;136;7,73;9,59;0;3,75;0;0;0,85;00:03:34;0;1,15;3,1;0,71;41,67;28,79;0;4;6;0;0;0;93,7;56,21;0;
DORATIOTTO ;332;93;87;10;1;132;7,79;8,26;0;3,79;0;0;0,4;00:03:34;0;1,14;2,94;0,18;39,93;26,17;0;3;6;0;0;0;86,82;54,11;0;
GOZZI;333;93;51;11;4;136;7,88;9,89;0;4,35;0,23;0;1,48;00:03:35;0,07;1,31;3,4;1,15;40,87;15,34;0;1;5;0;0;0;51,04;55,48;0;
LA ROSA ;334;93;114;11;1;138;8;10,9;0;4,49;0;0;0,81;00:03:35;0;1,34;3,34;0,44;41,42;34,11;0;4;8;0;0;0;114,07;57,31;0;
LELLA ;350;98;114;13;3;142;8,38;10,31;0;4,53;0;0;1,33;00:03:34;0;1,29;3,78;0,85;40,48;32,59;0;2;6;0;0;0;114,23;55,25;0;
MANCA;343;96;116;13;1;144;8,1;9,01;0;3,71;0;0;1,63;00:03:34;0;1,08;3,69;0,27;41,89;33,96;0;2;7;0;0;0;116,42;56,3;0;
MASTINO;335;94;108;10;2;140;7,96;9,42;0;5,44;0;0;1,4;00:03:34;0;1,62;3,13;0,7;41,71;32,33;0;1;6;0;0;0;108,47;56,26;0;
MICELI;328;92;59;16;3;127;7,96;11,99;0;5,34;0,38;0;4,21;00:03:34;0,12;1,63;4,93;1,05;38,68;18,05;0;0;5;0;0;0;59,16;55,43;0;
MURONI;321;90;55;11;0;125;7,58;8,95;0;4,46;0;0;1,14;00:03:34;0;1,39;3,34;0,15;39,05;17,08;0;2;5;0;0;0;54,83;53,17;0;
OGUNSEYE;338;95;155;10;2;157;8,01;9,24;0;4,7;0;0;0,66;00:03:34;0;1,39;3,05;0,74;46,3;45,91;0;2;5;0;0;0;155,28;60,35;0;
PARIGI;341;95;114;11;2;150;8,09;9,5;0;3,62;0,22;0;1,35;00:03:34;0,06;1,06;3,33;0,56;44,1;33,54;0;0;5;0;0;0;114,27;57,62;0;
PENNINGTON;339;95;79;8;0;145;8,02;9,16;0;4,65;0;0;0,87;00:03:34;0;1,37;2,45;0,13;42,67;23,29;0;3;5;0;0;0;78,89;57,58;0;
PISANO;334;94;59;9;2;137;7,91;9,16;0;4,4;0,24;0;1,49;00:03:34;0,07;1,32;2,81;0,51;41,11;17,74;0;5;6;1;0;1;59,3;55,59;0;
PITZALIS;335;94;79;10;1;130;7,88;8,5;0;2,85;0,2;0;0,4;00:03:34;0,06;0,85;2,92;0,42;38,95;23,71;0;1;5;0;0;0;79,41;52,85;0;
VALLOCCHIA;334;93;160;11;1;153;7,95;9,89;0;4,31;0;0;2,32;00:03:34;0;1,29;3,21;0,2;45,8;48,03;0;3;7;0;0;0;160,23;60,94;0;
VERDE;350;98;110;16;4;130;8,63;13,57;0;6,84;0,42;0;6,19;00:03:34;0,12;1,95;4,58;1,09;37,01;31,32;0;1;3;0;0;0;109,76;54,11;0;
ZUGARO;336;94;97;15;3;134;8,21;12,82;0;4,51;0;0;4;00:03:34;0;1,35;4,51;0,76;40,03;28,8;0;4;7;0;0;0;96,65;58,34;0;
