;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1096;70;203;65;60;308;6,63;21,9;26,66;21,91;21,69;0;32,1;00:15:39;1,92;1,95;5,83;5,41;27,24;17,67;6,19;5,12;18,31;19,62;0,69;19,62;119,84;41,62;0;
BIANCU;1302;83;320;86;83;466;8,01;24,46;0;27,85;29,29;0;35,59;00:15:39;2,25;2,14;6,61;6,36;35,82;24,56;5;7;31;30;0;30;269,16;52,98;0;
DALLA BERNARDINA ;610;39;30;39;35;117;3,64;20,83;9,84;15,7;14,72;0;9,51;00:15:39;2,42;2,58;6,38;5,81;19,24;4,96;3;4;6;12;0;12;16,27;33,32;0;
DEMARCUS ;910;58;169;64;48;242;5,45;21,16;11,59;16,58;9,55;0;23,05;00:15:39;1,05;1,82;6,98;5,32;26,62;18,53;1;3;13;10;0;10;80,38;41,04;0;
GOZZI;769;49;74;32;34;126;4,43;16,6;4,18;6,84;8,69;0;6,8;00:15:39;1,13;0,89;4,1;4,42;16,33;9,68;1;0;4;4;0;4;48,97;26,08;0;
LA ROSA ;957;61;122;47;37;216;5,57;17,63;0;10,93;11,44;0;11,32;00:15:39;1,2;1,14;4,89;3,82;22,52;12,71;2;3;10;8;0;8;99,27;34,9;0;
LELLA ;1284;82;327;117;99;435;8,32;31,08;40,34;48,11;42,17;0;74,21;00:15:39;3,28;3,75;9,14;7,71;33,88;25,44;11;13;34;32;2;32;187,43;52,48;0;
MANCA;1432;92;453;103;105;550;9,17;29,41;95,44;37,76;47,25;0;87,3;00:15:39;3,3;2,64;7,16;7,36;38,41;31,62;15;7;26;35;3;35;186;54,87;0;
MASTINO;916;58;204;61;62;278;5,71;26,05;7,46;19,63;23,82;0;27,77;00:15:39;2,6;2,14;6,65;6,75;30,37;22,29;7;5;24;20;0;20;89,35;44,78;0;
MICELI;1208;77;104;62;63;333;7,16;19,9;0;17,65;21,19;0;10,76;00:15:39;1,75;1,46;5,17;5,19;27,56;8,59;7;5;14;21;0;21;103,72;42,08;0;
MURONI;1213;78;234;53;42;353;6,98;16,31;24,6;16,77;10,12;0;18,19;00:15:39;0,83;1,38;4,38;3,48;29,1;19,28;3;6;18;15;1;15;174,28;42,52;0;
OGUNSEYE;1255;80;172;78;73;336;7,71;24,36;25,45;29,55;27,79;0;36,09;00:15:39;2,22;2,36;6,2;5,82;26,82;13,7;8;8;24;25;1;25;117,74;43,33;0;
PARIGI;1356;87;263;96;91;407;8,45;26,04;7,43;35,26;36,56;0;40,11;00:15:39;2,7;2,6;7,04;6,71;30;19,42;14;8;31;37;0;37;182,51;46,54;0;
PITZALIS;978;63;191;45;51;254;5,89;21,66;31,63;16,77;19,41;0;30,99;00:15:39;1,98;1,71;4,6;5,23;25,92;19,55;8;4;13;17;1;17;86,77;40,52;0;
VALLOCCHIA;1077;69;212;52;47;310;6,28;17,81;18,37;15,45;14,23;0;24,6;00:15:39;1,32;1,43;4,79;4,32;28,81;19,65;2;1;15;17;0;17;132,15;41,94;0;
VERDE;1063;68;173;50;43;214;6,24;18,77;23,38;15,09;14,02;0;31,73;00:15:39;1,32;1,42;4,7;4,03;20,16;16,28;4;2;14;14;1;14;94,11;32,66;0;
ZUGARO;1205;77;198;53;50;292;7,05;18,28;126,95;20,68;16,73;0;45,54;00:15:39;1,39;1,72;4,4;4,17;24,26;16,43;8;6;16;17;2;17;49,28;35,91;0;
