;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;389;26;27;26;21;68;2,44;17,89;1,02;9,56;7,36;0;7,87;00:14:50;1,6;2,26;5,83;4,56;14,56;5,43;2,24;3,18;11,12;8,82;0,06;8,82;22,02;27,33;0;
BIANCU;132;9;0;7;7;13;0,83;20,55;0;4,7;2,94;0;0,45;00:14:50;2,23;3,56;5,48;5,07;9,66;0,34;3;4;6;4;0;4;0,45;23,6;0;
DALLA BERNARDINA ;667;45;126;42;41;159;4,24;21,75;17,35;12,12;19,98;0;28,06;00:14:50;2,99;1,82;6,28;6,17;23,82;18,88;7;4;11;16;1;16;75,19;38,91;0;
DEMARCUS ;117;8;0;7;4;12;0,7;13,62;0;2,48;0,65;0;0,59;00:14:50;0,55;2,12;6,14;3,56;10,54;0;0;0;5;2;0;2;0;21,94;0;
DORATIOTTO ;534;36;0;22;18;63;3,18;14,23;0;6,34;4,85;0;1,73;00:14:50;0,91;1,19;4,06;3,32;11,85;0,08;2;3;12;9;0;9;0,45;21,98;0;
GOZZI;499;34;69;35;29;98;3,18;21,89;0;14,11;8,74;0;18,7;00:14:50;1,75;2,83;6,97;5,86;19,54;13,78;3;5;13;7;0;7;51,04;35,52;0;
LA ROSA ;544;37;29;41;26;103;3,44;21,21;0;19,33;8,59;0;14,73;00:14:50;1,58;3,55;7,62;4,84;18,9;5,32;1;9;18;13;0;13;28,96;37,05;0;
LELLA ;699;47;39;61;53;155;4,64;27,2;0;26,62;18,51;0;17,9;00:14:50;2,65;3,81;8,75;7,63;22,22;5,63;4;8;27;26;0;26;37,68;40,54;0;
MANCA;420;28;23;22;16;71;2,56;16,59;0;6,52;4,81;0;1,25;00:14:50;1,14;1,55;5,34;3,8;16,94;5,56;0;1;10;6;0;6;23,35;30,01;0;
MASTINO;130;9;0;1;0;0;0,7;2,59;0;0,13;0,11;0;0;00:14:50;0,09;0,1;0,71;0,36;0;0;0;0;0;0;0;0;0;0;0;
MICELI;97;7;0;4;3;3;0,56;10,87;0;2,34;0,83;0;0,23;00:14:50;0,86;2,42;3,94;2,84;2,97;0;1;2;3;3;0;3;0;9,85;0;
MURONI;112;8;0;1;1;1;0,61;4,26;0;0,41;0,31;0;0;00:14:50;0,28;0,37;1,05;0,75;1;0;0;0;1;1;0;1;0;2,79;0;
OGUNSEYE;457;31;34;34;31;88;2,93;23,09;0;11,74;14,78;0;7,54;00:14:50;3,24;2,57;7,42;6,84;19,23;7,5;4;3;19;16;0;16;34,26;34,66;0;
PARIGI;459;31;19;30;30;95;2,94;22,78;0;8,17;10,57;0;6,27;00:14:50;2,3;1,78;6,57;6,63;20,62;4,23;5;1;11;9;0;9;19,42;37,02;0;
PISANO;395;27;29;26;18;62;2,46;19,34;0;8,74;6,31;0;6,94;00:14:50;1,6;2,21;6,64;4,48;15,69;7,42;1;3;12;8;0;8;28,78;31,07;0;
PITZALIS;535;36;17;34;22;63;3,25;16,37;0;13,32;4,98;0;3,48;00:14:50;0,93;2,49;6,4;4,2;11,7;3,24;0;7;18;12;0;12;17,33;22,93;0;
VERDE;535;36;43;48;40;112;3,53;26,44;0;18,12;14,73;0;16,65;00:14:50;2,75;3,39;8,88;7,44;20,87;8,07;6;4;20;14;0;14;41,48;38,2;0;
ZUGARO;270;18;33;18;10;59;1,71;21,43;0;7,24;3,45;0;9,32;00:14:50;1,28;2,68;6,79;3,8;21,92;12,19;1;0;3;4;0;4;15,92;38,53;0;
