;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;470;37;2;16;9;19;3,15;10,16;0;5,69;2,07;0;1,26;00:12:44;0,44;1,21;3,4;2;4;0,32;0,26;0,79;4,11;2,11;0;2,11;1,56;8,95;0;
BIANCU;428;34;0;17;9;17;2,91;11,98;0;5,97;2,49;0;1,55;00:12:44;0,58;1,4;4,03;2;4,05;0;0;1;3;3;0;3;0;9,99;0;
DALLA BERNARDINA ;513;40;8;22;13;31;3,5;12,18;0;8,59;2,9;0;3,52;00:12:44;0,57;1,67;4,31;2,55;5,96;1,46;0;2;7;4;0;4;7,51;13,11;0;
DEMARCUS ;429;34;0;11;8;14;2,84;8,92;0;3,94;1,15;0;0,84;00:12:44;0,27;0,92;2,6;1,89;3,3;0;0;1;3;1;0;1;0;7,59;0;
DORATIOTTO ;485;38;0;11;10;17;3,21;8,8;0;4,41;1,85;0;0,6;00:12:44;0,38;0,91;2,36;1,96;3,43;0;1;1;3;1;0;1;0;7,52;0;
GOZZI;432;34;0;21;13;18;3,01;14,45;0;7,51;4,42;0;1,43;00:12:44;1,02;1,74;4,8;3,09;4,26;0;2;1;5;3;0;3;0;10,55;0;
LA ROSA ;457;36;0;8;3;12;2,96;6,45;0;3,14;0,95;0;0,6;00:12:44;0,21;0,69;1,7;0,68;2,67;0;1;0;1;1;0;1;0;5,44;0;
LELLA ;478;38;0;16;10;17;3,19;9,96;0;5,04;1,75;0;0;00:12:44;0,37;1,06;3,45;2,14;3,46;0;0;1;5;3;0;3;0;7,74;0;
MANCA;479;38;1;15;9;19;3,18;9,32;0;6,19;1,89;0;1,08;00:12:44;0,4;1,29;3,05;1,87;4,04;0,28;0;0;5;0;0;0;1,36;8,48;0;
MASTINO;445;35;6;10;8;23;2,92;8,13;0;3,26;0,64;0;1,5;00:12:44;0,14;0,73;2,26;1,77;5,09;1,42;0;1;3;1;0;1;6,31;9,84;0;
MICELI;419;33;0;20;12;20;2,91;14,05;0;8,06;3,7;0;1,21;00:12:44;0,88;1,92;4,68;2,93;4,73;0;0;1;8;2;0;2;0;11,7;0;
MURONI;423;33;0;12;7;10;2,77;7,94;0;3,52;0,51;0;0,82;00:12:44;0,12;0,83;2,96;1,55;2,34;0;0;0;1;4;0;4;0;5,79;0;
OGUNSEYE;532;42;0;22;9;26;3,58;10,71;0;7,31;2,88;0;1,28;00:12:44;0,54;1,37;4,16;1,71;4,83;0,08;1;1;5;3;0;3;0,45;10,64;0;
PARIGI;517;41;3;18;10;24;3,48;10,57;0;6,84;1,98;0;2,33;00:12:44;0,38;1,32;3,43;1,86;4,64;0,53;0;1;4;2;0;2;2,73;10,04;0;
PENNINGTON;551;43;0;14;8;17;3,61;7,7;0;4,82;0,67;0;0,9;00:12:44;0,12;0,88;2,54;1,5;3,09;0;0;1;2;1;0;1;0;6,69;0;
PISANO;410;32;0;24;12;25;2,84;13,76;0;7,86;2,38;0;1,93;00:12:44;0,58;1,92;5,96;2,95;6,01;0;0;1;10;4;0;4;0;13,58;0;
PITZALIS;524;41;0;19;12;19;3,53;10,87;0;5,65;2,39;0;0,18;00:12:44;0,46;1,08;3,6;2,26;3,62;0;0;1;4;2;0;2;0;7,61;0;
VALLOCCHIA;378;30;0;8;6;9;2,48;7,84;0;3,49;1,24;0;0,49;00:12:44;0,33;0,92;2,08;1,54;2,51;0;0;0;2;2;0;2;0;6,09;0;
VERDE;487;38;0;18;9;18;3,25;9,7;0;5,42;2,51;0;0,38;00:12:44;0,51;1,11;3,64;1,79;3,67;0;0;0;3;1;0;1;0;7,93;0;
ZUGARO;552;43;13;16;11;24;3,68;9,72;0;7,13;2,97;0;3,2;00:12:44;0,54;1,29;2,98;1,95;4,3;2,34;0;1;4;2;0;2;11,22;9,68;0;
