;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2445;94;371;137;123;665;8,83;21,37;28,99;49,18;42,24;0;57,2;00:26:00;1,72;2,03;5,67;5;27,07;15,11;14,19;11,38;41,62;45,19;0,75;45,19;248,11;42,68;0;
BIANCU;2638;101;458;162;142;736;9,69;23,43;45,05;54,75;49,5;0;74,46;00:26:00;1,88;2,08;6,15;5,37;27,9;17,36;18;12;43;49;1;49;270,49;44,24;0;
DALLA BERNARDINA ;1991;77;186;94;66;424;6,91;16,63;0;37,83;19,36;0;24,95;00:26:00;0,97;1,9;4,74;3,33;21,3;9,34;8;6;31;28;0;28;168,8;34,93;0;
DEMARCUS ;1498;58;264;100;76;419;5,44;21,89;4,72;32,75;24,03;0;43,04;00:26:00;1,6;2,19;6,65;5,09;27,98;17,6;6;11;34;27;0;27;162,38;44,81;0;
DORATIOTTO ;2279;88;244;141;121;542;8,35;23,12;16,83;47,89;49,45;0;58,6;00:26:00;2,17;2,1;6,18;5,33;23,8;10,7;18;12;43;40;0;40;181,14;40,31;0;
LELLA ;2512;97;323;148;148;684;9,25;23,72;5,46;54,86;57,58;0;51,38;00:26:00;2,29;2,18;5,89;5,89;27,22;12,87;15;10;43;55;0;55;256,23;43,27;0;
MANCA;2628;101;472;111;94;737;9,12;16,55;40,79;40,12;26,4;0;43,35;00:26:00;1;1,53;4,22;3,58;28,04;17,95;11;14;35;29;1;29;317,42;41,91;0;
MASTINO;2521;97;432;157;140;687;9,3;23,89;69,5;59,02;51,15;0;82,64;00:26:00;2,03;2,34;6,21;5,57;27,25;17,15;17;18;55;57;2;57;214,77;43,48;0;
MICELI;2774;107;327;114;114;737;9,72;17,72;0,67;35,82;31,72;0;22,41;00:26:00;1,14;1,29;4,12;4,1;26,57;11,78;12;6;33;47;0;47;276,52;40,65;0;
MURONI;2734;105;378;154;126;804;9,83;20,75;1,35;53,37;42,08;0;43,47;00:26:00;1,54;1,95;5,61;4,59;29,4;13,81;10;11;51;54;0;54;326,17;45,88;0;
OGUNSEYE;2498;96;390;140;143;734;9,02;21,27;7,58;49,83;41,34;0;43,69;00:26:00;1,65;1,99;5,61;5,73;29,37;15,59;14;14;38;55;0;55;292,05;44,57;0;
PARIGI;2541;98;459;156;132;742;9,41;24,38;10,86;53,57;54,59;0;71,63;00:26:00;2,15;2,11;6,15;5,18;29,18;18,07;20;8;41;46;0;46;292,89;45,74;0;
PENNINGTON;2904;112;398;120;154;826;10,33;19,44;24,38;37,92;52,4;0;47,56;00:26:00;1,8;1,31;4,12;5,29;28,44;13,7;18;5;34;56;1;56;286,17;42,74;0;
PISANO;2155;83;256;118;91;491;7,64;19,03;38,42;42,07;24,13;0;43,29;00:26:00;1,12;1,95;5,49;4,24;22,79;11,88;8;7;36;27;1;27;142,73;37,14;0;
VALLOCCHIA;2468;95;419;165;152;709;9,2;25,19;15,05;76,96;62,48;0;82,22;00:26:00;2,53;3,12;6,67;6,17;28,71;16,96;24;22;58;64;0;64;280,01;46;0;
VERDE;2442;94;359;144;116;606;8,79;20,9;31,8;51,22;38,27;0;66,48;00:26:00;1,57;2,1;5,91;4,74;24,8;14,71;12;12;41;36;1;36;239,66;40,62;0;
ZUGARO;2532;97;565;175;149;769;9,34;23,97;151,36;58,95;51,33;0;115,95;00:26:00;2,03;2,33;6,9;5,87;30,38;22,32;16;14;50;53;5;53;262,39;46,53;0;
