;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1223;84;79;96;88;256;8,23;27,18;1,67;37,47;31,85;0;27,38;00:14:37;2,6;3,08;7,84;7,18;20,71;6,35;10,94;10,11;32,94;39,89;0;39,89;59,65;37,48;0;
BIANCU;1271;87;51;89;80;233;8,38;24,6;0;30,1;29,16;0;17,33;00:14:37;2,29;2,37;7,01;6,29;18,31;4,04;8;9;34;33;0;33;44,75;33,98;0;
DALLA BERNARDINA ;1091;75;21;79;68;178;7,12;23,46;0;28,5;23,31;0;10,11;00:14:37;2,14;2,61;7,23;6,2;16,28;1,94;5;6;26;29;0;29;15,79;30,53;0;
DORATIOTTO ;1173;80;30;103;91;212;7,94;27,98;0;41,38;29,55;0;19,36;00:14:37;2,52;3,53;8,75;7,74;18,11;2,55;7;14;43;39;0;39;29,9;35,06;0;
GOZZI;1001;68;25;69;57;157;6,5;22,76;0;25,49;16,63;0;9,9;00:14:37;1,66;2,55;6,9;5,67;15,66;2,46;4;5;24;23;0;23;23,48;29,63;0;
LA ROSA ;1082;74;27;68;53;158;6,97;21,72;0;25,11;18,47;0;13,54;00:14:37;1,71;2,32;6,29;4,9;14,57;2,53;7;8;23;18;0;18;22,87;28,3;0;
LELLA ;1385;95;148;118;117;341;9,59;30,87;5,48;46,41;51,5;0;43,11;00:14:37;3,72;3,35;8,51;8,41;24,6;10,65;19;11;37;52;0;52;103,37;42,34;0;
MANCA;1313;90;129;95;94;317;8,79;26,48;2,7;31,09;33,92;0;33,22;00:14:37;2,58;2,37;7,26;7,14;24,17;9,85;15;6;24;50;0;50;77,77;40,55;0;
MASTINO;1077;74;84;98;97;235;7,55;32,49;2,74;41,3;41,49;0;32,89;00:14:37;3,85;3,84;9,08;9,02;21,83;7,78;18;10;33;48;0;48;58,64;39,62;0;
MICELI;1335;91;49;93;93;278;8,9;26,12;0;31,97;29,47;0;14,9;00:14:37;2,21;2,4;6,95;6,96;20,83;3,66;8;5;32;47;0;47;48,89;36,81;0;
MURONI;1400;96;52;99;88;291;9,17;23,9;0;35,99;28,92;0;15,62;00:14:37;2,07;2,57;7,05;6,3;20,79;3,71;9;12;29;46;0;46;51,37;36,84;0;
OGUNSEYE;1158;79;61;118;104;263;8,05;31,39;0;44,23;34,81;0;33,15;00:14:37;3,01;3,82;10,19;8,99;22,71;5,3;14;11;35;47;0;47;41,98;41,92;0;
PARIGI;1152;79;74;116;100;249;8,16;33,89;0;57,94;39,98;0;41,56;00:14:37;3,47;5,03;10,07;8,67;21,59;6,4;15;19;44;47;0;47;54,2;42,01;0;
PENNINGTON;1424;97;123;95;100;350;9,55;26,77;0;35,38;34,47;0;30,94;00:14:37;2,42;2,48;6,7;7,05;24,54;8,67;13;6;29;42;0;42;101,48;41,9;0;
PISANO;1188;81;102;102;85;247;7,97;26,78;0;39,22;29,04;0;31,08;00:14:37;2,44;3,3;8,56;7,18;20,83;8,57;11;11;35;39;0;39;80,9;37,48;0;
PITZALIS;1254;86;181;102;98;311;8,56;29,13;19,2;39,72;40,91;0;56,25;00:14:37;3,26;3,17;8,17;7,8;24,82;14,42;13;11;34;35;0;35;98,02;41,91;0;
VALLOCCHIA;1240;85;97;96;95;274;8,54;30,3;0;46,47;37,48;0;39,48;00:14:38;3,02;3,75;7,71;7,64;22,12;7,84;13;16;36;48;0;48;76,94;40,74;0;
VERDE;1301;89;90;99;87;276;8,61;25,03;0;36,25;26,92;0;28,27;00:14:37;2,07;2,79;7,57;6,71;21,23;6,91;11;12;40;43;0;43;80,02;38,65;0;
ZUGARO;1172;80;82;83;78;232;7,79;25,64;0;37,92;27,31;0;22,21;00:14:37;2,33;3,24;7,09;6,67;19,82;6,99;7;10;35;32;0;32;63,28;36,39;0;
