;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;438;61;17;14;10;48;5,29;11,93;0;3,23;1,35;0;1,83;00:07:10;0,31;0,74;3,24;2,19;11,03;3,78;0,17;0,5;3,33;1,78;0;1,78;16,55;19,56;0;
BIANCU;427;60;17;12;9;50;5,15;11,84;0;2,71;0,73;0;1,58;00:07:10;0,17;0,63;2,87;1,99;11,66;3,92;0;0;0;0;0;0;16,76;20,03;0;
DALLA BERNARDINA ;455;63;33;18;14;57;5,56;13,27;0;2,48;3,61;0;2,96;00:07:10;0,79;0,54;3,85;3,02;12,57;7,23;0;0;7;3;0;3;32,91;21,75;0;
DORATIOTTO ;458;64;19;11;9;46;5,43;10,01;0;1,51;0,53;0;1,74;00:07:10;0,11;0,33;2,39;1,87;9,95;4,08;0;0;2;3;0;3;18,69;17,36;0;
GOZZI;421;59;19;13;11;41;5,06;11,57;0;2,11;0,35;0;0,82;00:07:10;0,08;0,5;3,12;2,54;9,62;4,54;0;0;2;0;0;0;19,12;17,38;0;
LA ROSA ;416;58;19;15;7;56;5,06;12,7;0;5,45;1,04;0;2,29;00:07:10;0,25;1,31;3,61;1,59;13,5;4,56;0;2;7;2;0;2;18,97;23,95;0;
LELLA ;448;62;16;20;9;51;5,51;14,23;0;6,24;2,01;0;4,21;00:07:10;0,45;1,39;4,46;2,12;11,33;3,52;1;2;3;3;0;3;15,75;21,27;0;
MANCA;431;60;26;17;14;62;5,27;13,25;0;3,7;1,97;0;2,7;00:07:10;0,46;0,86;3,86;3,23;14,35;6,02;0;0;4;3;0;3;25,97;24,02;0;
MASTINO;409;57;14;15;8;48;4,9;11,3;0;3,11;0,94;0;1,23;00:07:10;0,23;0,76;3,63;1,98;11,66;3,55;0;1;3;2;0;2;14,49;20,76;0;
MICELI;420;58;6;14;8;39;5,04;11,37;0;3;1,8;0;1,1;00:07:10;0,43;0,72;3,44;1,97;9,31;1,31;0;1;5;2;0;2;5,52;16,79;0;
MURONI;455;63;1;8;6;34;5,35;9,03;0;1,79;0,94;0;0;00:07:10;0,21;0,39;1,85;1,42;7,49;0,3;0;0;2;4;0;4;1,36;12,97;0;
OGUNSEYE;425;59;6;7;7;31;5,04;10,03;0;1,33;0,54;0;0;00:07:10;0,13;0,31;1,74;1,72;7,24;1,5;0;0;0;0;0;0;6,38;12,65;0;
PARIGI;454;63;21;19;13;65;5,58;14,07;0;5,32;1,93;0;2,92;00:07:10;0,43;1,17;4,18;2,9;14,3;4,65;1;0;6;4;0;4;21,07;25,38;0;
PENNINGTON;448;62;16;14;10;45;5,38;11,28;0;2,25;1,66;0;1,12;00:07:10;0,37;0,5;3,09;2,27;9,97;3,59;0;0;4;1;0;1;16,08;17,73;0;
PISANO;421;59;19;15;11;45;5,09;12,19;0;4,27;0,42;0;3,15;00:07:10;0,1;1,01;3,54;2,62;10,79;4,46;0;1;5;2;0;2;18,78;19,6;0;
PITZALIS;484;67;13;15;8;46;5,85;12,04;0;2,5;1,81;0;0,77;00:07:10;0,37;0,52;3,16;1,74;9,44;2,76;0;0;3;0;0;0;13,34;16,56;0;
VALLOCCHIA;435;61;9;14;7;48;5,28;12,55;0;3,43;1,79;0;1,02;00:07:10;0,41;0,79;3,33;1,72;11,05;1,99;1;1;3;1;0;1;8,66;20,65;0;
VERDE;427;59;22;14;12;54;5,19;12,66;0;4,94;0,86;0;2,68;00:07:10;0,2;1,16;3,2;2,77;12,6;5,06;0;1;2;1;0;1;21,6;22,99;0;
ZUGARO;450;63;23;14;9;53;5,41;11,41;0;2,05;1,37;0;2,58;00:07:10;0,31;0,46;3,01;1,91;11,76;5,01;0;0;2;1;0;1;22,53;20,33;0;
