;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;270;32;0;5;3;1;2,6;5,17;0;0,75;0,26;0;0;00:08:27;0,09;0,26;1,65;0,99;0,29;0;0;0;0,19;0,06;0;0,06;0;0,58;0;
BIANCU;271;32;0;4;3;0;2,58;4,93;0;0,31;0,2;0;0;00:08:30;0,08;0,11;1,53;1,12;0;0;0;0;0;0;0;0;0;0;0;
DEMARCUS ;279;33;0;1;0;1;2,6;2,79;0;0,12;0;0;0;00:08:30;0;0,04;0,52;0,11;0,38;0;0;0;0;0;0;0;0;0,66;0;
DORATIOTTO ;220;29;0;2;1;0;2,3;3,92;0;0;0;0;0;00:07:42;0;0;0,7;0,37;0;0;0;0;0;0;0;0;0;0;0;
GOZZI;217;25;0;4;2;0;2,07;5,06;0;0,45;0,23;0;0;00:08:30;0,11;0,21;1,69;0,93;0;0;0;0;0;0;0;0;0;0;0;
LA ROSA ;272;32;0;2;1;0;2,55;3,5;0;0,23;0,06;0;0;00:08:30;0,02;0,08;0,83;0,45;0;0;0;0;0;0;0;0;0;0;0;
LELLA ;258;30;0;4;3;0;2,46;5,08;0;0,82;0,24;0;0;00:08:30;0,09;0,32;1,62;1,02;0,05;0;0;0;0;0;0;0;0;0,19;0;
MANCA;270;32;0;5;4;0;2,59;5,85;0;0,51;0,45;0;0;00:08:30;0,17;0,19;1,81;1,41;0,08;0;0;0;0;0;0;0;0;0,16;0;
MASTINO;256;30;0;1;1;0;2,39;2,85;0;0,09;0,04;0;0;00:08:30;0,02;0,04;0,52;0,37;0;0;0;0;0;0;0;0;0;0;0;
MICELI;263;31;0;9;4;3;2,57;7,4;0;1,73;0,16;0;0;00:08:30;0,06;0,66;3,4;1,66;0,99;0;0;0;0;0;0;0;0;1,91;0;
MURONI;263;31;0;3;1;1;2,48;3,7;0;0,33;0;0;0;00:08:30;0;0,12;1,02;0,34;0,42;0;0;0;0;0;0;0;0;0,9;0;
PARIGI;280;33;0;6;3;2;2,72;6,82;0;1,31;0,62;0;0;00:08:30;0,22;0,47;2,31;1,21;0,68;0;0;0;1;0;0;0;0;1,18;0;
PISANO;306;36;0;8;6;1;3;7,59;0;1,07;1,09;0;0;00:08:30;0,36;0,35;2,7;1,95;0,31;0;0;0;0;1;0;1;0;0,68;0;
PITZALIS;327;38;0;10;8;3;3,23;8,82;0;2,61;0,5;0;0;00:08:30;0,15;0,8;3,21;2,33;0,78;0;0;0;0;0;0;0;0;1,81;0;
VALLOCCHIA;257;30;0;2;2;0;2,43;4,05;0;0,19;0,16;0;0;00:08:30;0,06;0,07;0,92;0,76;0,11;0;0;0;1;0;0;0;0;0,2;0;
VERDE;299;35;0;7;3;2;2,89;6,32;0;1,73;0,26;0;0;00:08:30;0,09;0,58;2,42;1,11;0,75;0;0;0;1;0;0;0;0;1,55;0;
ZUGARO;288;34;0;3;2;0;2,72;3,87;0;0,47;0,19;0;0;00:08:30;0,07;0,16;1,16;0,61;0;0;0;0;0;0;0;0;0;0;0;
