;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;6983;52;670;500;439;1387;5,04;24,66;26,91;194,89;165,86;0;186,5;02:13:42;2,37;2,78;7,14;6,26;19,81;9,56;57,28;48,39;158,06;176,67;0,28;176,67;445,3;35,43;0;
BIANCU;6857;51;551;485;430;1331;4,96;24,79;16,37;192,17;164,25;0;168,1;02:13:26;2,4;2,8;7,08;6,27;19,41;8,03;45;49;159;178;0;178;361,35;35,15;0;
DALLA BERNARDINA ;7059;53;681;526;458;1427;5,12;24,88;53,5;210,34;166,37;0;207,11;02:13:20;2,36;2,98;7,45;6,49;20,22;9,65;50;40;156;167;1;167;413,94;36,17;0;
DEMARCUS ;7275;54;743;613;555;1703;5,44;28,98;9,76;220,99;220,6;0;218,97;02:13:34;3,03;3,04;8,43;7,62;23,41;10,21;75;55;179;224;0;224;473,01;40,67;0;
DORATIOTTO ;6809;51;592;487;424;1295;4,88;24,6;38,04;194,28;157,68;0;173,27;02:14:30;2,32;2,85;7,16;6,22;19,01;8,69;57;49;172;178;0;178;419,53;34,83;0;
GOZZI;6562;49;684;483;431;1283;4,77;25,6;20,1;172,39;164,43;0;177,73;02:13:37;2,51;2,63;7,37;6,57;19,55;10,43;48;43;150;172;0;172;456,71;34,76;0;
LA ROSA ;6441;48;502;432;338;1080;4,5;21,51;0;158,09;106,55;0;130,88;02:14:30;1,65;2,45;6,7;5,24;16,76;7,79;30;44;126;109;0;109;358,6;30,37;0;
LELLA ;7653;57;835;591;505;1572;5,55;26,02;12,23;230,26;211,81;0;221,25;02:14:30;2,77;3,01;7,73;6,6;20,54;10,91;77;54;190;199;0;199;624,22;36,64;0;
MANCA;6695;50;503;431;371;1282;4,75;22,23;5,45;156,48;123,73;0;120,12;02:13:25;1,85;2,34;6,44;5,54;19,15;7,51;46;37;129;150;0;150;329;33,75;0;
MASTINO;6960;52;807;524;474;1430;5,13;26,53;64,68;229,14;186,04;0;244,69;02:12:55;2,67;3,29;7,53;6,81;20,55;11,6;81;80;188;203;2;203;473,98;37,16;0;
MICELI;7070;53;361;430;409;1234;5;21,96;0;158,56;121,95;0;95,12;02:13:32;1,72;2,24;6,09;5,79;17,45;5,11;40;31;127;166;0;166;307,34;31,46;0;
MURONI;7284;55;654;547;495;1598;5,35;26,7;24,37;217,2;180,75;0;190,69;02:13:30;2,48;2,98;7,5;6,79;21,94;8,98;68;52;183;209;0;209;497,93;39,06;0;
OGUNSEYE;6840;51;806;515;446;1496;4,99;25,7;64,41;195,79;172,95;0;206,54;02:13:17;2,53;2,86;7,52;6,52;21,87;11,78;63;49;162;181;2;181;528,46;38,14;0;
PARIGI;7299;54;823;520;475;1550;5,26;25,36;10,8;208,7;196,06;0;215,14;02:14:30;2,69;2,86;7,12;6,5;21,23;11,28;80;49;149;186;0;186;510,28;37,12;0;
PISANO;6179;46;530;373;329;977;4,34;21,14;23,43;148,65;125,05;0;136,59;02:13:20;2,02;2,41;6,03;5,33;15,81;8,57;36;37;120;131;0;131;298,3;29,26;0;
PITZALIS;7226;54;718;499;434;1356;5,15;23,83;54,86;193,01;178,3;0;205,24;02:14:30;2,47;2,67;6,91;6,01;18,76;9,93;53;37;161;160;0;160;447,26;33,8;0;
VALLOCCHIA;7009;52;804;530;461;1524;5,12;26,04;22,56;219,12;178,58;0;223,64;02:13:32;2,55;3,13;7,56;6,57;21,75;11,48;61;56;169;192;0;192;576,96;38,86;0;
VERDE;7256;54;764;514;441;1438;5,23;24,18;28,36;198,62;168,17;0;220,92;02:13:20;2,32;2,74;7,08;6,08;19,82;10,53;64;59;159;198;0;198;471,7;35,62;0;
ZUGARO;7225;54;700;497;420;1396;5,19;23,76;35,37;204,27;162,18;0;201,1;02:13:18;2,24;2,83;6,88;5,81;19,32;9,68;57;50;166;177;0;177;466,8;35,01;0;
