;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;936;59;8;89;47;200;5,61;23,15;0;37,79;9,13;0;10,72;00:15:55;0,97;4,04;9,54;4,93;21,15;0,86;1,5;16,6;50,4;15,8;0;15,8;8,03;40,16;0;
DALLA BERNARDINA ;840;53;13;75;41;149;4,98;22,03;0;34,49;9,51;0;9,32;00:15:55;1,13;4,1;8,94;4,87;17,75;1,54;1;15;45;12;0;12;12,97;34,78;0;
DEMARCUS ;1023;64;0;92;63;240;6,21;24,99;0;37,63;14,37;0;8,78;00:15:55;1,41;3,68;8,99;6,18;23,48;0;2;17;49;34;0;34;0;42,56;0;
DORATIOTTO ;751;47;1;65;26;119;4,35;19,18;0;23,73;4,92;0;5,57;00:15:55;0,65;3,16;8,63;3,43;15,89;0,18;2;10;36;5;0;5;1,36;32,48;0;
LELLA ;1141;72;3;93;43;214;6,63;19,6;0;36,03;6,21;0;6,58;00:15:55;0,54;3,16;8,15;3,78;18,8;0,28;2;12;50;8;0;8;3,17;35,82;0;
MASTINO;813;51;6;73;36;161;4,86;23;0;33,73;8,39;0;9,17;00:15:55;1,03;4,15;9;4,42;19,76;0,76;2;18;42;12;0;12;6,16;38,74;0;
MICELI;840;53;1;83;35;175;4,95;21,27;0;31,37;5,09;0;4,57;00:15:55;0,61;3,73;9,92;4,23;20,81;0,16;1;14;48;12;0;12;1,35;39,8;0;
PARIGI;929;58;13;119;70;263;5,92;31,14;0;53,32;13,11;0;20,08;00:15:55;1,41;5,74;12,82;7,55;28,33;1,38;0;20;57;16;0;16;12,85;51,25;0;
VALLOCCHIA;923;58;0;83;24;176;5,36;19,43;0;37,95;4,07;0;4,36;00:15:55;0,44;4,11;8,95;2,56;19,08;0;0;20;68;6;0;6;0;38,19;0;
VERDE;1158;73;8;114;63;285;7,03;24,92;0;49,67;10,37;0;18,53;00:15:55;0,9;4,29;9,81;5,47;24,61;0,71;2;22;56;23;0;23;8,19;44,86;0;
ZUGARO;944;59;34;96;64;217;5,78;25,94;0;40;15,26;0;20,25;00:15:55;1,62;4,24;10,16;6,79;23,04;3,63;3;18;53;30;0;30;34,29;43,13;0;
