;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;578;64;5;48;28;122;6,04;21,24;0;18,28;5,37;0;5,14;00:08:59;0,93;3,15;8,27;4,75;21,07;0,88;0,63;4,74;21,05;7,58;0;7,58;5,02;38,28;0;
BELLONI ;639;67;6;50;25;136;6,26;20,29;0;22,39;4,35;0;7,32;00:09:30;0,68;3,5;7,84;3,9;21,34;0,95;1;7;25;8;0;8;6,04;39,12;0;
BIANCU;586;64;0;50;25;114;5,91;19,82;0;19,49;3,13;0;3,77;00:09:11;0,53;3,32;8,52;4,33;19,48;0,08;0;4;19;3;0;3;0,48;36,47;0;
DALLA BERNARDINA ;556;65;5;42;33;96;6,03;20,68;0;14,3;6,36;0;3,42;00:08:36;1,14;2,57;7,51;5,93;17,21;0,95;0;2;12;12;0;12;5,31;31,15;0;
DEMARCUS ;603;62;24;65;49;157;6,28;30,59;0;22,05;13,83;0;11,4;00:09:43;2,29;3,65;10,82;8,16;25,97;3,96;4;8;27;17;0;17;22,78;45,99;0;
DORATIOTTO ;558;65;10;50;26;126;6,17;23,12;0;16,63;6,36;0;8,92;00:08:36;1,14;2,98;9,01;4,65;22,58;1,74;1;7;18;6;0;6;7,44;41,43;0;
GOZZI;546;63;5;49;29;113;6,04;23;0;21,23;5,08;0;6,54;00:08:36;0,93;3,89;8,97;5,36;20,71;0,87;1;5;21;6;0;6;4,75;38,77;0;
LA ROSA ;572;66;4;47;26;123;6,21;20,86;0;19,44;4,4;0;5,21;00:08:36;0,77;3,4;8,29;4,54;21,48;0,64;0;5;20;9;0;9;3,68;39,37;0;
LELLA ;571;66;5;47;27;118;6,23;21,35;0;19,82;6,42;0;5,74;00:08:37;1,12;3,47;8,18;4,78;20,7;0,96;1;6;23;2;0;2;5,47;37,82;0;
MANCA;611;69;2;48;26;147;6,41;20,27;0;15,73;4,9;0;2,27;00:08:52;0,8;2,57;7,83;4,3;24,08;0,37;0;2;22;6;0;6;2,27;40,73;0;
MASTINO;576;67;3;45;23;126;6,17;19,16;0;13,45;4,61;0;2,48;00:08:36;0,8;2,33;7,82;4,05;21,94;0,47;1;4;23;5;0;5;2,7;38,36;0;
MICELI;591;62;1;41;26;111;5,68;18,67;0;14,7;4,27;0;1,23;00:09:33;0,72;2,49;6,99;4,36;18,7;0,15;0;6;15;8;0;8;0,89;33,9;0;
MURONI;540;63;1;40;21;109;5,81;19,82;0;14,72;4,45;0;3;00:08:36;0,82;2,73;7,44;3,88;20,15;0,25;0;4;19;6;0;6;1,35;37,06;0;
OGUNSEYE;569;59;2;41;19;112;5,41;19,07;0;18,16;2,81;0;3,24;00:09:41;0,49;3,19;7,28;3,41;19,78;0,33;0;6;25;5;0;5;1,86;36,66;0;
PARIGI;644;65;5;57;31;163;6,21;22,58;0;24,37;6,81;0;5,87;00:09:50;1,06;3,78;8,86;4,87;25,34;0,71;2;5;28;11;0;11;4,58;43,99;0;
PISANO;533;55;1;40;20;94;5,07;18,13;0;13,66;2,84;0;2,63;00:09:37;0,53;2,56;7,46;3,67;17,71;0,26;0;1;9;3;0;3;1,36;32,9;0;
PITZALIS;547;64;1;41;24;95;5,86;19,17;0;15,27;4,66;0;4;00:08:36;0,85;2,79;7,55;4,37;17,42;0,25;1;2;19;6;0;6;1,35;32,39;0;
VALLOCCHIA;482;56;1;39;24;95;5,25;21,22;0;15,56;4,89;0;2,45;00:08:36;1,02;3,23;8,11;4,94;19,82;0,19;0;5;23;8;0;8;0,92;36,56;0;
VERDE;623;72;5;59;33;138;6,82;21,81;0;21,27;5,29;0;5,95;00:08:36;0,85;3,41;9,52;5,28;22,2;0,88;0;3;26;9;0;9;5,45;40,57;0;
ZUGARO;638;74;17;58;35;148;7,1;23,8;0;25,18;6,53;0;12,27;00:08:36;1,02;3,95;9,06;5,44;23,28;2,61;0;8;26;14;0;14;16,64;43,59;0;
