;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;991;35;181;78;69;210;3,38;25,7;43,56;30,61;24,91;0;49,38;00:28:30;2,5;3,08;7,91;6,96;21,18;18,3;8,79;10,26;28,05;28,37;1,11;28,37;75,32;36,52;0;
BIANCU;1010;35;208;90;78;228;3,5;27,49;58,34;30,44;33,13;0;65,98;00:28:28;3,28;3,01;8,91;7,69;22,59;20,58;13;9;23;32;2;32;67,2;38,31;0;
COCCO;1001;35;181;81;64;207;3,43;26,19;24,57;37,11;23,87;0;40,87;00:28:28;2,38;3,71;8,07;6,42;20,65;18,12;10;9;26;35;0;35;86,47;35,88;0;
DALLA BERNARDINA ;1024;36;222;91;78;246;3,56;27,99;80,69;33,5;30,47;0;70,26;00:28:28;2,98;3,27;8,84;7,63;23,99;21,67;13;14;32;32;4;32;76,46;40,6;0;
DEMARCUS ;931;33;156;74;58;185;3,14;24,23;43,15;24,2;15,79;0;37,63;00:28:28;1,7;2,6;7,91;6,26;19,88;16,77;5;7;24;26;1;26;73,02;34,45;0;
DORATIOTTO ;978;34;185;68;60;205;3,25;22,12;28,38;24,77;19,8;0;37,07;00:28:28;2,02;2,53;6,97;6,09;20,94;18,9;6;8;21;22;0;22;90,61;35,5;0;
GOZZI;923;32;162;63;73;198;3,13;24,74;41,74;21,94;26,25;0;43,02;00:28:28;2,84;2,38;6,87;7,89;21,45;17,58;8;5;21;24;0;24;68,42;36,13;0;
LA ROSA ;1040;36;175;82;74;217;3,57;27,16;15,12;36,83;26,94;0;40,33;00:28:42;2,59;3,54;7,91;7,16;20,85;16,86;7;13;32;29;0;29;71,31;36,34;0;
LELLA ;1002;35;172;86;72;204;3,47;27,57;5,44;37,81;33,47;0;50,39;00:28:28;3,34;3,77;8,63;7,18;20,38;17,12;15;14;44;38;0;38;76,51;36,69;0;
MANCA;916;32;200;84;78;229;3,22;29,61;51,91;33,07;25,05;0;53,18;00:28:28;2,74;3,61;9,18;8,49;24,97;21,9;9;16;25;31;2;31;81,41;41,74;0;
MASTINO;918;32;220;82;64;226;3,11;24,56;80,44;28,47;11,01;0;59,62;00:28:28;1,2;3,1;8,95;6,93;24,57;23,95;3;5;30;20;4;20;77,65;41,01;0;
MICELI;839;29;145;65;62;174;2,88;26,29;31,41;26,37;19,33;0;38,06;00:28:28;2,3;3,14;7,78;7,34;20,76;17,3;7;10;27;24;0;24;66,94;35,91;0;
MURONI;983;35;161;73;65;188;3,29;23,1;48,77;24,64;19,58;0;41,41;00:28:28;1,99;2,51;7,43;6,59;19,14;16,42;5;5;27;27;1;27;71,97;33,31;0;
OGUNSEYE;1024;36;175;72;60;201;3,41;22,5;33,06;22,05;17,32;0;44,65;00:28:28;1,69;2,15;7,01;5,9;19,65;17,12;6;8;22;23;0;23;75,26;33,96;0;
PARIGI;1013;36;163;69;73;210;3,41;24,03;44,44;27,21;30,63;0;38,69;00:28:28;3,02;2,69;6,81;7,21;20,7;16,13;12;9;31;33;1;33;77,79;34,08;0;
PISANO;936;33;147;65;56;175;3,13;22,95;21,77;21,7;21,23;0;34,72;00:28:28;2,27;2,32;6,98;6,03;18,66;15,73;6;8;22;24;0;24;73,85;32,91;0;
PITZALIS;1142;40;204;80;68;235;3,87;24,26;50,33;33,99;33,7;0;50,07;00:28:22;2,95;2,98;7,01;5,94;20,54;17,87;9;10;32;32;0;32;82,01;34,86;0;
VALLOCCHIA;1016;36;175;83;65;209;3,47;25,8;60,29;35,8;18,92;0;51,37;00:28:28;1,86;3,52;8,12;6,38;20,58;17,24;7;14;33;22;3;22;79,51;36,8;0;
VERDE;1094;38;162;86;74;190;3,71;24,79;29,56;35,27;27,48;0;44,82;00:28:28;2,51;3,22;7,83;6,75;17,39;14,76;10;14;27;30;0;30;72,44;32,44;0;
ZUGARO;1039;36;225;94;86;257;3,69;32,86;78,12;46,49;39,26;0;96;00:28:59;3,78;4,47;9,06;8,27;24,75;21,61;16;17;34;35;3;35;62,2;42,8;0;
