;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;404;62;45;16;11;54;5,41;13,39;0,53;4,07;2,37;0;5,78;00:06:33;0,59;1,01;4,04;2,84;13,47;11,24;0,71;0,71;5,35;3,41;0;3,41;20,78;22,43;0;
BIANCU;458;70;48;19;13;56;6,12;13,36;0;3,62;2,82;0;8,08;00:06:33;0,62;0,79;4,22;2,88;12,31;10,46;0;1;6;5;0;5;20,09;21,83;0;
DALLA BERNARDINA ;413;63;60;25;21;71;5,9;21,03;8,97;9;7,01;0;18,27;00:06:33;1,7;2,18;5,94;5;17,09;14,51;4;3;8;6;0;6;15,23;30,26;0;
DORATIOTTO ;428;65;50;20;14;67;5,8;14,92;0;7,05;3,24;0;11,37;00:06:33;0,76;1,65;4,72;3,21;15,69;11,79;1;2;4;3;0;3;14,41;26,53;0;
GOZZI;373;57;38;22;15;51;5,1;15,8;0;5,28;2,61;0;7,54;00:06:33;0,7;1,42;5,97;3,94;13,66;10,2;0;0;7;4;0;4;16,54;25,04;0;
LA ROSA ;391;60;37;15;9;48;5,2;12,72;0;2,97;1,51;0;0,38;00:06:33;0,39;0,76;3,8;2,23;12,3;9,43;1;0;6;2;0;2;34,04;20,31;0;
LELLA ;402;61;43;15;8;48;5,3;11,65;0;3,84;1;0;3,27;00:06:33;0,25;0,96;3,67;2,02;11,92;10,6;1;1;7;4;0;4;26,9;20,13;0;
MANCA;426;65;47;15;11;52;5,68;12,8;0;4,3;1,83;0;5,66;00:06:33;0,43;1,01;3,52;2,54;12,11;11,04;0;1;5;2;0;2;16,79;20,02;0;
MASTINO;438;67;48;13;10;60;5,75;11,19;0;2,51;1,76;0;3,42;00:06:33;0,4;0,57;3,06;2,32;13,7;11;0;1;4;4;0;4;18,31;21,49;0;
MICELI;366;56;45;18;12;59;5,02;16,29;0;4,21;3,63;0;5,51;00:06:33;0,99;1,15;4,96;3,31;16,07;12,28;2;1;5;5;0;5;21,94;26,13;0;
MURONI;430;66;47;15;10;52;5,68;11,96;0;2,7;2,67;0;7,57;00:06:33;0,62;0,63;3,44;2,37;12,09;11,02;2;1;5;5;0;5;15,09;19,69;0;
OGUNSEYE;387;59;40;9;8;48;5,04;10,32;0;1,41;0,95;0;1,29;00:06:33;0,25;0,36;2,24;2,03;12,46;10,37;0;0;2;2;0;2;19,83;19,15;0;
PARIGI;371;57;46;17;15;52;5,05;15,25;0;5,76;3,11;0;7,23;00:06:33;0,84;1,55;4,44;4,03;14,05;12,28;0;1;6;5;0;5;19,4;24,21;0;
PENNINGTON;386;59;46;14;9;50;5,06;10,93;0;2,05;0,66;0;2,46;00:06:33;0,17;0,53;3,57;2,33;12,87;11,95;0;0;4;3;0;3;22,8;20,48;0;
PISANO;355;54;40;16;9;50;4,75;13,44;0;3,64;1,85;0;1,31;00:06:33;0,52;1,03;4,45;2,6;14,21;11,28;0;0;5;1;0;1;28,45;23,3;0;
PITZALIS;454;69;51;20;13;67;6,13;14,47;0;5,23;1,99;0;6,01;00:06:33;0,44;1,15;4,41;2,89;14,8;11,22;1;0;7;3;0;3;23,04;24,84;0;
VERDE;389;59;45;12;8;50;5,07;10,3;0;2,32;0,69;0;4,07;00:06:33;0,18;0,6;3,08;2,17;12,86;11,65;0;0;5;1;0;1;23,68;19,58;0;
ZUGARO;400;61;40;12;10;43;5,24;11,21;0;3,28;2,97;0;4,75;00:06:33;0,74;0,82;3,12;2,47;10,71;9,99;0;0;5;3;0;3;16,75;18,4;0;
