;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;882;70;81;35;32;164;6,27;14,87;12,81;9,53;8,91;0;12,83;00:12:33;0,93;1,05;3,88;3,38;17,26;7,72;2,72;1,78;8,5;9;0,56;9;46,27;27,7;0;
BIANCU;1088;87;206;66;60;311;8,13;21,34;0,68;21,61;15,23;0;27,37;00:12:33;1,4;1,99;6,1;5,51;28,62;18,97;8;4;18;16;0;16;148,45;44,91;0;
COCCO;1026;82;208;39;50;280;7,4;16,99;24,93;9,32;12,8;0;19,59;00:12:33;1,25;0,91;3,83;4,89;27,3;20,3;2;2;7;16;1;16;142,85;39,79;0;
DALLA BERNARDINA ;899;72;16;32;28;135;6,32;14,18;0;9,79;5,84;0;3,11;00:12:33;0,65;1,09;3,55;3,06;15,07;1,8;0;3;7;6;0;6;16,14;25,49;0;
DORATIOTTO ;704;56;0;13;11;42;4,74;9,32;0;3,08;3;0;0,16;00:12:33;0,43;0,44;1,9;1,51;5,96;0;2;1;2;2;0;2;0;10,74;0;
GOZZI;693;55;4;33;25;82;4,94;15,65;0;9,15;4,3;0;3,42;00:12:33;0,62;1,32;4,75;3,64;11,83;0,6;1;0;12;6;0;6;4,16;22,51;0;
LA ROSA ;905;72;49;39;25;169;6,41;14,89;0;9,83;4,94;0;1,97;00:12:33;0,55;1,09;4,36;2,81;18,67;5,4;0;2;8;5;0;5;48,93;30,63;0;
LELLA ;978;78;124;43;40;229;7,13;18,37;14,51;9,61;16,3;0;22,23;00:12:33;1,67;0,98;4,36;4,11;23,41;12,65;7;3;9;13;1;13;60,41;36,16;0;
MANCA;906;72;37;32;23;149;6,34;13,56;0;7,55;6,64;0;5,35;00:12:33;0,73;0,83;3,54;2,57;16,41;4,13;2;1;5;6;0;6;26,67;26,63;0;
MASTINO;732;58;28;22;19;112;5,1;13,09;0;6,19;5,34;0;3,92;00:12:33;0,73;0,85;2,98;2,6;15,3;3,88;1;1;7;3;0;3;18,99;25,16;0;
MICELI;860;68;23;25;24;130;5,94;12,09;0;4,83;3,69;0;1,06;00:12:33;0,43;0,56;2,86;2,76;15,07;2,65;0;0;5;4;0;4;22,8;23,8;0;
MURONI;872;69;9;38;26;107;6,14;14,18;0;10,71;5,51;0;3,28;00:12:33;0,63;1,23;4,32;3,01;12,22;1,03;0;4;13;7;0;7;8,98;22,45;0;
OGUNSEYE;650;52;7;22;13;49;4,46;11,49;0;6,69;2,84;0;2,07;00:12:33;0,44;1,03;3,43;2,05;7,6;1,11;1;0;5;3;0;3;7,22;14,74;0;
PARIGI;1245;99;369;63;71;437;9,21;20,1;138,42;16,6;22,68;0;66,03;00:12:33;1,82;1,33;5,05;5,7;35,13;29,65;7;2;14;19;6;19;119,58;48,11;0;
PENNINGTON;802;64;30;26;22;99;5,58;12,98;0;7,81;5,22;0;2,48;00:12:33;0,65;0,97;3,25;2,76;12,4;3,79;1;1;5;7;0;7;30,42;21,45;0;
PISANO;758;60;7;35;21;76;5,33;14,22;0;9,92;6,88;0;4,94;00:12:33;0,91;1,31;4,64;2,81;10,01;0,92;2;3;9;11;0;11;6,95;19,9;0;
PITZALIS;877;70;92;30;30;174;6,15;13,89;0;8,1;9,68;0;11,38;00:12:33;1,1;0,92;3,37;3,48;19,88;10,54;3;2;7;9;0;9;52,06;30,29;0;
VERDE;743;59;14;16;17;61;5,07;10,76;0;3,59;5,25;0;1,32;00:12:33;0,71;0,48;2,19;2,29;8,2;1,95;4;1;3;9;0;9;14,47;14,05;0;
ZUGARO;1144;91;224;61;61;315;8,5;20,62;52,1;17,21;24,19;0;51,25;00:12:33;2,11;1,5;5,33;5,32;27,55;19,57;8;2;17;20;2;20;103,7;41,79;0;
