;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;682;66;159;47;43;175;6,23;21,96;7,19;13,73;12,39;0;25,57;00:10:20;1,81;2,01;6,9;6,37;25,65;23,25;2,67;1,56;13,67;16,06;0;16,06;109,15;40,74;0;
BIANCU;703;68;172;49;49;177;6,46;22,87;8,93;15,13;14,32;0;29,8;00:10:20;2,04;2,15;6,93;7,01;25,22;24,45;2;2;9;15;0;15;120,64;40,88;0;
COCCO;649;63;151;47;44;171;5,96;22,67;1,36;14,65;11,31;0;22,95;00:10:20;1,74;2,26;7,28;6,76;26,31;23,26;3;2;14;20;0;20;98,07;42,24;0;
DALLA BERNARDINA ;791;76;214;50;43;199;7,12;20,32;11,65;16,31;12,01;0;31,86;00:10:20;1,52;2,06;6,29;5,45;25,23;27,05;3;2;15;16;0;16;133,48;40,66;0;
DORATIOTTO ;700;68;147;41;38;170;6,22;18,62;2,01;10,1;7,93;0;17,66;00:10:20;1,13;1,44;5,82;5,47;24,26;20,97;0;0;10;13;0;13;102,04;38,89;0;
GOZZI;627;61;140;44;49;172;5,83;24,09;8,15;11,36;8,31;0;23,97;00:10:20;1,32;1,81;6,96;7,75;27,34;22,23;2;0;5;22;0;22;88,94;42,26;0;
LA ROSA ;619;60;108;44;38;148;5,66;22,07;0;15,39;12,57;0;16,57;00:10:20;2,03;2,49;7,05;6,1;23,97;17,51;2;3;17;12;0;12;74,04;39,31;0;
LELLA ;744;72;180;45;45;194;6,7;20,23;6,13;10,22;15,81;0;30,88;00:10:20;2,12;1,37;5,99;6;26,03;24,13;3;0;8;15;0;15;132,77;40,34;0;
MANCA;690;67;189;49;53;197;6,44;24,68;11,05;10,82;20,22;0;27,04;00:10:20;2,93;1,57;7,08;7,73;28,61;27,45;6;0;13;21;0;21;130,12;43,17;0;
MASTINO;677;66;191;49;38;190;6,26;23,4;17,87;17,18;8,96;0;27,92;00:10:20;1,32;2,54;7,18;5,67;28,01;28,14;4;1;14;13;0;13;123,53;44,22;0;
MICELI;629;61;159;41;45;177;5,9;25,29;0,67;11,51;15,63;0;24,88;00:10:20;2,48;1,83;6,56;7,22;28,21;25,23;5;0;8;19;0;19;108,73;42,89;0;
MURONI;626;61;100;38;31;145;5,62;19,82;0;10;7,68;0;9,46;00:10:20;1,23;1,6;6,08;4,94;23,16;15,9;1;0;8;11;0;11;84,7;36,93;0;
OGUNSEYE;659;64;126;44;34;155;5,89;19,36;0;15,13;7,08;0;17,82;00:10:20;1,07;2,29;6,71;5,14;23,53;19,18;0;3;22;12;0;12;100,64;37,83;0;
PARIGI;694;67;157;47;46;172;6,34;22,06;1,34;16;15,81;0;24,81;00:10:20;2,28;2,31;6,78;6,61;24,84;22,67;5;1;19;15;0;15;111,33;39,52;0;
PENNINGTON;724;70;159;47;43;179;6,5;19,83;5,43;11,31;13,17;0;23,53;00:10:20;1,82;1,56;6,53;5,98;24,65;21,95;3;0;11;16;0;16;113,42;38,45;0;
PISANO;635;61;158;60;49;162;5,97;25,53;23,16;20,86;10,74;0;38,21;00:10:20;1,69;3,29;9,49;7,7;25,55;24,95;0;9;28;21;0;21;92,4;44,01;0;
PITZALIS;733;71;182;55;49;185;6,68;21,6;2,67;18,01;15,27;0;34,71;00:10:20;2,08;2,46;7,47;6,64;25,21;24,83;3;2;16;13;0;13;124,06;40,97;0;
VERDE;635;61;147;38;41;168;5,76;21,27;8,95;6,85;11,42;0;15,63;00:10:20;1,8;1,08;6,02;6,47;26,43;23,1;4;1;12;17;0;17;106,86;40,26;0;
ZUGARO;749;72;191;60;45;188;6,81;21,5;20,02;16,24;14,8;0;42,5;00:10:20;1,98;2,17;7,98;5,98;25,12;25,48;2;2;17;18;0;18;119;40,55;0;
