;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;804;65;56;53;46;168;6,2;23,21;0,4;18,79;15,21;0;13,98;00:12:20;1,9;2,37;6,6;5,76;20,93;7,05;5,18;4,47;19,82;19,65;0;19,65;46,62;37;0;
BIANCU;860;70;64;56;57;212;6,72;24,77;0;24,93;17,83;0;17,38;00:12:20;2,07;2,9;6,47;6,67;24,65;7,41;5;6;20;28;0;28;54,95;41,72;0;
COCCO;728;59;30;44;33;136;5,4;18,34;0;11,62;7,2;0;5,41;00:12:20;0,99;1,6;6,01;4,46;18,69;4,11;2;1;15;9;0;9;28,21;32,91;0;
DALLA BERNARDINA ;815;66;54;49;45;172;6,21;21,59;0;13,86;15,39;0;10,31;00:12:20;1,89;1,7;5,98;5,47;21,13;6,58;4;4;16;16;0;16;41,09;35,69;0;
DORATIOTTO ;840;68;23;49;44;169;6,42;21,87;0;20,08;14,28;0;8,54;00:12:20;1,7;2,39;5,87;5,23;20,06;2,74;3;6;23;15;0;15;22,43;35,88;0;
GOZZI;700;57;99;50;52;198;5,6;27,69;0;18,65;16,32;0;21,68;00:12:20;2,33;2,67;7,19;7,42;28,32;14,21;8;5;17;24;0;24;69,14;46,47;0;
LA ROSA ;701;57;46;54;41;122;5,43;23,47;0;21,72;14,42;0;15,51;00:12:20;2,06;3,1;7,74;5,82;17,44;6,6;2;7;26;16;0;16;34,5;33,62;0;
LELLA ;807;65;30;45;44;144;6,15;21,72;0;15,87;17,77;0;6,68;00:12:20;2,2;1,97;5,58;5,39;17,86;3,71;9;3;16;23;0;23;20,57;31,09;0;
MANCA;813;66;82;41;31;140;6;17,58;2,69;11,87;10,27;0;16,98;00:12:20;1,26;1,46;5,06;3,85;17,15;10,07;1;2;16;16;0;16;70,76;31,35;0;
MASTINO;677;55;48;50;43;160;5,33;25,76;0;20,03;14,12;0;11,28;00:12:20;2,09;2,96;7,44;6,28;23,69;7,16;3;6;25;22;0;22;42,8;41,51;0;
MICELI;808;65;43;43;37;159;6,09;20,14;0;12,71;10,49;0;8,93;00:12:20;1,3;1,57;5,38;4,55;19,61;5,26;4;1;10;9;0;9;36,27;34,89;0;
MURONI;1013;82;42;62;52;227;7,73;21,77;0;17,68;18,93;0;10,71;00:12:20;1,87;1,74;6,12;5,11;22,41;4,17;8;5;23;30;0;30;42,21;38,7;0;
PARIGI;856;69;98;70;64;227;6,99;30,24;0;25,82;25,91;0;18,73;00:12:20;3,03;3,02;8,2;7,49;26,48;11,5;9;6;27;26;0;26;91,71;44,97;0;
PENNINGTON;891;72;61;58;46;176;6,78;21,47;0,67;19,26;13,17;0;17,54;00:12:20;1,48;2,16;6,49;5,19;19,78;6,83;4;2;19;15;0;15;47,39;35,41;0;
PISANO;692;56;61;68;57;154;5,7;31,41;0;29,3;17,76;0;23,88;00:12:20;2,57;4,23;9,8;8,26;22,22;8,82;8;9;32;26;0;26;50,02;42,29;0;
PITZALIS;712;58;53;44;39;127;5,47;22,65;0;16,64;12,51;0;8,18;00:12:20;1,76;2,34;6,18;5,46;17,8;7,42;5;4;13;13;0;13;51,73;33,12;0;
VERDE;907;73;46;50;46;154;6,9;21,35;0;21,64;16,78;0;18,98;00:12:20;1,85;2,39;5,54;5,12;17,02;5,1;7;4;16;21;0;21;34,41;32,25;0;
ZUGARO;846;69;70;60;51;181;6,51;22,78;3,36;17,71;15,41;0;16,92;00:12:20;1,82;2,09;7,06;6,06;21,43;8,24;6;5;23;25;0;25;54,29;37,09;0;
