;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;798;84;51;52;45;171;8,02;22,98;0,37;19,04;14,95;49,77;13,4;00:09:30;1,82;2,35;6,43;5,5;20,59;6,05;5,65;4;18,76;21,41;0;21,41;43,05;36,37;0;
BIANCU;768;81;41;47;39;132;7,58;21,27;0;16,46;12,4;48,06;8,63;00:09:30;1,61;2,14;6,07;5,13;17,21;5,3;6;2;17;17;0;17;40,69;31,53;0;
COCCO;648;68;15;35;23;93;6,22;18,08;0;15,94;5,62;59,47;7,93;00:09:30;0,87;2,46;5,35;3,62;14,29;2,25;2;7;17;12;0;12;14,56;28,01;0;
DALLA BERNARDINA ;921;97;78;57;54;244;9,43;25,74;0;21,39;23,38;42,54;13,14;00:09:30;2,54;2,32;6,14;5,9;26,51;8,47;8;5;21;30;0;30;68,79;43,67;0;
DORATIOTTO ;813;86;39;53;47;160;8,09;22,14;0;16,54;14,79;46,42;9,06;00:09:30;1,82;2,03;6,5;5,77;19,65;4,75;5;1;20;22;0;22;33,44;34,62;0;
GOZZI;417;44;3;14;11;21;3,76;10,58;0;4,29;2,64;76,51;0,2;00:09:30;0,63;1,03;3,37;2,52;5,08;0,66;1;2;8;4;0;4;2,76;10,87;0;
LA ROSA ;736;77;14;41;27;116;7,09;18,43;0;14,79;7,17;51,99;6,13;00:09:30;0,97;2,01;5,63;3,67;15,76;1,84;1;4;15;9;0;9;13,54;29,83;0;
LELLA ;845;89;36;58;59;188;8,63;25,54;0;21,44;14,8;43,93;14,68;00:09:30;1,75;2,54;6,91;6,95;22,28;4,3;4;4;14;26;0;26;35,18;40,5;0;
MANCA;900;95;89;62;43;210;9,14;24,71;0;24,92;16,92;44,56;16,54;00:09:30;1,88;2,77;6,86;4,82;23,32;9,86;9;5;27;20;0;20;72,54;41,57;0;
MASTINO;868;91;107;81;66;238;9,35;32,28;4,74;32,09;28,16;48,27;33,1;00:09:30;3,24;3,7;9,38;7,55;27,46;12,3;14;6;28;37;0;37;72,64;46,57;0;
MICELI;928;98;49;59;48;225;9,18;21,54;0;22,52;9,11;44,52;11,97;00:09:30;0,98;2,43;6,4;5,18;24,21;5,31;2;5;18;19;0;19;49,25;41,57;0;
MURONI;902;95;30;53;42;177;8,83;20,35;1,47;17,09;13,54;42,73;11,27;00:09:30;1,5;1,9;5,86;4,64;19,62;3,28;3;4;23;18;0;18;26,31;35,25;0;
PARIGI;931;98;85;74;66;236;9,63;27,01;0;23,29;23,32;40,51;21,91;00:09:30;2,5;2,5;7,94;7,11;25,3;9,07;7;2;17;33;0;33;73,66;43,63;0;
PENNINGTON;943;99;64;45;59;230;9,52;24,07;0;15,86;16,54;41,49;9,36;00:09:30;1,75;1,68;4,78;6,26;24,39;6,8;6;3;18;31;0;31;52,3;40,14;0;
PISANO;639;67;59;54;43;122;6,61;26,94;0;22,76;16,98;59,96;21,28;00:09:30;2,66;3,56;8,39;6,73;19,08;9,29;7;6;24;19;0;19;42,34;35,89;0;
PITZALIS;596;63;14;36;31;99;5,89;21,32;0;11,34;10,78;60,89;7,37;00:09:30;1,81;1,9;6,1;5,23;16,68;2,29;5;3;13;13;0;13;5,9;30,9;0;
VERDE;832;87;57;61;58;187;8,61;27,23;0;23,43;17,97;45,96;18,35;00:09:30;2,16;2,82;7,36;6,92;22,5;6,84;9;5;19;28;0;28;47,01;40,1;0;
ZUGARO;875;92;90;55;48;234;8,8;23,47;0;19,57;20,04;48,29;16,86;00:09:30;2,29;2,24;6,31;5,51;26,69;10,3;7;4;20;26;0;26;80,95;43,68;0;
