;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1190;91;90;84;79;255;8,89;25,59;5,06;30,55;29,27;42,31;24,61;00:13:01;2,44;2,55;7,02;6,65;21,16;7,41;11,07;5,43;27,29;33,57;0;33,57;70,12;37,24;0;
DALLA BERNARDINA ;1121;86;34;77;71;219;8,36;25,51;0;27,37;27,16;44,67;8,93;00:13:01;2,42;2,44;6,9;6,32;19,56;3,05;8;3;26;35;0;35;33,6;35,08;0;
DORATIOTTO ;1250;96;98;103;100;284;9,65;29,97;3,37;39,97;34,68;39,03;37,17;00:13:01;2,77;3,2;8,2;7,97;22,73;7,82;14;7;26;42;0;42;65,91;41,15;0;
GOZZI;963;74;38;59;60;152;7;22,38;0;14,83;18,61;53,09;7,04;00:13:01;1,93;1,54;6,13;6,27;15,82;3,89;6;0;18;18;0;18;33,54;28,14;0;
LA ROSA ;1135;87;93;61;57;226;8,19;21,49;0;21,64;13,44;45,82;14,13;00:13:01;1,18;1,91;5,36;5,06;19,89;8,24;5;8;20;23;0;23;74,53;35,09;0;
LELLA ;1089;84;67;80;75;208;8,06;24,59;0;29,17;28,52;36,38;20,11;00:13:01;2,62;2,68;7,32;6,92;19,11;6,2;8;5;23;33;0;33;65,24;34,64;0;
MANCA;1274;98;70;71;65;250;9,23;22,04;0;28,28;21,07;40,6;21,41;00:13:01;1,65;2,22;5,61;5,13;19,64;5,5;8;5;26;32;0;32;57,95;35,2;0;
MASTINO;1176;90;92;103;99;277;9,07;29,86;0;36,4;39,52;43,83;24,58;00:13:01;3,36;3,1;8,75;8,43;23,56;7,83;12;5;42;50;0;50;85,86;40,49;0;
MURONI;1367;105;67;93;86;335;10,21;25,76;0;32,4;29,67;38,03;20,63;00:13:01;2,17;2,37;6,79;6,29;24,54;4,89;12;5;26;39;0;39;58,92;42,4;0;
PARIGI;1118;86;76;84;76;232;8,45;27,19;0;30,67;29,17;45,68;23,91;00:13:01;2,61;2,74;7,53;6,8;20,75;6,81;11;5;22;31;0;31;68,55;37,28;0;
PENNINGTON;1436;110;181;95;104;380;10,79;26,44;14;32,43;38,37;34,91;37,44;00:13:01;2,67;2,26;6,63;7,26;26,46;12,63;13;7;30;38;0;38;134,74;43,47;0;
PISANO;1027;79;57;65;53;149;7,39;21,03;15;26,87;14,94;48,2;29,2;00:13:01;1,45;2,62;6,29;5,19;14,47;5,57;6;5;21;21;0;21;26,31;28,55;0;
PITZALIS;1179;90;119;85;78;270;8,78;25,42;14,54;29,48;35,72;42,78;26,88;00:13:01;3,03;2,5;7,17;6,64;22,92;10,1;15;4;29;34;0;34;74,36;38,49;0;
VERDE;1155;89;148;90;94;281;8,9;29,8;13,57;32,44;40,53;47,13;32,39;00:13:01;3,51;2,81;7,8;8,15;24,38;12,78;18;6;26;36;0;36;118,29;41,94;0;
ZUGARO;1370;105;116;106;91;306;10,32;26,79;10,37;45,7;38,41;32,12;40,73;00:13:01;2,8;3,34;7,72;6,67;22,36;8,46;19;11;47;38;0;38;83,92;39,48;0;
