;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;304;111;38;34;30;95;11,97;38,66;0,82;15;12,29;35,74;11,6;00:02:43;4,03;4,97;11,22;9,73;31,18;12,58;5,6;5,07;14,4;14,33;0;14,33;21,98;52,11;0;
COCCO;302;113;40;31;27;85;11,88;36,38;0;14,05;12,84;34,51;11,54;00:02:41;4,25;4,65;10,33;9,04;28,14;13,1;5;5;12;13;0;13;37,89;48,56;0;
DALLA BERNARDINA ;319;115;36;31;31;102;12,16;36,35;0;14,37;13,63;32,39;8,01;00:02:46;4,27;4,5;9,87;9,67;31,93;11,14;6;4;14;15;0;15;29,3;51,59;0;
DORATIOTTO ;312;111;41;34;31;96;11,8;37,92;2,02;14,36;10,24;37,27;12,31;00:02:49;3,28;4,6;10,9;10,03;30,68;13,18;5;4;13;16;0;16;22,85;50,94;0;
GOZZI;306;110;53;33;27;93;11,73;38,3;0;14,88;11,9;39,27;15,9;00:02:47;3,89;4,87;10,79;8,77;30,59;17,3;6;5;12;13;0;13;26,49;52,08;0;
LA ROSA ;371;132;53;47;37;125;14,12;38,24;0;18,52;14,36;25,83;15,97;00:02:48;3,87;4,99;12,65;10,04;33,56;14,36;4;9;21;16;0;16;43,01;55,59;0;
LELLA ;263;101;30;33;24;76;10,92;38,97;0;14,23;11,05;39,83;10,41;00:02:35;4,21;5,41;12,49;9,31;29,04;11,34;4;5;14;12;0;12;17,23;50,32;0;
MANCA;346;123;36;35;31;103;12,93;35,96;0;16,05;10,07;27,49;9,64;00:02:48;2,91;4,64;10,11;9,04;29,73;10,33;7;7;14;12;0;12;17,97;50,42;0;
MASTINO;270;103;34;34;27;83;11,38;42,64;0;15,63;11,57;39,35;11,96;00:02:37;4,28;5,78;12,43;9,99;30,74;12,54;7;4;12;12;0;12;16,36;51,54;0;
MURONI;290;103;26;27;29;69;10,68;34,36;0;12,95;9,52;37,54;6,93;00:02:49;3,28;4,46;9,42;10;23,76;9,07;5;2;12;19;0;19;15,65;43,67;0;
PARIGI;305;110;28;33;29;86;11,64;36,42;0;14,51;9,22;34,38;11,13;00:02:46;3,02;4,75;10,68;9,42;28,23;9,04;3;3;12;13;0;13;9,9;50,08;0;
PENNINGTON;305;112;49;34;31;107;12,35;42,19;0;15,49;15,63;34,84;14,87;00:02:43;5,12;5,07;11,01;10,31;34,97;16,12;5;6;14;16;0;16;25,24;56,21;0;
PISANO;245;93;43;30;22;78;10,02;39,19;0;15,65;8,15;49,12;12,05;00:02:38;3,33;6,38;12,23;9,14;31,66;17,41;3;6;15;10;0;10;11,27;53,47;0;
PITZALIS;270;101;21;33;29;82;10,68;36,99;0;15,3;13,6;40,46;6,22;00:02:40;5,03;5,66;12,18;10,73;30,29;7,66;8;9;18;16;0;16;8,97;50,44;0;
VERDE;296;116;43;38;30;105;12,66;41,63;10,23;15,15;11,8;35,65;15,49;00:02:34;3,98;5,11;12,72;10,18;35,57;14,49;4;4;16;14;0;14;16,29;57,82;0;
ZUGARO;357;128;42;38;37;140;14,32;44,84;0;13,87;20,72;29,62;11,52;00:02:47;5,8;3,88;10,75;10,27;39,05;11,82;12;3;17;18;0;18;31,23;59,23;0;
