;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3855;105;597;181;165;1041;9,66;18,56;70,5;64,19;53,42;40,42;76,14;00:36:39;1,37;1,66;4,69;4,25;26,72;15,41;17;16,55;58,27;64,64;2;64,64;396,04;41,05;0;
BIANCU;3117;114;381;141;127;826;10,45;18,41;20,97;50,37;40,2;36,13;47,98;00:27:19;1,29;1,62;4,53;4,08;26,5;12,21;10;11;43;55;1;55;233,17;41,09;0;
DORATIOTTO ;4152;103;603;222;185;1084;9,59;20,2;36,75;79,02;57,39;40,32;91,65;00:40:16;1,38;1,9;5,35;4,45;26,12;14,51;22;24;70;75;1;75;458,72;41,68;0;
GOZZI;3439;85;414;130;104;720;7,59;14,77;114,28;45,32;26,86;51,04;65,83;00:40:16;0,78;1,32;3,77;3,02;20,94;12,04;8;12;45;31;3;31;208,34;32,72;0;
LA ROSA ;4168;103;648;181;152;1014;9,35;16,69;118,38;65,39;51,87;40,28;85,28;00:40:16;1,24;1,57;4,35;3,64;24,32;15,55;17;19;57;61;4;61;374,8;37,46;0;
LELLA ;4480;111;735;234;246;1278;10,47;21,64;29,65;83,63;85,83;34,59;96,12;00:40:16;1,92;1,87;5,23;5,49;28,53;16,41;29;10;69;87;1;87;516,5;43,98;0;
MANCA;4497;112;843;206;176;1328;10,15;17,48;51,57;72,24;52,6;40,64;85,59;00:40:16;1,17;1,61;4,58;3,92;29,53;18,76;18;24;65;64;1;64;577,07;44,44;0;
MASTINO;1073;80;117;64;50;258;7,45;20,18;0;22,08;16,69;48,78;14,37;00:13:23;1,56;2,06;5,99;4,66;24,08;10,9;6;6;24;29;0;29;103,26;39,82;0;
MURONI;4699;116;591;224;192;1390;10,74;19,38;57,92;83,42;59,73;37,31;75,34;00:40:25;1,27;1,78;4,76;4,08;29,59;12,58;16;19;77;90;1;90;495,64;45,3;0;
PARIGI;4808;119;861;232;241;1473;11,09;20,04;101,29;77,7;89,86;34,32;91,5;00:40:16;1,87;1,62;4,83;5,02;30,64;17,91;30;16;67;92;3;92;568,96;45,31;0;
PISANO;3532;88;648;174;144;863;7,99;17,73;103,85;58,67;41,33;48,82;100,67;00:40:16;1,17;1,66;4,94;4,09;24,43;18,34;9;16;55;50;3;50;379,07;37,52;0;
PITZALIS;4437;110;721;183;199;1217;10,12;18,68;140,81;68,28;65,2;36,59;83,25;00:40:16;1,47;1,54;4,13;4,5;27,43;16,24;22;25;69;77;4;77;440,91;41,36;0;
