;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;377;55;36;26;18;105;5,12;20,54;0;6,95;3,18;73,75;4,28;00:06:52;0,84;1,86;6,99;4,88;27,94;9,48;0,33;1,89;10,33;5,89;0;5,89;36,12;45,57;0;
BELLONI ;367;53;15;27;14;77;4,88;17,91;0;8,95;3,54;71,88;4,32;00:06:52;0,96;2,44;7,47;3,91;20,98;4,1;0;0;12;5;0;5;15,05;37;0;
BIANCU;412;60;40;21;10;109;5,39;15,96;0;4,34;0,99;70,81;1,57;00:06:52;0,24;1,05;5,17;2,43;26,38;9,7;0;0;7;1;0;1;39,98;42,53;0;
DALLA BERNARDINA ;451;66;92;39;29;151;6,38;25,54;0;13,25;6,52;68,77;12,5;00:06:52;1,45;2,94;8,59;6,47;33,39;20,34;1;2;10;11;0;11;88,87;53,09;0;
DEMARCUS ;372;54;19;27;20;115;5,08;21,11;0;5,25;3,91;73,89;2,85;00:06:52;1,05;1,41;7,12;5,36;30,92;4,98;2;2;6;7;0;7;18,52;48,22;0;
DORATIOTTO ;370;54;70;30;23;119;5,12;22,83;0;9,83;2,83;74,79;7,34;00:06:52;0,76;2,65;7,99;6,11;32,04;19,01;0;0;14;7;0;7;70,36;51,3;0;
GOZZI;316;46;39;28;18;91;4,52;26,76;0;10,73;3,09;78,94;5,85;00:06:52;0,98;3,39;8,83;5,77;28,89;12,43;0;5;16;11;0;11;39,33;50,13;0;
LA ROSA ;324;47;10;23;9;85;4,35;19,13;0;8,8;0,08;77,5;4,09;00:06:52;0,03;2,71;7,03;2,92;26,3;3,23;0;6;15;2;0;2;10,47;45,6;0;
LELLA ;396;58;29;21;24;104;5,31;18,99;0;2,77;4,92;69,57;1,15;00:06:52;1,24;0,7;5,22;6,01;26,38;7,34;0;1;4;8;0;8;29,05;40,75;0;
MANCA;391;57;29;31;16;120;5,33;21,03;0;7,56;2,45;71,58;2,94;00:06:52;0,63;1,94;7,83;4,03;30,7;7,46;0;3;12;7;0;7;29,16;49,87;0;
MASTINO;383;56;43;28;22;122;5,29;22,73;0;4,33;3,36;74,83;4,46;00:06:52;0,88;1,13;7,38;5,68;31,92;11,28;0;0;7;4;0;4;43,14;50,99;0;
MURONI;410;60;31;20;14;92;5,37;16,34;0;4,59;1,36;71,97;2,47;00:06:52;0,33;1,12;4,77;3,36;22,5;7,45;0;1;8;4;0;4;30,52;36,8;0;
PARIGI;405;59;46;32;22;127;5,54;21,41;0;6,44;2,5;73,38;4,35;00:06:52;0,62;1,59;7,96;5,54;31,35;11,38;0;1;13;7;0;7;46,08;50,36;0;
PENNINGTON;342;50;13;22;12;86;4,53;17,52;0;5,52;0;74,66;0,84;00:06:52;0;1,62;6,31;3,42;25,23;3,73;0;3;10;1;0;1;12,73;42,24;0;
PISANO;349;51;26;27;22;92;4,82;22,42;0;8,97;7,32;76,32;4,78;00:06:52;2,1;2,57;7,79;6,16;26,3;7,51;2;5;13;8;0;8;25,69;43,99;0;
PITZALIS;411;60;30;30;24;115;5,65;22,09;0;6,63;5,88;70,74;5,23;00:06:52;1,43;1,61;7,34;5,83;27,92;7,32;1;1;9;5;0;5;30,05;46,09;0;
VALLOCCHIA;310;45;32;18;17;91;4,18;19,43;0;4,19;3,59;79,22;2,95;00:06:52;1,16;1,35;5,71;5,53;29,3;10,19;0;0;5;9;0;9;31,59;45,11;0;
VERDE;386;56;47;28;15;95;5,14;18,05;0;5,99;0,84;74,71;4,36;00:06:52;0,22;1,55;7,14;3,81;24,67;12,24;0;0;14;3;0;3;47,25;41,44;0;
ZUGARO;385;56;42;24;21;107;5,23;20,39;0;6,86;4,02;74,04;5,02;00:06:52;1,04;1,78;6,11;5,42;27,67;10,98;0;4;11;6;0;6;42,31;44,69;0;
