;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2401;97;209;119;123;458;8,63;15,27;9,71;35,86;44,41;38,41;47,79;00:24:51;1,81;1,48;4,92;5,06;18,72;8,46;10,57;6;32,79;38,43;0,07;38,43;144,4;32,79;0;
BIANCU;2800;113;338;139;161;683;10,24;17,48;45,9;38,85;56,99;34,44;70,91;00:24:51;2,04;1,39;4,95;5,74;24,38;12,09;13;7;27;47;1;47;239,8;39,56;0;
COCCO;2216;89;80;93;96;309;7,77;12,63;0;31,43;27,69;43,85;21,07;00:24:51;1,25;1,42;4,18;4,32;13,96;3,6;5;4;28;37;0;37;68,2;26,76;0;
DALLA BERNARDINA ;2368;95;94;100;106;379;8,32;12,89;2,92;26,22;29,1;38,9;28,61;00:24:51;1,23;1,11;4,24;4,46;16;3,95;4;5;25;30;0;30;61,81;28,64;0;
DEMARCUS ;2492;100;284;162;169;596;9,34;20,41;12,78;49;72,52;38,49;73,84;00:24:51;2,91;1,97;6,52;6,77;23,93;11,41;22;8;44;50;0;50;180,95;40,31;0;
GOZZI;2554;103;341;168;173;587;9,62;20,99;19,67;58,12;75,33;34,93;95,59;00:24:51;2,95;2,28;6,58;6,78;23;13,35;21;10;42;55;0;55;245,9;40,24;0;
LA ROSA ;2369;95;75;82;73;327;8,12;10,11;0;20,86;18,88;36,03;13,67;00:24:51;0,8;0,88;3,48;3,06;13,81;3,15;5;3;25;16;0;16;62,16;24,77;0;
LELLA ;1919;77;24;57;63;171;6,53;9,32;0;14,88;13,34;47,7;9,24;00:24:51;0,69;0,78;2,96;3,26;8,9;1,25;4;1;17;21;0;21;18,68;17,51;0;
MANCA;2723;110;355;133;141;614;9,8;15,61;13,77;34,61;55,8;32,07;62,07;00:24:51;2,05;1,27;4,87;5,19;22,56;13,04;15;6;37;40;0;40;234,24;37,68;0;
MASTINO;2445;98;193;141;137;509;8,94;17,48;0;38,98;51,43;39,9;37,74;00:24:51;2,1;1,59;5,77;5,61;20,83;7,87;10;8;50;56;0;56;144,87;36,79;0;
OGUNSEYE;2250;91;163;105;93;381;7,95;13,47;0;29,42;27,59;44,52;30,32;00:24:51;1,23;1,31;4,65;4,15;16,91;7,22;4;2;29;27;0;27;137,61;30,49;0;
PARIGI;2346;94;156;107;124;411;8,4;15,01;5,51;33;49,78;37,6;38,13;00:24:51;2,12;1,41;4,56;5,31;17,5;6,64;11;6;25;37;0;37;113,35;31,46;0;
PITZALIS;1939;78;257;102;113;372;7,02;16,22;16,84;38,39;38,92;39,21;54,96;00:24:51;2,01;1,98;5,25;5,81;19,17;13,25;8;6;24;35;0;35;164,8;33,36;0;
VERDE;2404;97;256;128;120;477;8,6;14,96;9,83;37,44;41,3;39,64;52,98;00:24:51;1,72;1,56;5,34;5;19,86;10,64;12;6;42;35;0;35;171,56;34,9;0;
ZUGARO;2793;112;306;154;150;593;10,19;17,24;8,73;50,85;63,05;30,5;79,95;00:24:51;2,26;1,82;5,52;5,35;21,24;10,95;14;12;44;52;0;52;177,67;36,63;0;
