;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2121;107;177;125;125;434;9,75;17,81;7,26;36,98;42,53;34,41;43,05;00:19:51;1,99;1,74;5,88;5,87;20,18;8,14;11,54;5,77;35,54;43,23;0,08;43,23;131,18;35,66;0;
COCCO;1773;89;62;105;112;289;8,12;17,54;0;32,11;34,99;45,1;21,78;00:19:51;1,97;1,81;5,94;6,33;16,29;3,47;7;4;30;37;0;37;50,81;31,48;0;
DALLA BERNARDINA ;2064;104;123;120;114;393;9,42;17,18;0;33,85;40,64;33,99;32,93;00:19:51;1,97;1,64;5,8;5,54;19,02;5,94;9;5;38;48;0;48;103,14;34,62;0;
DEMARCUS ;2231;112;294;174;187;602;10,87;25,06;21,13;54,51;72,33;35,43;64,22;00:19:51;3,24;2,44;7,8;8,39;26,99;13,16;18;6;56;71;0;71;214,73;45,21;0;
GOZZI;2143;108;169;136;137;414;9,97;19,42;13,47;46,14;55,43;29,9;57,7;00:19:51;2,59;2,15;6,36;6,41;19,32;7,87;16;6;44;44;0;44;123,81;35,75;0;
LA ROSA ;2219;112;184;105;97;432;9,84;13,8;0;26,27;19,87;30,57;24,95;00:19:51;0,9;1,18;4,73;4,38;19,47;8,29;5;2;28;25;0;25;153,09;33,88;0;
LELLA ;1845;93;109;86;80;277;8,18;13,83;0;23,32;25,32;39,52;25,94;00:19:51;1,37;1,26;4,64;4,36;15;5,91;9;5;24;35;0;35;70,08;27,69;0;
MASTINO;2211;111;307;179;165;575;10,61;23,14;3,78;62,81;58,44;36,47;80,15;00:19:51;2,64;2,84;8,11;7,45;25,99;13,87;18;17;56;61;0;61;225,76;44,92;0;
MICELI;2227;112;66;94;110;391;9,87;13,76;0;19,92;30,94;30,04;12,22;00:19:51;1,39;0,89;4,22;4,95;17,54;2,98;10;2;21;35;0;35;66,3;30,16;0;
PARIGI;2101;106;209;129;133;449;9,76;19,27;12,49;33,61;48,64;35,39;52,55;00:19:51;2,32;1,6;6,14;6,32;21,36;9,94;13;6;26;47;0;47;147,16;37,23;0;
PENNINGTON;2425;122;182;121;129;533;10,89;15,28;11,39;24,02;37,21;27,52;34,64;00:19:51;1,53;0,99;4,99;5,3;21,98;7,49;11;3;27;48;0;48;145,14;36,66;0;
PISANO;1887;95;140;93;85;315;8,41;14,32;15,45;30,63;25,29;39,28;28,71;00:19:51;1,34;1,62;4,93;4,51;16,67;7,44;4;4;26;22;1;22;97,71;29,82;0;
VERDE;1953;98;117;114;107;337;8,87;16,52;0;34,3;39,28;38,38;32,98;00:19:51;2,01;1,76;5,84;5,5;17,28;5,99;11;8;43;34;0;34;106,58;32,27;0;
ZUGARO;2489;125;336;172;172;633;11,87;22,41;16,62;59,18;64,52;25,76;90,85;00:19:51;2,59;2,38;6,92;6,92;25,43;13,48;19;7;43;55;0;55;201,09;43,88;0;
