;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;6158;95;518;310;313;1290;8,56;15,95;25,64;90,47;110,14;43,59;99,28;01:04:34;1,78;1,47;5,01;5,06;20,81;8,33;28,81;14,94;88,19;102,94;0,44;102,94;385,96;35,43;0;
ALTARE ;5787;90;472;336;319;1137;8,16;17,66;47,54;122,02;114,69;45,46;134,01;01:04:34;1,98;2,11;5,81;5,52;19,64;8,16;34;35;118;106;1;106;280,51;35,28;0;
BELLONI ;6850;106;448;333;353;1550;9,5;15,7;0;85,2;115,43;38,13;66,27;01:04:34;1,69;1,24;4,86;5,16;22,63;6,54;25;14;85;118;0;118;425,61;37,6;0;
BIANCU;6496;101;668;331;341;1493;9,12;17,15;22,72;101,18;129,74;41,62;103,08;01:04:34;2;1,56;5,09;5,25;22,98;10,28;35;14;85;104;0;104;504,48;38,47;0;
COCCO;5692;88;574;306;276;1147;7,88;15,49;41,08;87,63;84,45;48,48;106,54;01:04:34;1,48;1,54;5,38;4,84;20,15;10,08;22;11;85;86;0;86;400,4;35,29;0;
DALLA BERNARDINA ;6058;94;473;295;300;1259;8,4;15,65;34,07;80,06;93,42;43,73;82,3;01:04:34;1,54;1,32;4,87;4,96;20,78;7,81;21;8;72;89;0;89;370,77;35,15;0;
DEMARCUS ;6061;94;589;447;415;1463;8,93;22,96;44,01;157,89;173,44;44,52;181,06;01:04:34;2,86;2,6;7,38;6,85;24,14;9,72;47;26;134;137;1;137;404,18;42,1;0;
GIANDONATO;5337;83;74;141;168;648;7,01;9,62;0;35,45;46,63;48,59;13,77;01:04:34;0,87;0,66;2,65;3,14;12,15;1,4;9;4;42;46;0;46;74,46;21,37;0;
GOZZI;6492;101;637;332;346;1433;9,09;16,82;12,02;107,94;128,37;40,55;123,59;01:04:34;1,98;1,66;5,12;5,33;22,07;9,81;34;24;108;129;0;129;496,02;37,43;0;
LA ROSA ;6252;97;453;240;241;1201;8,41;12,11;23,1;59,15;65,19;41,61;48,44;01:04:32;1,04;0,95;3,84;3,86;19,2;7,25;15;7;60;59;0;59;376,44;31,94;0;
LELLA ;5695;88;501;236;241;1096;7,72;13,06;29,88;54,72;75,66;47,43;68,62;01:04:34;1,33;0,96;4,15;4,22;19,25;8,8;18;6;58;83;1;83;313,76;31,73;0;
MASTINO;6043;94;565;355;347;1400;8,64;19,3;19,52;106,14;143,97;47,03;142,59;01:04:34;2,38;1,76;5,88;5,75;23,18;9,35;50;22;115;134;0;134;379,86;39,65;0;
OGUNSEYE;5957;92;359;291;280;1126;8,21;15,06;30,94;92,42;92,71;45,18;78,33;01:04:34;1,56;1,55;4,89;4,7;18,91;6,02;24;10;88;93;1;93;266,39;33,33;0;
PARIGI;5965;92;519;315;311;1222;8,28;15,8;46,53;83,2;111,48;44,74;111,53;01:04:34;1,87;1,39;5,28;5,21;20,49;8,71;31;11;82;98;2;98;350,05;35,12;0;
PENNINGTON;6669;103;518;248;306;1389;9,02;12,89;17,32;55,48;84,85;39,52;51,75;01:04:34;1,27;0,83;3,71;4,59;20,82;7,77;16;9;65;107;1;107;429,5;33,78;0;
VERDE;6409;99;618;349;354;1402;9;17,19;12,8;99,51;132,86;41,26;115,37;01:04:34;2,07;1,55;5,45;5,52;21,87;9,65;36;19;102;115;0;115;524,34;37,62;0;
ZUGARO;6762;105;811;395;411;1669;9,63;18,81;28,7;119,54;169,3;39,59;161,28;01:04:34;2,5;1,77;5,84;6,08;24,68;11,99;44;19;112;143;0;143;578,61;41;0;
