;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;751;63;4;16;11;68;5,12;5,78;0;4,34;2,02;61,86;1,31;00:12:01;0,27;0,58;2,14;1,47;9,12;0,49;0,17;1,17;6,22;1,33;0;1,33;3,7;17,16;0;
ALTARE ;788;64;0;15;7;62;5,19;4,13;0;3,86;1,34;60,08;0,36;00:12:14;0,17;0,49;1,92;0,93;7,86;0;0;0;5;1;0;1;0;15,18;0;
BELLONI ;730;61;0;20;13;68;5,05;7,08;0;4,76;1,63;63,03;1,29;00:11:58;0,22;0,65;2,72;1,73;9,35;0;0;2;5;1;0;1;0;18,19;0;
BIANCU;755;63;5;14;10;61;5,16;5,31;0;4,69;0,94;62,81;1,09;00:11:55;0,12;0,62;1,81;1,31;8,04;0,63;0;3;6;0;0;0;4,75;15,56;0;
COCCO;689;58;1;15;14;73;4,78;7;0;3,86;1,41;63,74;1,57;00:11:56;0,2;0,56;2,22;2,09;10,61;0,19;0;1;5;0;0;0;1,31;19,57;0;
DALLA BERNARDINA ;795;66;15;21;12;73;5,46;6,73;0;7,99;3,35;60,12;2,82;00:12:02;0,42;1;2,64;1,53;9,16;1,85;0;4;7;2;0;2;14,71;18,33;0;
DEMARCUS ;779;65;8;19;13;69;5,35;6,96;0;5,51;4;60,18;1,71;00:12:03;0,51;0,71;2,45;1,67;8,9;1,08;0;2;9;3;0;3;8,4;17,12;0;
GIANDONATO;708;59;0;8;9;35;4,76;4,07;0;0,33;0,66;61,93;0;00:11:58;0,09;0,05;1,14;1,22;4,98;0;0;0;1;0;0;0;0;9,3;0;
GOZZI;769;64;8;17;9;51;5,17;5,12;0;5,16;1,45;59,35;1,82;00:12:06;0,19;0,67;2,16;1,11;6,66;1,03;1;2;6;2;0;2;7,9;13,67;0;
LA ROSA ;738;62;0;15;11;88;5,08;6,05;0;3,99;2,08;64,42;1,3;00:11:56;0,28;0,54;2,07;1,51;11,93;0,01;0;1;6;1;0;1;0,09;20,45;0;
LELLA ;813;67;1;19;11;63;5,51;5,68;0;6,46;1,49;60;3,25;00:12:03;0,18;0,79;2,38;1,4;7,77;0,07;0;0;8;3;0;3;0,56;16,25;0;
MASTINO;717;60;3;10;13;93;5;7,01;0;1,47;2,67;64,32;0,62;00:11:52;0,37;0,2;1,46;1,85;13,04;0,47;0;1;3;3;0;3;3,33;22,39;0;
OGUNSEYE;742;62;2;14;11;59;5,05;5,08;0;3,57;1,52;62,23;0,43;00:11:57;0,2;0,48;1,88;1,42;7,89;0,33;0;1;6;0;0;0;2,46;14,8;0;
PARIGI;779;65;0;8;7;74;5,25;3,65;0;1,39;0,35;61,67;0,16;00:11:54;0,04;0,18;1,04;0,94;9,55;0,05;0;0;4;0;0;0;0,37;15,82;0;
PENNINGTON;773;64;0;13;8;49;5,12;3,91;0;3,1;2,05;59,94;0,81;00:12:08;0,27;0,4;1,71;1,02;6,34;0;0;1;7;1;0;1;0;12,17;0;
PISANO;719;61;4;26;15;93;5,11;8,84;0;7,01;4,19;64,05;4,26;00:11:51;0,58;0,97;3,62;2,04;12,94;0,56;1;0;16;4;0;4;4,03;24,84;0;
PITZALIS;721;59;2;18;12;64;4,73;4,45;0;7,26;4,28;59,04;0;00:12:19;0,59;1,01;2,45;1,64;8,86;0,33;0;1;5;0;0;0;2,35;16,69;0;
VERDE;759;63;7;21;12;80;5,25;6,95;0;3,88;0,83;63,92;1,63;00:11:57;0,11;0,51;2,7;1,58;10,53;0,89;0;1;5;2;0;2;6,75;19,95;0;
ZUGARO;751;62;10;17;11;75;5,11;6,21;0;3,86;2,15;62,96;0,52;00:12:05;0,29;0,51;2,21;1,52;9,98;1,27;1;1;8;1;0;1;9,56;18,78;0;
