;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;751;58;119;105;91;216;6,45;44,14;1,92;53,3;48,98;69,78;61,89;00:12:59;6,53;7,1;14,06;12,1;28,73;15,81;19,76;19,65;42,35;36,41;0;36,41;96,21;54,77;0;
ALTARE ;795;61;113;101;78;222;6,52;37,78;0;48,01;40,68;72,52;55,24;00:12:59;5,12;6,04;12,69;9,81;27,9;14,17;15;17;43;29;0;29;98;53,03;0;
CANDELA;752;58;57;86;72;187;5,99;33,62;0;34,48;37,45;71,17;29,19;00:12:59;4,98;4,58;11,4;9,54;24,88;7,6;16;13;34;32;0;32;55,53;48,24;0;
COCCO;700;54;121;116;95;225;6,35;52,23;0;56,35;49,87;74,87;68,98;00:12:59;7,12;8,05;16,57;13,51;32,19;17,3;24;23;41;38;0;38;95,84;59,58;0;
DALLA BERNARDINA ;787;61;170;109;90;236;6,7;43,13;4,21;53,06;52,43;65,12;72,65;00:12:59;6,67;6,75;13,83;11,39;30,07;21,56;20;21;41;40;0;40;122,5;56,06;0;
DEMARCUS ;755;58;124;118;107;227;6,72;49,41;0;62,5;52,98;65,3;69,56;00:12:59;7,02;8,28;15,67;14,21;30,04;16,47;26;22;49;42;0;42;99,91;57,6;0;
GIANDONATO;670;52;61;85;74;195;5,7;42,81;0;39,83;37,95;73,14;28,3;00:12:59;5,67;5,95;12,73;11,03;29,06;9,17;18;14;43;36;0;36;60,72;53,47;0;
GOZZI;698;54;109;93;91;209;6,01;44,49;0;47,08;48,3;73,47;49,13;00:12:59;6,92;6,75;13,39;13;29,9;15,63;19;19;46;40;0;40;91,45;55,03;0;
LA ROSA ;757;58;101;103;88;204;6,35;41;0;50,57;48,66;67,21;55,4;00:12:59;6,43;6,68;13,61;11,59;26,97;13,31;15;15;39;32;0;32;98,28;52,37;0;
LELLA ;763;59;122;108;101;204;6,63;46,03;1,26;63,37;53,06;67,45;70,77;00:12:59;6,96;8,31;14,19;13,19;26,75;15,98;23;24;43;41;0;41;90,16;53,82;0;
MANCA;699;54;97;102;92;199;6,12;46,98;0;54,41;48,31;70,66;56,54;00:12:59;6,91;7,78;14,56;13,14;28,41;13,86;21;23;41;36;0;36;94,66;55,65;0;
MASTINO;807;62;176;125;103;264;7,15;48,68;14,09;65,9;61,89;67,81;91,4;00:12:59;7,67;8,17;15,53;12,71;32,72;21,76;24;22;49;33;0;33;122,73;59,45;0;
PARIGI;736;57;121;105;95;225;6,35;44,71;0;43,96;56,59;72,09;60,92;00:12:59;7,69;5,97;14,29;12,86;30,52;16,43;19;14;45;38;0;38;85,59;55,21;0;
PENNINGTON;814;63;116;99;83;224;6,59;35,88;0;41,26;43,61;68,87;48,49;00:12:59;5,36;5,07;12,15;10,14;27,51;14,2;21;13;39;33;0;33;97,13;50,72;0;
PISANO;734;57;83;105;86;180;6,15;40,14;3,07;53,04;42,73;69,17;54,4;00:12:57;5,82;7,23;14,34;11,72;24,46;11,25;16;19;46;36;0;36;63,17;50,76;0;
VALLOCCHIA;720;55;152;119;108;223;6,59;53,55;0;68,26;53,19;73,8;85,58;00:12:59;7,38;9,48;16,58;15,03;31,02;21,06;19;27;42;41;0;41;110,88;60,95;0;
VERDE;819;63;166;108;81;223;6,92;41,86;0;60,67;48,21;68,03;78,02;00:12:59;5,88;7,4;13,18;9,87;27,18;20,25;16;19;38;35;0;35;151;52,87;0;
ZUGARO;764;59;143;109;100;220;6,75;48,05;10,03;63,36;56,74;65,59;77,49;00:12:58;7,42;8,29;14,3;13,04;28,84;18,74;24;29;41;37;0;37;98,05;56,27;0;
