;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;782;101;42;47;46;140;9,23;17,96;0,15;14,85;16,16;35,91;13,98;00:07:45;2,04;1,87;5,92;5,83;17,55;5,23;4,29;3,29;15,35;17,18;0;17,18;35,72;32,7;0;
ALTARE ;833;107;84;75;64;175;10,39;24,89;0;32,43;22;32,05;35,4;00:07:45;2,64;3,89;8,94;7,67;21,02;10,11;6;11;26;24;0;24;61,96;41,62;0;
CANDELA;707;91;20;40;38;109;8,24;16,78;0;12,92;13,68;42,85;6,35;00:07:45;1,94;1,83;5,66;5,41;15,4;2,87;4;3;13;15;0;15;20,29;29,46;0;
COCCO;691;89;4;28;33;77;7,84;13,72;0;9,2;9,87;39,81;3,55;00:07:45;1,43;1,33;4,05;4,77;11,17;0,54;2;1;9;16;0;16;3,76;22,37;0;
DALLA BERNARDINA ;789;102;36;48;51;138;9,37;18,94;0;12,62;20,24;35,22;10,74;00:07:45;2,56;1,6;6,02;6,42;17,53;4,55;6;1;9;17;0;17;33,84;32,16;0;
DEMARCUS ;912;118;43;50;63;186;10,83;18,95;0;17,52;19,84;26,69;15,22;00:07:45;2,17;1,92;5,52;6,9;20,37;4,73;4;3;16;24;0;24;43,12;36,34;0;
GIANDONATO;643;83;8;21;22;62;7,07;10,21;0;5,01;4,37;45,32;3,55;00:07:45;0,68;0,78;3,23;3,46;9,66;1,27;0;1;6;8;0;8;8,16;19,45;0;
GOZZI;699;90;12;26;26;77;7,86;12,58;0;8,18;6,44;41,97;3,51;00:07:45;0,92;1,17;3,78;3,73;10,98;1,74;1;0;8;9;0;9;12,15;21,21;0;
LELLA ;868;112;65;53;62;179;10,32;19,16;0;17,42;18,46;27,28;19,87;00:07:45;2,13;2,01;6,15;7,16;20,65;7,51;4;7;18;26;0;26;60,23;37,34;0;
MASTINO;687;89;14;47;41;110;8,25;20,21;0;14,62;14,94;42,33;7,53;00:07:45;2,17;2,13;6,84;5,99;16,04;2,01;6;4;18;21;0;21;13,8;31,42;0;
OGUNSEYE;868;112;76;59;52;202;10,34;19,37;0;17,22;16,17;35,05;19,77;00:07:45;1,86;1,98;6,78;5,94;23,27;8,78;5;4;19;10;0;10;63,23;40,48;0;
PARIGI;763;98;57;50;53;144;9,21;21,04;2,52;13,24;22,22;37,76;24,06;00:07:45;2,91;1,74;6,49;6,95;18,92;7,53;5;3;17;21;0;21;37,42;35,31;0;
PENNINGTON;860;111;22;51;45;153;10,06;17,29;0;13,59;14,24;28,77;10,7;00:07:45;1,66;1,58;5,97;5,22;17,74;2,53;4;3;16;15;0;15;21,75;33,51;0;
PISANO;798;103;108;61;52;206;9,62;20,74;0;17,93;17,94;40,23;24,55;00:07:45;2,25;2,25;7,63;6,49;25,85;13,52;6;4;17;17;0;17;96,14;44,31;0;
PITZALIS;724;93;48;43;47;134;8,6;19,04;0;13,13;17,93;41,47;8,39;00:07:45;2,48;1,81;5,98;6,45;18,45;6,63;6;3;15;16;0;16;31,42;33,43;0;
VALLOCCHIA;899;116;31;55;52;174;10,65;18,77;0;15,34;19,94;27,27;11,51;00:07:45;2,22;1,71;6,08;5,76;19,38;3,41;6;2;19;20;0;20;24,54;35,76;0;
VERDE;725;94;18;38;36;103;8,39;15,89;0;12,83;16,21;37,75;13,2;00:07:45;2,24;1,77;5,23;4,96;14,26;2,51;3;3;13;14;0;14;14,96;28,28;0;
ZUGARO;835;108;72;53;49;148;9,86;17,77;0;19,23;20,25;28,57;19,79;00:07:43;2,42;2,3;6,35;5,89;17,67;8,65;5;3;22;19;0;19;60,37;33,43;0;
