;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2212;98;222;105;108;454;8,73;14,55;16,12;27,66;35,28;40,6;45,75;00:22:28;1,57;1,25;4,72;4,85;20,19;9,74;7,83;4,83;27,33;32,17;0,28;32,17;146,13;34,14;0;
ALTARE ;2374;106;379;132;138;530;9,5;16,14;57,94;42,14;34,37;35,61;90,89;00:22:28;1,45;1,77;5,57;5,82;22,32;15,97;5;10;39;33;1;33;204,42;38,06;0;
BAH;2082;93;191;102;86;369;8,11;13,13;17,93;27,59;28,67;43,18;42,72;00:22:28;1,38;1,33;4,89;4,13;17,7;9,16;4;3;31;22;0;22;99,13;31;0;
BIANCU;2199;98;165;86;91;416;8,56;13;0;17,42;29,11;39,92;20,55;00:22:28;1,32;0,79;3,92;4,16;18,93;7,52;9;3;14;28;0;28;128,75;31,7;0;
CANDELA;2621;117;412;132;132;618;10,39;15,08;73,7;34,2;39,83;31,26;82,52;00:22:28;1,52;1,3;5,04;5,04;23,58;15,72;6;11;33;31;2;31;206,46;38,42;0;
COCCO;2171;97;80;86;91;363;8,44;12,84;0;22,71;28;40,48;19,84;00:22:28;1,29;1,05;3,94;4,17;16,71;3,69;3;5;27;28;0;28;67,87;29,66;0;
DALLA BERNARDINA ;1622;72;38;59;65;217;6,2;11,06;0;15,22;14,66;54,58;10,2;00:22:28;0,9;0,94;3,62;4;13,35;2,37;4;2;13;12;0;12;38,4;24,14;0;
DEMARCUS ;1496;67;168;80;79;306;5,97;15,8;1,82;21,99;23,22;64,5;19,57;00:22:28;1,55;1,47;5,37;5,31;20,44;11,21;2;6;28;28;0;28;117,72;33,4;0;
GOZZI;1910;85;81;72;76;282;7,36;11,87;6,1;13,97;23,47;44,94;16,52;00:22:28;1,23;0,73;3,75;3,98;14,76;4,22;5;2;17;27;0;27;58,74;26,21;0;
LA ROSA ;2209;98;178;84;71;382;8,45;11,11;2,23;20,86;21,77;37,29;32,77;00:22:28;0,99;0,94;3,81;3,23;17,29;8,08;5;3;21;19;0;19;119,81;29,69;0;
MANCA;2539;113;289;110;118;574;9,99;14,28;0,28;23,92;38,11;32,28;39,02;00:22:28;1,5;0,94;4,33;4,66;22,61;11,37;9;1;27;37;0;37;236,45;36,91;0;
MASTINO;2422;108;327;134;136;571;9,76;17,02;59,6;35,35;52,89;34,91;84,86;00:22:28;2,18;1,46;5,52;5,6;23,56;13,51;15;9;40;41;1;41;160,41;38,78;0;
MICELI;2498;111;189;99;118;613;9,88;14,92;0;27,28;39,63;36,63;23,67;00:22:28;1,59;1,09;3,96;4,72;24,53;7,57;7;3;19;40;0;40;157,61;39,35;0;
OGUNSEYE;2138;95;195;108;106;398;8,47;15,03;13,97;31,93;30,88;39,93;51,77;00:22:28;1,44;1,49;5,04;4,96;18,61;9,14;7;3;23;31;0;31;145,38;32,98;0;
PARIGI;2370;105;371;143;150;560;9,62;17,85;41,87;31,81;57,09;37,73;103,27;00:22:28;2,41;1,34;6,01;6,35;23,62;15,67;12;4;30;42;1;42;168,13;39,6;0;
PENNINGTON;2491;111;191;95;100;527;9,65;12,52;0;23,64;33,91;34,78;27,21;00:22:28;1,36;0,95;3,82;4,01;21,14;7,68;8;5;25;35;0;35;178,43;34,55;0;
PISANO;1792;80;172;99;90;332;7,09;14,95;6,6;27,45;27,04;52,71;33,72;00:22:28;1,51;1,53;5,53;5,05;18,51;9,61;6;5;33;33;0;33;137,63;32,97;0;
VALLOCCHIA;2482;110;370;153;160;642;10,22;19,61;4,4;41,96;66,66;36,7;74,17;00:22:28;2,69;1,69;6,15;6,45;25,85;14,89;23;6;40;49;0;49;264,83;42,45;0;
VERDE;2400;107;191;114;135;477;9,55;15,59;3,68;38,39;45,67;33,26;50,19;00:22:28;1,9;1,6;4,74;5,61;19,86;7,94;11;6;32;43;0;43;140,25;34,66;0;
