;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;658;72;98;15;11;97;5,88;5,7;0;2,38;1,22;58,71;1,92;00:09:08;0,19;0,36;2,31;1,72;14,82;14,96;0,11;0,11;2,89;1,67;0;1,67;82,7;20,78;0;
ALTARE ;670;69;72;9;9;95;5,54;3,55;0;0,17;0,45;61,44;0;00:09:40;0,07;0,03;1,31;1,3;14,25;10,74;0;0;4;1;0;1;68,52;18,96;0;
BAH;670;73;57;13;12;87;5,91;5,07;0;0,62;1,18;58,42;1,2;00:09:12;0,18;0,09;1,93;1,72;12,96;8,57;0;0;0;0;0;0;57,38;18,93;0;
BIANCU;701;72;111;19;11;102;5,93;5,69;0;3,09;0,86;56,73;5,65;00:09:40;0,12;0,44;2,75;1,5;14,5;15,86;0;0;3;2;0;2;74,44;20,62;0;
CANDELA;671;69;112;20;9;97;5,7;6,23;0;3,69;0,9;62,65;1,83;00:09:40;0,13;0,55;2,98;1,32;14,43;16,68;0;1;4;1;0;1;106,5;21,19;0;
COCCO;641;73;101;21;13;98;6,03;6,77;0;3,99;1,33;56,45;2,95;00:08:47;0,21;0,62;3,22;2,1;15,34;15,69;0;0;4;2;0;2;90,16;21,35;0;
DALLA BERNARDINA ;689;76;132;14;15;126;6,24;5,62;0;1,66;1,35;56,98;2,62;00:09:01;0,2;0,24;1,98;2,21;18,24;19,11;0;0;3;3;0;3;66,53;24,32;0;
DEMARCUS ;646;67;100;14;11;93;5,43;5,06;0;2,01;0,19;62,14;1,39;00:09:40;0,03;0,31;2,24;1,65;14,33;15,51;0;0;4;1;0;1;98,86;19,94;0;
GOZZI;591;71;109;11;13;97;5,84;6,78;0;2,2;2,22;57,88;0,71;00:08:21;0,38;0,37;1,79;2,21;16,46;18,42;1;1;3;2;0;2;77,84;23,47;0;
LA ROSA ;643;75;74;13;10;93;6,16;5,61;0;1,96;0,93;56,75;0,62;00:08:32;0,14;0,3;1,98;1,53;14,48;11,46;0;0;3;2;0;2;73;20,32;0;
MANCA;698;72;93;14;12;91;5,87;5,21;0;1,5;0,41;57,26;0,28;00:09:40;0,06;0,21;2,03;1,78;13,07;13,25;0;0;2;2;0;2;91,61;18,18;0;
MASTINO;624;64;108;12;9;105;5,26;5,45;0;1,87;1,21;65,43;0;00:09:40;0,19;0,3;1,92;1,48;16,81;17,33;0;0;1;1;0;1;104,76;22,08;0;
MICELI;641;66;108;22;17;107;5,54;8,09;0;5,06;2,33;63,07;2,32;00:09:40;0,36;0,79;3,39;2,62;16,63;16,9;0;0;6;2;0;2;84,6;22,66;0;
OGUNSEYE;626;74;84;11;10;97;6,05;4,91;0;1,32;1,35;58,08;1,08;00:08:24;0,22;0,21;1,77;1,62;15,49;13,36;0;0;1;3;0;3;83,62;21,58;0;
PARIGI;690;71;111;17;13;105;5,88;6,65;0;4,88;2,12;57,26;2,71;00:09:40;0,31;0,71;2,5;1,88;15,26;16,09;1;0;2;1;0;1;85,33;21,37;0;
PENNINGTON;671;77;83;10;6;81;6,17;3,9;0;0,42;0,22;53,23;2,05;00:08:45;0,03;0,06;1,42;0,87;12,09;12,44;0;0;1;1;0;1;81,84;17,79;0;
PISANO;620;71;104;19;13;99;5,9;6,92;0;3,37;2,72;59,98;1,46;00:08:42;0,44;0,54;3,08;2,14;15,93;16,75;0;0;4;4;0;4;80,91;22,23;0;
VALLOCCHIA;648;74;100;14;9;87;5,97;4,76;0;1,68;0,83;58,92;0,73;00:08:48;0,13;0,26;2,17;1,43;13,46;15,42;0;0;3;1;0;1;82,37;19,3;0;
VERDE;697;80;108;21;11;91;6,62;6,34;0;3,3;1,3;52,26;6,89;00:08:40;0,19;0,47;3,03;1,63;13,11;15,53;0;0;4;1;0;1;80,39;20,01;0;
