;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1042;72;10;49;37;196;6,29;12,48;0;10,69;8,77;60,53;1,8;00:14:26;0,83;1,02;4,67;3,54;18,59;0,97;1,89;1,33;18,44;11,94;0;11,94;10,41;31,7;0;
ALTARE ;1140;79;19;53;51;277;6,96;13,88;0;14,91;11,13;58,26;1,42;00:14:26;0,98;1,31;4,65;4,44;24,32;1,7;2;5;30;21;0;21;19,4;39,16;0;
BAH;1016;70;1;43;32;163;6,07;11,51;0;7,75;5,84;59,98;0;00:14:26;0,58;0,76;4,24;3,19;16,1;0,07;1;2;9;4;0;4;0,75;28,54;0;
BIANCU;1065;74;0;38;25;169;6,27;9,91;0;6,48;4,17;58,43;1,48;00:14:26;0,39;0,61;3,53;2,32;15,86;0;0;2;12;6;0;6;0;27,15;0;
CANDELA;1101;76;4;48;40;178;6,56;11,14;0;14,53;8,57;58,06;3,17;00:14:26;0,78;1,32;4,37;3,61;16,14;0,38;0;1;18;6;0;6;4,21;28,62;0;
COCCO;964;67;0;36;26;129;5,71;10,43;0;6,93;4,99;62,07;0,16;00:14:26;0,52;0,72;3,75;2,66;13,38;0;0;1;12;8;0;8;0;23,51;0;
DALLA BERNARDINA ;1026;71;6;55;44;209;6,29;14,37;0;9,96;13,68;60,67;1,64;00:14:26;1,33;0,97;5,36;4,31;20,35;0,61;4;1;17;16;0;16;6,26;34,25;0;
DEMARCUS ;1053;73;36;55;54;305;6,58;16,54;0;13,01;15,17;63,87;1,21;00:14:26;1,44;1,24;5,19;5,15;28,95;3,43;2;1;23;21;0;21;36,08;44,92;0;
GOZZI;944;65;16;48;41;179;5,77;14,08;0;9,52;9,63;64,2;1,61;00:14:26;1,02;1,01;5,11;4,29;18,98;1,66;0;1;25;14;0;14;15,64;32,87;0;
LA ROSA ;1080;75;19;43;31;179;6,37;9,95;0;6,37;4,83;59,34;0;00:14:26;0,45;0,59;4,03;2,9;16,59;1,74;1;1;13;8;0;8;18,83;28,7;0;
MANCA;1177;82;33;70;64;308;7,46;18,11;0;14,59;17,18;57,37;5,09;00:14:26;1,46;1,24;5,93;5,42;26,14;2,76;8;2;26;24;0;24;31,61;42,69;0;
MASTINO;1043;72;21;49;54;244;6,46;15,49;0;10,8;17,91;61,79;2,93;00:14:26;1,72;1,03;4,67;5,15;23,41;1,98;10;1;16;28;0;28;20,67;37,37;0;
MICELI;995;69;0;48;27;153;5,94;11,38;0;12,49;7,2;62,03;1,42;00:14:26;0,72;1,26;4,86;2,68;15,39;0;0;0;16;5;0;5;0;28,42;0;
OGUNSEYE;922;64;0;30;16;76;5,3;7,27;0;3,72;3,31;61,68;0;00:14:26;0,36;0,4;3,23;1,7;8,19;0;1;0;9;7;0;7;0;16,05;0;
PARIGI;1142;79;4;65;39;238;6,93;13,26;0;14,98;6,14;57,54;2,52;00:14:26;0,54;1,31;5,68;3,44;20,87;0,33;0;2;25;8;0;8;3,76;36,42;0;
PENNINGTON;988;68;0;28;21;133;5,74;8,39;0;4,59;4,84;61,09;0,55;00:14:26;0,49;0,46;2,85;2,08;13,46;0;1;0;8;7;0;7;0;22,98;0;
PISANO;988;68;0;46;28;167;5,88;11,1;0;10,64;5,9;63,03;2,39;00:14:26;0,6;1,08;4,68;2,86;16,87;0;0;0;22;10;0;10;0;29,76;0;
VALLOCCHIA;1029;71;18;73;35;200;6,28;13,83;0;17,75;5,23;62,01;4,64;00:14:26;0,51;1,72;7,08;3,37;19,42;1,78;0;1;32;9;0;9;18,28;34,82;0;
VERDE;1084;75;12;53;45;218;6,62;13,94;0;13,4;12,18;58,14;2,1;00:14:26;1,12;1,24;4,92;4,12;20,14;1,1;4;3;19;13;0;13;11,92;34,31;0;
