;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;7146;88;984;280;255;1536;7,6;11,13;23,5;76,48;79,14;50,22;102,43;01:20:53;1,1;1,07;3,91;3,55;21,4;13,67;20,29;13,71;88,24;75,88;0,24;75,88;807,68;33,58;0;
ALTARE ;7620;90;1110;295;257;1622;7,65;10,15;12,25;82,9;65,13;48,28;100,87;01:24:57;0,85;1,09;3,87;3,37;21,29;14,56;18;24;107;82;0;82;964,85;33,04;0;
BAH;5031;81;520;161;121;922;6,82;8,36;0;39,87;30,16;54,17;33,9;01:01:53;0,6;0,79;3,2;2,4;18,33;10,34;7;4;50;26;0;26;470,51;28,8;0;
BIANCU;5357;87;783;178;150;1158;7,33;9,41;0;45,37;48,88;52,95;59,51;01:01:51;0,91;0,85;3,32;2,8;21,62;14,61;11;5;48;43;0;43;672,29;32,49;0;
CANDELA;7679;90;884;334;318;1583;7,91;13,11;54,48;95,52;112,15;48,79;150,74;01:24:57;1,46;1,24;4,34;4,14;20,61;11,51;28;21;97;88;1;88;677,13;33,9;0;
COCCO;7228;85;976;257;250;1532;7,28;10,55;10,55;60,36;68,33;52,21;63,99;01:24:57;0,95;0,84;3,56;3,46;21,19;13,5;12;8;70;69;0;69;861,17;32,78;0;
DALLA BERNARDINA ;7393;87;894;304;269;1551;7,49;11,27;16,78;80,44;76,17;50,53;96,49;01:24:57;1,03;1,09;4,11;3,63;20,98;12,09;24;11;101;90;0;90;716,73;33,31;0;
GOZZI;6574;77;684;245;218;1239;6,59;9,99;4,49;58,41;67,81;54,63;54,65;01:24:57;1,03;0,89;3,72;3,32;18,84;10,41;24;7;91;75;0;75;534,7;29,65;0;
LA ROSA ;7620;90;1117;206;178;1562;7,46;7,44;6,87;44,75;34,49;48,71;35,94;01:24:57;0,45;0,59;2,71;2,33;20,49;14,66;5;10;70;38;0;38;1026,52;30,54;0;
MANCA;8327;98;1566;346;340;2141;8,5;12,06;14,26;94,25;98,68;46,09;139,63;01:24:57;1,19;1,13;4,16;4,08;25,71;18,8;17;19;111;102;0;102;1274,91;38,69;0;
MASTINO;7692;91;1073;343;317;1718;7,96;13,53;22,53;91,11;119,16;48,76;158,01;01:24:57;1,55;1,18;4,46;4,13;22,34;13,94;33;16;100;103;0;103;840,86;35,91;0;
PARIGI;8040;95;1440;366;347;2055;8,3;13,38;47,09;87,57;122,9;47,67;134,99;01:24:57;1,53;1,09;4,55;4,31;25,56;17,91;33;8;110;96;0;96;1179,06;38,93;0;
PENNINGTON;8040;95;1106;260;241;1723;8,01;9,39;0;59,29;66,46;47,71;59,02;01:24:57;0,83;0,74;3,24;3;21,43;13,76;17;9;68;74;0;74;1012,51;33,11;0;
PISANO;6816;80;894;275;221;1373;6,86;10,44;4,68;80,74;61,78;54,99;83,75;01:24:57;0,91;1,18;4,03;3,24;20,15;13,11;18;25;88;75;0;75;774,91;31,79;0;
PITZALIS;5112;82;616;185;158;994;7,03;10,27;31,71;63,4;52,96;52,61;79,95;01:02:02;1,04;1,24;3,62;3,09;19,45;12,05;15;10;60;43;0;43;511,98;31,13;0;
VALLOCCHIA;7616;90;1306;347;339;1807;7,88;13,59;107,99;117,11;118,3;51,16;196,71;01:24:57;1,55;1,54;4,55;4,45;23,72;17,14;27;26;122;103;2;103;965,77;37,38;0;
VERDE;7770;91;928;322;319;1635;7,92;11,95;57,19;89,62;91,11;49,18;136,29;01:24:57;1,17;1,15;4,14;4,1;21,05;11,94;20;13;101;87;1;87;685,56;34;0;
ZUGARO;7575;89;824;331;289;1494;7,79;12,82;8,59;109,41;110,97;47,81;156,93;01:24:57;1,46;1,44;4,36;3,82;19,73;10,88;36;17;106;96;0;96;561,1;33,14;0;
