;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1536;102;214;60;61;364;8,91;12,42;23,24;15,87;19,36;42,07;29,49;00:15:00;1,23;1,03;3,9;3,91;23,32;13,66;4,79;2,32;14,47;16,53;0,53;16,53;126,21;36,53;0;
ALTARE ;1415;94;166;60;49;293;8,15;11,75;8,05;13,26;12,19;45,64;23,9;00:15:00;0,86;0,94;4,26;3,48;20,68;11,71;1;3;17;8;0;8;93,82;34,32;0;
BIANCU;1614;107;252;70;79;399;9,61;15,52;0;22,62;30,81;37,97;24,47;00:15:00;1,91;1,4;4,34;4,91;24,75;15,64;9;2;16;26;0;26;171,44;38,85;0;
CANDELA;1662;111;290;69;63;450;9,65;12,62;17,67;14,93;20,92;39,7;25,47;00:15:00;1,26;0,9;4,13;3,79;27,08;17,44;4;2;13;18;1;18;210,96;40,82;0;
COCCO;1469;98;129;42;38;298;8,23;8,76;0;10,79;9,18;45,18;11,09;00:15:00;0,62;0,73;2,87;2,61;20,25;8,79;2;1;9;5;0;5;98,51;32,19;0;
DALLA BERNARDINA ;1472;98;176;57;49;318;8,45;11,44;31,25;13,49;14,66;44,61;20,49;00:15:00;1;0,92;3,87;3,31;21,59;11,99;4;3;18;14;1;14;84,31;34,81;0;
GOZZI;1339;89;45;37;36;219;7,5;8,59;0;6,94;6,89;48,46;8,78;00:15:00;0,51;0,52;2,78;2,7;16,35;3,35;2;0;11;12;0;12;26,95;26,95;0;
LA ROSA ;1589;106;240;52;59;427;9,15;11,71;33,74;8,25;20,58;40,65;20,5;00:15:00;1,3;0,52;3,3;3,73;26,84;15,1;5;1;10;15;1;15;146,65;39,66;0;
LELLA ;1629;108;216;58;78;393;9,5;13,15;25,82;17,31;26,88;35,93;36,51;00:15:00;1,65;1,06;3,57;4,8;24,14;13,29;6;5;10;28;0;28;133,71;37,49;0;
MANCA;1651;110;292;64;66;440;9,58;12,54;0;16,08;18,61;39,7;26,45;00:15:00;1,13;0,97;3,86;4;26,65;17,71;3;0;12;16;0;16;213,36;40,36;0;
MASTINO;1598;106;350;90;96;500;9,77;18,57;80,84;23,08;36,68;42,56;67,75;00:15:00;2,29;1,44;5,61;5,98;31,29;21,9;11;3;23;33;1;33;169,24;46,68;0;
MICELI;1809;120;192;66;73;466;10,43;11,91;0;10,93;17,67;33,5;9,14;00:15:00;0,98;0,6;3,62;4,02;25,74;10,61;3;0;15;17;0;17;183,98;39,32;0;
OGUNSEYE;1455;97;182;54;45;308;8,36;11,53;13,91;17,88;18,81;43;26,61;00:15:00;1,29;1,23;3,7;3,11;21,14;12,49;5;3;8;11;0;11;115,73;33,94;0;
PARIGI;1006;67;110;37;30;181;5,72;10,31;15,19;12,76;6,37;60,4;16,1;00:15:00;0,63;1,27;3,7;2,95;18,04;10,92;3;2;11;8;0;8;55,65;30,21;0;
PENNINGTON;1735;116;146;54;62;405;9,87;10,34;1,11;15,49;20,49;36,13;12,45;00:15:00;1,18;0,89;3,09;3,6;23,34;8,42;5;2;21;17;0;17;63,7;35,28;0;
PISANO;1303;87;135;47;46;219;7,42;10,46;13,47;12,08;10,21;49,47;28,58;00:15:00;0,78;0,93;3,62;3,52;16,77;10,39;3;3;15;12;0;12;74,67;28,48;0;
PITZALIS;1378;92;140;49;61;257;8,01;12,75;52,91;12,97;16,92;44,36;26,29;00:15:00;1,23;0,94;3,54;4,41;18,67;10,19;5;0;7;11;2;11;68,2;30,37;0;
VALLOCCHIA;1729;115;341;75;80;482;10,24;14,89;32,86;25,93;29,47;37,04;45,2;00:15:00;1,7;1,5;4,36;4,61;27,88;19,71;7;5;16;26;1;26;180,28;42,28;0;
VERDE;1688;112;341;82;69;415;9,81;12,74;48,56;19,37;20,12;37,69;66,55;00:15:00;1,19;1,15;4,84;4,09;24,61;20,17;5;4;19;17;2;17;173,75;39,47;0;
ZUGARO;1652;110;327;83;76;452;9,92;16,45;66,19;27,41;30,43;37,4;63,95;00:15:00;1,84;1,66;5,05;4,61;27,34;19,78;8;5;24;20;1;20;133,09;42,54;0;
