;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;9746;97;1168;418;399;2121;8,47;13,08;138,91;116,75;128,03;43,82;196,52;01:40:45;1,3;1,19;4,28;4,08;21,62;11,88;33,05;19,26;117,11;114,89;3,26;114,89;711,92;35,19;0;
ALTARE ;9763;97;1119;466;431;2053;8,55;13,99;122,19;144,58;116,04;42,19;247,71;01:40:45;1,19;1,48;4,78;4,42;21,03;11,46;22;29;164;122;3;122;692,87;35,76;0;
BIANCU;9864;98;1280;478;445;2227;8,69;14,69;59,8;136,21;151,11;43,45;192,28;01:40:45;1,53;1,38;4,85;4,51;22,58;12,97;33;15;118;106;2;106;810,66;37,06;0;
CANDELA;10249;102;1492;466;445;2361;8,95;13,62;318,3;144,71;165,1;42,43;271,71;01:40:44;1,61;1,41;4,55;4,34;23,04;14,56;35;26;107;112;10;112;813,33;36,83;0;
COCCO;9354;93;795;332;318;1799;7,96;10,84;24,56;94,22;100,68;45,62;95,4;01:40:45;1,08;1,01;3,55;3,4;19,23;8,5;23;8;75;85;0;85;590,17;31,71;0;
DALLA BERNARDINA ;9452;94;1047;377;348;1971;8,14;12,18;168,96;99,18;115,07;44,76;152,02;01:40:45;1,22;1,05;3,99;3,68;20,85;11,08;33;15;107;111;5;111;534,8;33,7;0;
GOZZI;8831;88;592;337;295;1584;7,54;11,2;25,74;76,41;85,68;47,94;106,89;01:40:45;0,97;0,87;3,82;3,34;17,94;6,71;25;14;105;94;0;94;430,07;30,36;0;
LA ROSA ;9624;96;1015;315;303;1901;8,14;10,15;99,46;60,89;79,93;42,94;122,06;01:40:45;0,83;0,63;3,27;3,15;19,76;10,55;21;9;84;77;3;77;595,99;31,44;0;
LELLA ;10432;104;1271;485;471;2359;9,13;13,99;150,87;129,61;151,62;38,66;228,79;01:40:45;1,45;1,24;4,65;4,51;22,61;12,18;38;17;132;143;3;143;817,22;36,83;0;
MANCA;10915;108;1218;421;377;2504;9,38;11,9;33,84;119,25;104,48;38,47;154,23;01:40:45;0,96;1,09;3,86;3,45;22,94;11,16;25;13;112;95;0;95;876,82;36,79;0;
MASTINO;9895;98;1767;589;538;2633;8,99;18,24;255,72;175,69;206,86;44,8;360,87;01:40:45;2,09;1,78;5,95;5,44;26,61;17,85;67;45;176;182;4;182;1007,75;42,65;0;
MICELI;10853;108;861;408;447;2441;9,37;12,43;10,82;99,28;116,9;38,71;84,7;01:40:45;1,08;0,91;3,76;4,12;22,49;7,93;37;11;128;138;0;138;782,17;35,98;0;
OGUNSEYE;9099;90;1107;365;349;1910;7,88;12,73;179,48;105,93;129,55;47,62;197,72;01:40:45;1,42;1,16;4,02;3,84;20,99;12,17;29;11;88;99;4;99;601,53;33,98;0;
PARIGI;7630;76;795;332;322;1544;6,61;12,71;65,66;98,33;89,6;55,65;122,86;01:40:45;1,17;1,29;4,35;4,22;20,24;10,42;26;17;98;104;0;104;500,04;34,04;0;
PENNINGTON;10623;105;1082;358;369;2247;9,05;10,94;60,02;103,86;109,61;39,39;131,79;01:40:45;1,03;0,98;3,37;3,47;21,16;10,19;31;25;115;103;1;103;685,35;33,61;0;
PISANO;8285;82;643;307;258;1336;7,02;10,27;123,2;68,75;59,43;51,13;139,48;01:40:45;0,72;0,83;3,7;3,12;16,12;7,76;13;13;82;74;2;74;380,21;27,69;0;
PITZALIS;9072;90;1075;388;423;1865;7,96;14,21;293,05;111,01;130,09;47,09;203;01:40:45;1,43;1,22;4,28;4,67;20,56;11,85;35;15;104;101;8;101;548;33,54;0;
VALLOCCHIA;10626;105;1802;503;526;2730;9,42;15,39;228,01;152,33;202,05;39,72;293,74;01:40:45;1,9;1,43;4,73;4,95;25,69;16,96;57;26;143;167;6;167;1019,97;40,08;0;
VERDE;10328;102;1481;490;436;2333;8,99;13,33;205,28;128,16;137,96;41,19;301,41;01:40:45;1,34;1,24;4,74;4,22;22,59;14,34;28;21;128;121;7;121;900,17;37,31;0;
ZUGARO;10289;102;1749;523;488;2501;9,15;15,72;214,42;169,87;180,76;40,77;327,28;01:40:45;1,76;1,65;5,08;4,74;24,3;17;50;36;159;149;4;149;939,41;39,16;0;
