;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1891;126;246;73;76;447;10,99;12,66;20,86;18,09;25,05;26,63;35,64;00:15:00;1,32;0,96;3,84;4;23,46;12,9;6,53;3,11;17,63;22,32;0,47;22,32;156,31;36,86;0;
BIANCU;1934;129;275;79;68;440;11,19;12,2;22,86;19,01;18,53;24,26;39,21;00:15:00;0,96;0,98;4,1;3,49;22,76;14,21;4;3;15;16;1;16;184,21;36,36;0;
CANDELA;2084;139;358;100;90;558;12,27;14,17;39,7;27,36;23,32;23,52;64,03;00:15:00;1,12;1,31;4,78;4,3;26,77;17,16;6;4;25;21;1;21;224,22;41,96;0;
DALLA BERNARDINA ;1769;118;160;66;54;357;10,09;10,65;0;15,9;14,88;28,29;18,77;00:15:00;0,84;0,9;3,74;3,04;20,15;9,04;5;1;17;16;0;16;100,43;32,8;0;
DEMARCUS ;2009;134;263;92;104;544;12,09;16,7;4,55;22,27;46,52;22,93;39,86;00:15:00;2,32;1,11;4,56;5,19;27,09;13,07;16;4;24;37;0;37;177,87;42,23;0;
GIANDONATO;1716;114;83;39;44;252;9,59;8,39;0;10,11;12,88;28,21;13,76;00:15:00;0,75;0,59;2,26;2,54;14,66;4,85;4;2;12;14;0;14;65,62;24,41;0;
GOZZI;1670;111;229;51;62;333;9,47;10,01;6,32;9,77;12,38;33,23;24,01;00:15:00;0,74;0,59;3,03;3,73;19,95;13,72;3;2;15;20;0;20;160,17;30,93;0;
LA ROSA ;1898;126;175;57;53;380;10,71;9,45;0;13,21;10,6;23,85;16,54;00:15:00;0,56;0,7;2,99;2,8;20,04;9,24;1;1;12;12;0;12;140,67;32,17;0;
LELLA ;1872;125;211;91;106;469;11,33;17,3;29,37;26,48;43,8;25,43;42,08;00:15:00;2,34;1,41;4,83;5,68;25,06;11,28;10;7;19;29;1;29;160,77;40,47;0;
MANCA;2195;146;296;65;75;592;12,51;10,56;4,07;12,23;21,49;20,33;27,18;00:15:00;0,98;0,56;2,98;3,42;27;13,51;5;2;13;25;0;25;209,24;40,17;0;
MASTINO;1812;121;372;91;91;503;10,8;15,52;42,89;20,71;37,46;32,49;56,14;00:15:00;2,07;1,14;5,04;5,03;27,76;20,51;14;3;24;27;0;27;203,94;42,32;0;
MICELI;2036;136;225;82;101;534;11,95;13,82;0;18,09;23,24;25;23,38;00:15:00;1,14;0,89;4,01;4,96;26,25;11,04;6;4;19;38;0;38;176,13;40,95;0;
OGUNSEYE;1778;118;216;62;65;390;10,27;11,99;6,06;18,35;23,6;30,13;26,32;00:15:00;1,33;1,03;3,46;3,66;21,93;12,14;7;5;18;24;0;24;147,35;34,69;0;
PENNINGTON;2230;149;346;67;79;614;12,86;11,8;21,86;18,05;27,11;20,34;32,62;00:15:00;1,22;0,81;3;3,56;27,52;15,5;6;3;13;17;1;17;223,15;41,05;0;
PISANO;1629;109;216;65;74;362;9,48;12,89;5,76;14,15;22,52;36,94;35,31;00:15:00;1,38;0,87;3,98;4,52;22,22;13,23;7;2;12;20;0;20;138,01;35,36;0;
PITZALIS;1892;126;238;66;62;433;10,91;11,86;45,7;19,29;23,08;23,99;34,51;00:15:00;1,22;1,02;3,48;3,29;22,87;12,56;5;4;20;20;2;20;134,4;35,95;0;
VALLOCCHIA;1941;129;274;69;66;470;11,12;11,06;38,5;15,29;17,62;25,17;36,51;00:15:00;0,91;0,79;3,57;3,38;24,23;14,14;5;1;19;19;1;19;139,13;37,34;0;
VERDE;1856;124;252;70;73;429;10,77;12,53;35,63;17,48;27,39;26,44;47,45;00:15:00;1,48;0,94;3,78;3,94;23,11;13,6;6;5;19;22;0;22;135,2;36,63;0;
VERGARA;1723;115;131;78;64;333;10,01;12,65;17,72;23,86;19,47;29,39;34,51;00:15:00;1,13;1,38;4,51;3,74;19,35;7,6;2;2;18;19;0;19;96,88;32,87;0;
ZUGARO;1877;125;352;90;109;508;11,32;16,91;75,42;22,09;50,07;26,1;65;00:15:00;2,67;1,18;4,79;5,81;27,06;18,73;12;4;21;28;2;28;152,43;41,72;0;
