;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1603;107;188;62;59;347;9,26;11,96;15,72;17,53;17,82;38,18;28,58;00:15:00;1,1;1,08;3,87;3,63;21,41;11,48;4,19;2,5;15,51;17,64;0,31;17,64;124,75;34,43;0;
BIANCU;1629;109;134;56;61;313;9,4;11,84;0,56;15,04;19,87;34,35;21,3;00:15:00;1,22;0,92;3,46;3,72;19,2;8,23;3;3;14;16;0;16;120,22;31,69;0;
CANDELA;1817;121;358;91;78;506;10,73;14,44;43,91;26,52;28,66;33,91;46,7;00:15:00;1,58;1,46;4,99;4,29;27,85;19,69;7;6;22;22;1;22;238,17;42,84;0;
DALLA BERNARDINA ;1466;98;150;47;50;279;8,37;10,69;0;12,55;9,03;42,3;14,65;00:15:00;0,62;0,86;3,22;3,41;19,04;10,21;2;3;7;15;0;15;145,36;31,15;0;
DEMARCUS ;1600;107;278;74;75;407;9,5;15,1;33,6;20,35;28,97;38,21;42,06;00:15:00;1,81;1,27;4,66;4,67;25,43;17,38;6;5;19;22;1;22;184,24;39,96;0;
GIANDONATO;1280;85;11;33;27;143;7,1;7,46;0;6,11;6,04;45,56;5,8;00:15:00;0,47;0,48;2,59;2,08;11,13;0,89;0;0;7;5;0;5;11,44;19,98;0;
GOZZI;1489;99;101;54;37;278;8,41;9,43;0;11,28;8,03;42,26;13,71;00:15:00;0,54;0,76;3,63;2,48;18,65;6,8;3;2;15;14;0;14;76,64;30,62;0;
LA ROSA ;1737;116;245;64;56;386;9,9;10,51;26,01;17,49;12,7;34,44;38,44;00:15:00;0,73;1,01;3,71;3,22;22,2;14,1;2;3;14;16;0;16;156,47;34,93;0;
LELLA ;1766;118;259;77;88;429;10,41;14,26;18,24;20,08;29,64;30,96;37,67;00:15:00;1,68;1,14;4,34;4,97;24,29;14,65;6;2;16;32;1;32;153,33;38,36;0;
MASTINO;1520;101;174;81;75;354;9,16;16,8;8,23;30,94;28,62;41,79;41,02;00:15:00;1,88;2,03;5,35;4,9;23,26;11,45;11;4;22;22;0;22;122,52;39,68;0;
MICELI;1734;116;65;56;51;355;9,86;10,16;0;16,41;11,43;33,19;8,94;00:15:00;0,66;0,95;3,2;2,92;20,5;3,73;3;3;12;12;0;12;64,76;33,39;0;
OGUNSEYE;1495;100;177;51;52;286;8,59;11,39;23,49;17,59;17,89;41,31;27,78;00:15:00;1,2;1,18;3,38;3,48;19,15;11,81;5;0;13;15;0;15;92,62;31,21;0;
PENNINGTON;1762;117;268;67;78;469;10,31;13,37;0;22,19;20,4;36,5;28,89;00:15:00;1,16;1,26;3,81;4,45;26,63;15,22;6;4;23;24;0;24;166,09;40,8;0;
PISANO;1588;106;291;66;51;389;9,17;11,99;47,88;17,33;15,93;40,89;41,67;00:15:00;1;1,09;4,18;3,21;24,47;18,31;4;2;18;12;1;12;177,51;37,37;0;
VALLOCCHIA;1656;110;176;71;58;354;9,56;11,9;11,19;17,34;16,97;36,94;31,86;00:15:00;1,02;1,05;4,3;3,53;21,38;10,63;4;1;17;24;0;24;109,36;34,48;0;
VERDE;1573;105;190;47;48;295;8,85;9;32,81;11,48;10,47;38,43;30,72;00:15:00;0,67;0,73;3;3,03;18,75;12,09;2;0;15;14;1;14;101,64;30,2;0;
VERGARA;1521;101;130;62;58;314;8,87;13,02;5,46;17,61;20,31;39,82;25,75;00:15:00;1,34;1,16;4,11;3,78;20,67;8,55;3;2;14;17;0;17;74,39;34,23;0;
