;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;956;141;656;20;2;544;11,28;2,91;0,07;4,7;0,05;49;6,52;00:06:46;0,01;0,46;1,97;0,23;53,17;63,93;0;1,5;9,22;0,06;0;0,06;504,09;62,83;0;
CANDELA;1018;150;711;20;5;604;12;3,18;0;4,09;0,73;49,2;2,13;00:06:46;0,07;0,4;1,92;0,46;59,36;69,89;0;1;9;0;0;0;481,52;69,58;0;
COCCO;1020;151;777;25;3;631;12,19;4,58;0;4,26;0;49,93;10,98;00:06:46;0;0,42;2,46;0,32;61,83;76,2;0;0;11;0;0;0;469,39;73,1;0;
DALLA BERNARDINA ;1015;150;774;26;3;665;11,99;3,3;0;7,38;0;50,17;11,04;00:06:46;0;0,73;2,59;0,27;65,49;76,24;0;2;11;0;0;0;434,93;74,97;0;
GIANDONATO;802;118;0;0;1;68;9,24;0,76;0;0;0;25,25;0;00:06:46;0;0;0,04;0,06;8,43;0;0;0;0;0;0;0;0;12,78;0;
GOZZI;1011;149;723;20;4;602;11,87;2,71;0;2,8;0,06;46,98;1,22;00:06:46;0,01;0,28;1,98;0,41;59,5;71,45;0;1;10;0;0;0;643,83;69,54;0;
LA ROSA ;1012;150;692;17;2;564;11,89;2,76;0;2,88;0;47,04;3,88;00:06:46;0;0,28;1,66;0,19;55,67;68,36;0;0;9;0;0;0;654,51;66,93;0;
LELLA ;1057;156;718;23;1;597;12,52;3,6;0;7,78;0;44,07;8,33;00:06:46;0;0,74;2,22;0,14;56,42;67,89;0;3;9;0;0;0;512,81;67,67;0;
MANCA;1036;153;755;23;1;620;12,17;2,82;0;7,59;0;48;6,49;00:06:46;0;0,73;2,22;0,09;59,82;72,91;0;5;11;0;0;0;515,37;70,13;0;
MASTINO;1032;152;755;24;3;612;12,18;3,25;0;5,19;0,01;44,16;5,96;00:06:46;0;0,5;2,29;0,28;59,32;73,17;0;3;10;0;0;0;684,78;69,9;0;
MICELI;1022;151;720;23;2;601;12,02;2,87;0;5,02;0;48,48;3,69;00:06:46;0;0,49;2,25;0,22;58,75;70,47;0;1;13;0;0;0;686,42;69,16;0;
OGUNSEYE;4;1;0;0;0;0;0,04;-0,94;0;0;0;100;0;00:06:46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PENNINGTON;1027;152;740;25;5;598;12,27;4,53;0;4,48;0,04;46,01;14,29;00:06:46;0;0,44;2,4;0,51;58,22;72,07;0;1;10;0;0;0;596,83;70,07;0;
PISANO;1044;154;749;21;6;597;12,34;3,41;0;3,58;0;44,46;3,41;00:06:46;0;0,34;1,97;0,53;57,16;71,74;0;0;11;0;0;0;690,98;68,13;0;
PITZALIS;1035;153;679;16;1;577;12,01;1,49;0;2,08;0;43,97;0,59;00:06:46;0;0,2;1,5;0,06;55,72;65,59;0;1;9;0;0;0;592,71;65,25;0;
VALLOCCHIA;1020;151;806;29;0;673;12,02;3,1;0;10,28;0;51,58;15,75;00:06:46;0;1,01;2,84;0,04;65,94;78,97;0;3;10;0;0;0;454,69;75,37;0;
VERDE;1051;155;753;26;4;632;12,47;3,85;1,26;5,09;0,11;45,25;12,93;00:06:46;0,01;0,48;2,52;0,34;60,11;71,64;0;0;15;1;0;1;472,49;69,93;0;
VERGARA;996;147;695;19;2;546;11,78;3,46;0;4,42;0;48,44;6;00:06:46;0;0,44;1,93;0,16;54,77;69,72;0;1;9;0;0;0;670,56;66,77;0;
ZUGARO;1010;149;753;28;1;613;11,98;3,7;0;7,67;0;49,04;10,69;00:06:46;0;0,76;2,75;0,09;60,63;74,49;0;5;9;0;0;0;511,72;71,68;0;
