;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4824;102;633;197;197;1074;8,9;12,92;73,22;53,98;67,7;40,36;104,52;00:47:21;1,39;1,11;4,05;4,07;22,07;12,97;14,4;6,1;44,9;52,8;2,2;52,8;403;35,34;0;
ALTARE ;4845;102;757;225;202;1241;9,04;14,28;124,8;67,6;66,56;43,65;115,44;00:47:22;1,37;1,4;4,64;4,16;25,61;15,63;13;14;62;54;5;54;515,84;40,47;0;
CANDELA;5502;116;835;248;241;1496;10,32;14,68;136,24;66,56;87,36;38,06;142,48;00:47:18;1,59;1,21;4,5;4,39;27,18;15,18;21;10;43;54;4;54;520;42,32;0;
COCCO;4887;103;586;188;185;1045;8,94;11,99;47,84;56,16;54,08;39,09;94,64;00:47:22;1,11;1,15;3,85;3,79;21,39;11,98;6;3;47;44;1;44;371,28;34,65;0;
GIANDONATO;4280;90;308;124;144;707;7,67;9,75;6,24;32,24;41,6;42,59;42,64;00:47:22;0,97;0,75;2,89;3,35;16,52;7,19;8;4;24;40;0;40;231,92;27,06;0;
GOZZI;4176;88;382;139;163;797;7,6;11,59;30,16;38,48;52;47,44;58,24;00:47:20;1,25;0,92;3,34;3,91;19,08;9,14;12;3;31;51;1;51;279,76;31,02;0;
LA ROSA ;5025;106;572;191;184;1073;9,15;11,48;0;45,76;41,6;35,92;56,16;00:47:22;0,83;0,91;3,81;3,66;21,36;11,38;10;3;50;49;0;49;392,08;33,85;0;
LELLA ;5059;107;648;229;239;1122;9,46;14,58;78;58,24;98,8;34,89;120,64;00:47:22;1,95;1,15;4,52;4,73;22,18;12,81;19;2;52;75;2;75;418,08;36,06;0;
OGUNSEYE;4695;99;653;242;229;1000;8,87;15,66;104;76,96;88,4;42,17;164,32;00:47:22;1,88;1,64;5,16;4,87;21,31;13,91;19;9;58;61;3;61;397,28;36,11;0;
PISANO;4726;100;688;179;187;996;8,65;12,16;94,64;47,84;60,32;40,79;112,32;00:47:22;1,28;1,01;3,79;3,96;21,08;14,57;14;6;36;46;3;46;364;33,33;0;
VALLOCCHIA;5051;107;903;201;198;1262;9,32;13,04;110,24;49,92;86,32;38,98;138,32;00:47:22;1,71;0,99;3,97;3,91;24,97;17,87;22;7;46;54;3;54;539,76;38,49;0;
