;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;474;57;0;26;21;56;5,08;14,36;0;6,48;3,96;66;0,83;00:08:15;0,83;1,37;5,48;4,29;11,66;0;0,4;0,6;12,7;7,4;0;7,4;0;23,62;0;
BELLONI ;457;55;0;27;29;53;5;16,62;0;3,52;8,08;66,73;0,38;00:08:15;1,77;0,77;5,92;6,25;11,69;0;2;0;8;14;0;14;0;22,31;0;
BIANCU;559;68;0;28;19;64;5,9;12,64;0;6,89;2,98;58,87;1,22;00:08:15;0,53;1,23;4,98;3,39;11,36;0;0;0;9;4;0;4;0;23,73;0;
COCCO;372;45;0;19;11;29;3,9;11,77;0;6,02;1,51;72,11;0,5;00:08:15;0,4;1,62;5,14;2,83;7,89;0;0;0;9;3;0;3;0;18,21;0;
COSSU M.;481;58;0;23;17;53;5,1;13,02;0;6,63;2,58;66,62;0,8;00:08:15;0,54;1,38;4,81;3,49;11,02;0;0;1;14;4;0;4;0;22,31;0;
GIANDONATO;461;56;0;15;14;24;4,76;10,26;0;1,9;2,63;63,57;0;00:08:15;0,57;0,41;3,24;3,09;5,27;0;1;0;4;3;0;3;0;11,36;0;
LELLA ;540;65;0;30;28;84;5,91;16,6;0;7,47;4,98;63,45;0,58;00:08:15;0,92;1,38;5,53;5,25;15,47;0;0;1;18;13;0;13;0;28,99;0;
PARIGI;508;61;0;30;23;62;5,43;14,02;0;6,02;3,11;64,24;0,39;00:08:15;0,61;1,19;5,95;4,53;12,14;0;0;1;21;7;0;7;0;24,27;0;
PENNINGTON;395;48;0;19;13;41;4,16;12,26;0;5,01;2,2;70,65;0,35;00:08:15;0,56;1,27;4,85;3,24;10,5;0;0;0;10;3;0;3;0;21,61;0;
VALLOCCHIA;471;57;0;31;21;76;5,15;16,71;0;11,86;4,77;67,75;2,38;00:08:15;1,01;2,52;6,6;4,4;16,05;0;1;2;18;8;0;8;0;33,19;0;
VERDE;493;60;0;39;32;75;5,53;19,74;0;9,44;6,8;66,04;1,73;00:08:15;1,38;1,92;7,83;6,42;15,23;0;0;1;16;15;0;15;0;30,27;0;
