;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;945;36;57;66;54;155;3,3;19,24;1,17;25,69;14,91;80,72;20,65;00:26:25;1,57;2,71;6,98;5,65;16,15;5,88;3,7;7,1;26,3;18,6;0;18,6;42,61;32,24;0;
BELLONI ;1028;39;50;73;62;189;3,59;19,14;0;26,37;19,02;78,13;13,64;00:26:25;1,85;2,56;7,1;6,07;18,4;4,91;6;9;32;24;0;24;49,55;35,28;0;
BIANCU;952;36;14;67;50;143;3,34;19,96;0;30,49;14,59;81,26;18,64;00:26:25;1,53;3,2;7,03;5,25;15,03;1,48;3;3;28;15;0;15;13,84;33,35;0;
COCCO;1015;38;84;65;48;160;3,45;16,15;0;27,34;12,34;78,73;20,72;00:26:25;1,22;2,69;6,39;4,77;15,8;8,31;2;6;23;14;0;14;61,51;30,26;0;
COSSU M.;840;32;40;68;59;157;3,02;22,64;0;27,23;15,84;82,3;17,47;00:26:25;1,89;3,24;8,06;7,03;18,75;4,81;3;12;33;22;0;22;33,58;38,34;0;
GIANDONATO;776;29;0;29;19;25;2,49;9,43;0;7,54;3,67;85,67;0,41;00:26:25;0,47;0,97;3,71;2,48;3,25;0;1;0;11;4;0;4;0;8,31;0;
LELLA ;970;37;84;87;74;202;3,56;25,34;8,36;32,54;25,26;79,28;36,49;00:26:25;2,6;3,35;8,97;7,6;20,85;8,66;7;10;33;28;0;28;51,8;40,76;0;
PARIGI;1105;42;104;80;69;171;3,87;19,49;0;27,94;11,82;78,41;31,58;00:26:25;1,07;2,53;7,23;6,22;15,43;9,44;3;5;20;16;0;16;77,9;29,95;0;
PENNINGTON;990;37;55;53;32;175;3,27;12,97;0;18,25;7,56;80,08;9,58;00:26:25;0,76;1,84;5,35;3,27;17,71;5,59;1;4;24;13;0;13;34,61;32,79;0;
VALLOCCHIA;953;36;80;80;79;224;3,51;25,84;3,38;29,82;26,92;80,69;28,85;00:26:25;2,83;3,13;8,44;8,32;23,56;8,36;9;13;37;33;0;33;60,66;43,84;0;
VERDE;819;31;59;62;45;104;2,91;21,43;0;29,43;12,09;82,69;29,09;00:26:25;1,48;3,59;7,53;5,45;12,67;7,22;2;9;22;17;0;17;42,65;29,5;0;
