;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;829;68;1;29;22;118;5,81;10,4;0;6,23;4,34;59,71;2,49;00:12:08;0,61;0,8;3,67;2,8;14,29;0,1;0,62;0,38;8,56;4,38;0;4,38;11,11;25,34;0;
ALTARE ;860;72;0;23;19;126;6,1;8,72;0;5,33;2,05;59,49;0,44;00:11:51;0,24;0,62;2,71;2,27;14,62;0;0;0;10;4;0;4;0;25,02;0;
ARBOLEDA;879;74;1;40;33;155;6,48;12,95;0;6,54;6,99;57,86;1,05;00:11:51;0,79;0,74;4,57;3,71;17,66;0,15;1;0;15;3;0;3;13,22;31,49;0;
BELLONI ;856;72;0;36;25;163;6,18;10,63;0;9,41;3,91;60,06;1,56;00:11:51;0,46;1,1;4,18;2,89;19,09;0;2;1;13;5;0;5;11,98;32,96;0;
BIANCU;796;67;0;24;16;120;5,62;8,17;0;4,96;2,41;61,22;1,18;00:11:51;0,3;0,62;3,05;2;15,02;0;0;0;8;2;0;2;0,75;25,83;0;
COCCO;833;70;0;24;17;88;5,84;7,39;0;2,48;2,07;56,05;0;00:11:51;0,25;0,3;2,93;2,02;10,61;0;0;0;3;3;0;3;2,63;19,56;0;
COSSU M.;813;69;0;43;31;102;6,13;15,53;0;14,07;11,9;58,29;13,85;00:11:51;1,46;1,73;5,33;3,83;12,54;0;0;1;6;4;0;4;3,28;26,46;0;
DALLA BERNARDINA ;903;76;9;45;32;221;6,67;13,24;0;8,53;6,23;59,57;5,07;00:11:51;0,69;0,95;4,97;3,53;24,45;0,99;0;0;17;7;0;7;86,64;39,33;0;
DORATIOTTO ;785;66;0;26;23;90;5,6;9,36;0;4,06;3,72;59,02;1,72;00:11:51;0,47;0,52;3,3;2,99;11,41;0;0;0;4;4;0;4;4,44;21,53;0;
EMERSON;878;74;0;19;12;71;6,07;5,97;0;2,95;1,37;52,34;0;00:11:51;0,16;0,34;2,17;1,41;8,09;0;0;1;5;2;0;2;0;15,31;0;
GIANDONATO;737;62;0;15;12;52;5,13;6,77;0;1,76;2,63;59,47;0;00:11:51;0,36;0,24;2,07;1,59;7,12;0;0;0;3;1;0;1;0;13,72;0;
LELLA ;829;70;0;17;11;62;5,73;5,92;0;2,34;0,14;57,23;0;00:11:51;0,02;0,28;2,05;1,29;7,51;0;0;0;4;1;0;1;0;13,37;0;
PARIGI;885;75;0;26;15;135;6,22;7,74;0;5,62;1,35;59,51;1,33;00:11:51;0,15;0,64;2,95;1,68;15,3;0;0;0;8;1;0;1;0;26,15;0;
PENNINGTON;839;71;0;12;11;78;5,8;5,89;0;3,08;0,93;57,82;1,26;00:11:51;0,11;0,37;1,46;1,26;9,26;0;0;0;3;2;0;2;0;16,02;0;
PISANO;877;74;0;39;32;160;6,39;11,7;0;9,92;4,06;56,38;5,58;00:11:51;0,46;1,13;4,49;3,7;18,22;0;0;1;9;6;0;6;12,16;32,17;0;
PITZALIS;648;40;2;50;46;132;3,78;22,89;0;13,51;18,01;76,96;4,91;00:16:18;2,78;2,08;7,7;7,06;20,4;0,36;7;2;20;22;0;22;28,55;36,14;0;
VALLOCCHIA;852;72;0;28;17;128;6,05;8,76;0;5,08;1,61;57,62;1,83;00:11:51;0,19;0,6;3,23;2,03;14,99;0;0;0;9;3;0;3;14,12;26,31;0;
