;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;268;34;0;7;5;14;2,78;10,45;0;1,9;0,99;78,25;0,48;00:08:00;0,82;1,13;3,23;2,75;4,69;0;0,19;0,06;2,44;1,62;0;1,62;0,79;11,67;12,88;
ALTARE ;542;67;0;12;4;35;5,46;4,88;0;3,08;0,31;53,69;0,22;00:08:03;0,06;0,57;2,17;0,79;6,4;0;0;0;6;1;0;1;8,08;12,31;17,78;
ARBOLEDA;111;14;0;4;3;3;1,23;14,68;0;2,1;1,32;92,81;0,43;00:08:03;1,18;1,89;3,43;3,07;2,98;0;1;1;3;2;0;2;0;10,94;10,36;
BELLONI ;114;14;0;3;3;2;1,21;10,53;0;1,13;1,19;93,34;0,26;00:08:03;1,04;0,99;2,8;2,98;2,15;0;0;0;1;2;0;2;0;6,53;10,52;
BIANCU;37;5;0;1;1;0;0,38;7,59;0;0,35;0,26;96,2;0,04;00:08:03;0,7;0,94;2,02;2,9;0,91;0;0;0;0;0;0;0;0;4,63;7,77;
COCCO;71;9;0;3;4;2;0,81;18,02;0;1,51;1,71;97,71;0,57;00:08:03;2,39;2,11;4,65;5;2,29;0;0;0;2;2;0;2;0;11,62;9,88;
COSSU M.;536;67;0;13;9;38;5,45;5,85;0;3,07;0,52;56,77;0,7;00:08:03;0,1;0,57;2,38;1,77;7,02;0;0;0;6;4;0;4;4,56;13,96;17,66;
DALLA BERNARDINA ;71;9;0;5;4;13;0,83;20,82;0;1,07;0,65;94,74;0;00:08:03;0,91;1,5;7,01;5,91;17,79;0;0;0;2;1;0;1;0;30,68;12,95;
DEMARCUS ;85;11;0;3;2;2;0,89;8,84;0;0,84;0,64;95,52;0;00:08:03;0,75;0,98;3,34;2,67;1,82;0;0;0;0;0;0;0;0;5,38;8,4;
DORATIOTTO ;74;9;0;2;3;2;0,82;15,57;0;1,31;1,43;94,86;0,94;00:08:03;1,94;1,77;2,69;3,96;2,14;0;1;0;1;2;0;2;0;13,68;14,01;
EMERSON;504;63;0;12;9;24;5,1;5,16;0;3,43;0,47;55,33;0,87;00:08:03;0,09;0,68;2,39;1,76;4,71;0;0;0;4;2;0;2;0;9,13;15,51;
GIANDONATO;504;63;0;14;12;32;5,25;8,4;0;3,73;3,01;61,45;1,34;00:08:03;0,6;0,74;2,76;2,32;6,37;0;0;0;3;2;0;2;0;12,57;15,4;
LA ROSA ;116;14;0;7;4;5;1,31;17,06;0;3,04;1,77;90,84;0,88;00:08:03;1,52;2,62;5,75;3,52;4,64;0;1;0;4;3;0;3;0;16,89;10,25;
LELLA ;502;62;0;11;4;22;5,04;4,5;0;0,48;0,1;57,28;0;00:08:03;0,02;0,1;2,2;0,85;4,31;0;0;0;1;0;0;0;0;8,74;14,83;
PENNINGTON;456;63;0;10;8;24;5,12;5,52;0;2,48;1,1;56,48;0,74;00:07:16;0,24;0,54;2,23;1,8;5,26;0;0;0;1;2;0;2;0;11,14;14,41;
PISANO;90;11;0;3;3;2;0,99;14,74;0;1,59;1,3;94,17;0,74;00:08:03;1,44;1,76;3,51;3,32;2,18;0;0;0;1;2;0;2;0;10,12;12,48;
VALLOCCHIA;480;60;0;11;6;20;4,83;4,61;0;1,17;0;58,65;0;00:08:03;0;0,24;2,22;1,32;4,12;0;0;0;4;1;0;1;0;8,33;13,94;
