;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1486;74;66;65;64;286;6,51;13,12;5,96;18,19;21,62;56,83;28,66;00:20:01;1,43;1,2;4,3;4,24;18,97;4,38;6;3,87;17;19,2;0,07;19,2;110,34;32,18;24,12;
ALTARE ;1584;79;39;71;59;300;6,88;12,34;8,26;25,82;17,05;53,6;28,84;00:20:01;1,08;1,63;4,5;3,75;18,92;2,48;3;4;23;16;0;16;102,12;33,3;24,56;
ARBOLEDA;1558;78;113;107;106;353;7,28;20,91;8,82;38,84;41,07;53,26;59,41;00:20:01;2,64;2,49;6,84;6,79;22,64;7,28;15;9;27;32;0;32;133,09;40,07;26,05;
BIANCU;1702;85;81;54;69;379;7,36;11,84;6,19;14,24;20,63;55,38;23,96;00:20:01;1,21;0,84;3,15;4,06;22,27;4,77;6;3;13;18;0;18;164,65;35,07;24,62;
COCCO;1401;70;138;49;51;299;6,02;11,23;21,19;12,57;11,4;62,02;35,71;00:20:01;0,81;0,9;3,49;3,67;21,38;9,88;1;3;10;10;1;10;121,53;34,05;28,04;
COSSU M.;1583;79;71;86;88;329;7,12;16,3;0;30,21;27,4;53,5;35,27;00:20:01;1,73;1,91;5,45;5,54;20,76;4,46;8;10;31;26;0;26;174,75;36,17;22,42;
DALLA BERNARDINA ;1545;77;98;70;56;330;6,77;13,41;12,49;17,53;20,88;54,14;32,02;00:20:01;1,35;1,13;4,55;3,6;21,37;6,35;7;3;17;15;0;15;102,33;35,41;25,82;
DORATIOTTO ;1373;69;72;59;56;235;5,95;12,06;3,09;13,31;18,09;60,71;28,74;00:20:01;1,32;0,97;4,32;4,09;17,14;5,28;3;4;18;19;0;19;108,43;29,21;24,53;
EMERSON;1395;70;15;56;45;192;5,95;10,34;0;12,51;13,73;56,1;6,99;00:20:01;0,98;0,9;4,01;3,24;13,79;1,05;4;1;16;16;0;16;45,58;25,28;20,37;
GIANDONATO;1266;63;11;27;30;165;5,24;7,08;0;3,58;7,23;62,11;2,79;00:20:01;0,57;0,28;2,14;2,4;13,05;0,87;3;0;6;8;0;8;54,13;21,4;20,93;
LA ROSA ;1577;79;61;64;71;310;6,93;13,7;2,51;13,21;28,52;53;24,35;00:20:01;1,81;0,84;4,06;4,5;19,69;3,9;11;3;15;20;0;20;115,65;32,62;24,3;
LELLA ;1726;86;116;90;87;408;7,75;16,1;26,83;22;36,63;51,28;57,18;00:20:01;2,12;1,27;5,24;5,02;23,62;6,7;10;3;20;26;0;26;149,45;39,28;27,76;
PENNINGTON;1568;78;28;64;61;306;6,79;12,01;0;17,44;19,03;56,62;21,57;00:20:01;1,21;1,11;4,05;3,92;19,54;1,78;5;2;16;19;0;19;100,82;33,16;23,46;
PISANO;1193;60;39;49;47;174;5,19;12,6;0;11,43;17,93;64,24;19,87;00:20:01;1,5;0,96;4,1;3,9;14,6;3,27;4;1;12;16;0;16;72;25,93;22,95;
PITZALIS;1499;75;91;70;73;292;6,64;14,63;0;23,17;27,18;55,85;36,27;00:20:01;1,81;1,55;4,7;4,86;19,46;6,08;6;8;16;21;0;21;126,02;33,07;23,59;
VALLOCCHIA;1316;66;20;52;57;214;5,71;12,19;0;17,01;17,55;60,63;16,92;00:20:01;1,33;1,29;3,95;4,31;16,26;1,53;4;4;15;26;0;26;84,51;28,67;22,35;
