;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;7763;83;375;334;340;1535;7,31;13,23;64,63;89,38;112,47;49,84;145,34;01:33:15;1,42;1,13;4,25;4,33;19,49;4,65;28,59;17,06;94,59;105,41;1,65;105,41;582,97;32,41;27,52;
ALTARE ;8241;89;656;402;390;1752;7,84;14,51;153,58;109,92;124,63;46,7;229,55;01:33:06;1,51;1,33;4,88;4,73;21,26;7,96;37;33;129;121;5;121;674,13;35,4;28,98;
ARBOLEDA;8208;88;606;466;485;1863;8,09;18,53;181,09;136,25;188,64;47,71;258,86;01:33:06;2,3;1,66;5,68;5,91;22,7;7,39;54;36;137;167;6;167;611,27;38,02;29,57;
BELLONI ;8321;89;513;362;392;1985;7,87;13,84;95,98;82,04;116,47;47,43;142,46;01:33:06;1,4;0,99;4,36;4,71;23,86;6,17;28;12;99;120;3;120;891,45;37,6;28,03;
BIANCU;6286;68;127;236;212;1068;5,84;11,83;17,15;62,62;64,83;59,48;66,11;01:33:06;1,03;1;3,76;3,37;16,98;2,02;10;5;59;61;1;61;324,98;29,1;28,2;
CANDELA;9112;98;611;506;508;2342;8,95;18,22;71,77;170,97;214,2;43,54;242,96;01:33:06;2,35;1,88;5,56;5,57;25,7;6,7;57;34;145;138;2;138;973,92;41,62;27,69;
COCCO;6893;74;296;241;263;1206;6,34;10,57;18,55;55,34;65,33;55,16;71,85;01:33:06;0,95;0,8;3,49;3,82;17,49;4,29;13;2;65;81;0;81;458,96;28,88;25,03;
COSSU M.;6750;72;158;340;334;1337;6,47;15,26;0;103,64;114,16;56,69;95,3;01:33:06;1,69;1,54;5,04;4,95;19,81;2,34;33;26;109;108;0;108;461,41;34,3;23,51;
DALLA BERNARDINA ;7455;78;365;314;324;1458;6,8;12,4;61,68;78,16;109,08;52,73;143,34;01:35:25;1,46;1,05;4,22;4,35;19,56;4,9;27;6;80;95;1;95;512,35;32,57;28,68;
DEMARCUS ;8313;89;550;422;441;1916;8,03;16,16;63,66;122,38;175,9;47,28;201,32;01:33:06;2,12;1,47;5,08;5,31;23,04;6,61;56;29;127;150;1;150;651,71;37,39;29,69;
DORATIOTTO ;7653;82;236;342;320;1482;7,19;13,06;27,24;90,32;93,95;51,24;112,72;01:33:06;1,23;1,18;4,47;4,18;19,37;3,09;24;24;98;104;0;104;567,33;32,71;28,52;
EMERSON;6916;74;74;190;215;872;6,28;9,29;8,95;32,82;41,21;52,37;40,12;01:33:06;0,6;0,47;2,75;3,11;12,61;1,08;8;5;55;57;0;57;274,91;21,76;26,04;
GIANDONATO;6912;74;109;195;207;879;6,27;9,07;11,06;46,53;46,59;53,06;51,46;01:33:06;0,67;0,67;2,82;3;12,72;1,58;10;7;51;74;0;74;245,89;22,18;26,83;
LA ROSA ;8159;88;251;274;284;1500;7,49;10,4;3,64;57,93;69,44;45,71;86,96;01:33:06;0,85;0,71;3,35;3,48;18,39;3,08;17;9;77;67;0;67;688,03;29,91;24,43;
LELLA ;8302;89;539;417;431;1857;7,97;15,5;156,51;111,78;168,92;47,13;248,91;01:33:06;2,03;1,35;5,02;5,2;22,37;6,49;41;13;112;134;4;134;726,49;36,79;28,85;
PENNINGTON;9063;97;344;305;317;1760;8,33;10,59;25,41;68,2;91,28;41,58;96,07;01:33:06;1,01;0,75;3,37;3,5;19,42;3,8;16;15;93;92;0;92;684,47;31,45;26,14;
PISANO;6839;73;232;254;271;1071;6,34;11,58;56,94;54,8;82,78;55,42;101,92;01:33:06;1,21;0,8;3,71;3,96;15,66;3,39;16;11;63;89;1;89;395,95;26,84;28,35;
VALLOCCHIA;8556;92;703;404;388;1742;8,11;14,08;145,46;135,78;144,66;43,92;280,79;01:33:06;1,69;1,59;4,72;4,53;20,36;8,22;39;23;109;134;4;134;767,3;34,41;29,37;
