;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;823;86;28;46;46;152;7,76;16,21;3,34;12,7;14,15;46,96;12,64;00:09:33;1,68;1,52;5,5;5,46;17,65;3,02;3,62;2,38;15,31;15,75;0,06;15,75;51,37;31,5;21,65;
ALTARE ;860;90;15;50;48;153;8,01;15,05;0;11,44;9,41;45,09;10,19;00:09:33;1,09;1,33;5,76;5,58;17,8;1,79;2;2;15;17;0;17;44,72;33,07;21,52;
ARBOLEDA;1005;105;66;59;70;282;9,68;18,99;1,82;16,56;19,85;40,14;20,77;00:09:33;1,98;1,65;5,88;6,92;28,01;6,53;5;5;20;22;0;22;125,9;44,24;24,3;
BELLONI ;915;96;51;39;40;189;8,37;12,99;12,92;9,09;12,2;40,62;14,51;00:09:33;1,33;0,99;4,23;4,38;20,61;5,57;3;1;14;14;0;14;90,24;32,68;25,1;
CADILI;820;86;29;53;57;141;7,93;19,36;9,81;18,75;15,79;47,23;18,84;00:09:33;1,93;2,29;6,4;6,94;17,22;3,59;4;3;18;15;0;15;45,3;33,21;27,31;
COCCO;842;88;72;39;42;166;7,84;14,97;22,62;10,86;13,36;47,14;17,99;00:09:33;1,59;1,29;4,62;4,99;19,66;8,6;3;0;11;13;1;13;47,65;32,02;25,97;
COSSU M.;823;86;3;57;56;151;8,03;20,53;0;15,96;18,26;46,51;7,14;00:09:33;2,22;1,94;6,91;6,77;18,39;0,4;6;5;26;19;0;19;32,38;34,48;19,79;
DALLA BERNARDINA ;786;82;3;35;30;86;7,18;12,89;0;9,42;9,68;45,53;7,09;00:09:33;1,23;1,2;4,5;3,86;11;0,33;4;1;11;13;0;13;9,15;22,25;19,57;
DORATIOTTO ;550;58;1;29;24;70;5,08;13,99;0;5,05;8,32;64,81;2,59;00:09:33;1,51;0,92;5,25;4,44;12,64;0,18;2;0;9;9;0;9;16,71;25,54;19,24;
EMERSON;606;63;0;18;19;22;5,32;8,32;0;3,36;2,94;55,55;0;00:09:33;0,48;0,55;3,01;3,1;3,7;0;1;0;3;4;0;4;0;8,71;13,53;
GIANDONATO;717;75;0;32;27;83;6,51;12,24;0;9,16;4,71;51,76;2,6;00:09:33;0,66;1,28;4,52;3,82;11,6;0;0;1;10;9;0;9;0;22,99;14,99;
LA ROSA ;754;79;0;38;31;97;6,93;13,52;0;8,33;7,86;48,07;4,43;00:09:33;1,04;1,1;4,98;4,14;12,81;0;1;1;10;14;0;14;17,08;25,2;18,5;
LELLA ;864;90;24;63;62;161;8,45;20,71;0;14,14;24,33;42,5;17,05;00:09:33;2,82;1,64;7,24;7,18;18,65;2,77;8;1;20;25;0;25;37,48;33,97;23,62;
PENNINGTON;1017;106;58;57;59;248;9,64;17,08;1,68;15,58;18,63;37,57;16,57;00:09:33;1,83;1,53;5,57;5,85;24,42;5,7;5;5;22;20;0;20;74,87;40,4;24,27;
PISANO;739;77;23;42;43;133;7,11;18,87;0;17,24;17,57;52,81;14,6;00:09:33;2,38;2,33;5,72;5,82;17,99;3,1;4;8;18;15;0;15;41,83;33,82;22,06;
PITZALIS;1037;109;86;62;63;304;9,91;17,99;4,65;16,77;19,98;38,21;28,94;00:09:33;1,93;1,62;5,95;6,11;29,34;8,28;3;3;18;19;0;19;194,88;45,62;24,82;
VALLOCCHIA;828;87;12;61;62;153;8,17;21,8;0;21,49;23,53;47,83;18,96;00:09:33;2,84;2,6;7,36;7,46;18,49;1,48;7;2;20;24;0;24;43,65;35,77;21,8;
