;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1919;87;44;106;107;330;7,88;16,16;3,48;31,27;36,02;45,04;32,64;00:21:59;1,79;1,57;5,31;5,4;17;2,23;9,38;5,94;33,5;38,5;0;38,5;91,79;30,84;23,47;
ALTARE ;1985;90;76;128;132;365;8,34;19,32;3,36;39,27;43,23;43,31;48,76;00:21:59;2,18;1,98;6,44;6,64;18,41;3,82;7;8;42;52;0;52;94,43;34,56;24,45;
ARBOLEDA;2024;92;51;142;150;414;8,72;22,37;2,66;45;64,65;43,06;42,92;00:21:59;3,19;2,22;7,03;7,41;20,44;2,53;16;7;45;69;0;69;107,73;37,11;24,41;
BELLONI ;2171;99;23;138;135;434;9,04;18,34;0;31,7;42,66;38,58;30,82;00:21:59;1,97;1,46;6,38;6,22;20,01;1,07;11;8;45;44;0;44;127,09;35,91;23,14;
CADILI;2209;100;14;136;119;405;9,16;17,84;0;49,86;44,98;38,95;39,46;00:21:58;2,04;2,26;6,15;5,39;18,33;0,63;15;10;49;46;0;46;99,02;35,11;21,41;
COCCO;1846;84;38;101;95;285;7,54;16,02;0;32,97;31,67;47,47;31,89;00:21:59;1,72;1,79;5,48;5,16;15,43;2,07;4;7;32;29;0;29;81,26;29,93;23,43;
COSSU M.;2109;96;55;121;157;445;8,93;20,18;0;38,23;61,21;40,73;35,31;00:21:58;2,9;1,81;5,72;7,45;21,1;2,59;21;8;34;59;0;59;114,34;36,52;22,77;
DALLA BERNARDINA ;2028;92;23;99;104;312;8,21;15,07;0,98;26,55;28,2;40,5;23,28;00:21:59;1,39;1,31;4,86;5,15;15,41;1,14;4;4;25;38;0;38;57,72;29,04;24,3;
DORATIOTTO ;701;32;9;15;16;130;2,66;7,95;0;3,52;2,12;86,48;1,44;00:21:59;0,3;0,5;2,1;2,24;18,57;1,31;0;2;11;7;0;7;96,65;24,78;20,19;
EMERSON;1692;77;11;59;61;128;6,55;10,02;0;14,15;16,8;44,69;12,25;00:21:59;0,99;0,84;3,49;3,62;7,58;0,68;6;1;10;22;0;22;18,17;15,53;23,58;
GIANDONATO;1559;71;12;61;63;163;6,13;11,78;0;17,38;16,78;54,06;10,88;00:21:59;1,08;1,11;3,92;4,06;10,44;0,75;5;2;18;26;0;26;31,79;20,74;23,04;
LA ROSA ;2082;95;30;97;90;329;8,3;13,26;0;19,34;23,58;37,79;17,94;00:21:59;1,13;0,93;4,67;4,31;15,79;1,42;8;2;28;21;0;21;93;28,44;22,66;
LELLA ;1874;85;27;104;113;300;7,71;16,88;0;33,42;39,29;47,22;28,42;00:21:59;2,1;1,78;5,57;6,02;16,03;1,45;9;6;35;44;0;44;90,8;30,68;22,1;
PENNINGTON;2257;103;45;106;112;410;9,07;14,14;0;26,35;28,72;35,81;24,09;00:21:59;1,27;1,17;4,68;4,97;18,18;1,97;8;3;38;36;0;36;114,68;32,16;22,21;
PISANO;1860;85;68;95;90;295;7,52;14,9;21,73;26,82;27,78;46,14;42,33;00:21:59;1,49;1,44;5,12;4,85;15,85;3,64;9;4;33;29;0;29;52,14;29,27;27,52;
PITZALIS;2248;102;94;133;128;431;9,3;17,56;0;38,93;41,4;33,02;47,26;00:21:59;1,84;1,73;5,93;5,71;19,19;4,2;7;8;40;39;0;39;128,69;34,83;23,73;
VALLOCCHIA;2063;94;133;155;150;439;8,92;22,88;27,01;56,78;63,27;42,79;85,27;00:21:59;3,07;2,75;7,52;7,26;21,27;6,43;20;15;51;55;0;55;161,16;38,92;26,55;
