;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1041;55;26;83;71;178;5,25;22,36;1,87;31,27;26,84;66,84;29,4;00:18:47;2,58;3,02;8,03;6,79;17,1;2,39;8,22;6,33;33,89;29,33;0;29,33;61,39;34,24;22,05;
ALTARE ;994;53;40;100;83;191;5,43;32,63;0;47,81;37,43;68,52;58,39;00:18:47;3,76;4,81;10,03;8,31;19,25;4,04;16;14;38;35;0;35;86,96;41,56;21,47;
ARBOLEDA;965;51;9;82;67;154;4,91;23,51;0;33,42;27,54;68,53;24,66;00:18:47;2,85;3,46;8,52;6,98;15,92;0,93;8;12;34;29;0;29;66,16;33,59;20,29;
CADILI;1011;54;31;106;93;226;5,39;29,35;1,12;41,28;42,1;68,96;42,12;00:18:47;4,17;4,08;10,49;9,16;22,36;3,09;11;4;42;42;0;42;92,45;43,2;24,51;
DALLA BERNARDINA ;1055;56;24;75;63;150;5,18;19,2;0;29,36;22,08;64,83;15,39;00:18:47;2,09;2,78;7,15;5,99;14,25;2,24;8;2;32;27;0;27;52,11;28,89;21,53;
DEMARCUS ;1146;61;50;98;83;230;5,8;22,95;5,23;42,24;30,91;64,29;40,32;00:18:47;2,7;3,69;8,51;7,29;20,08;4,35;10;9;45;39;0;39;72,87;39,1;25,25;
DORATIOTTO ;1008;54;9;76;54;162;4,98;19,82;0;28,74;17,98;69,54;20,23;00:18:47;1,78;2,85;7,49;5,4;16,07;0,9;9;3;38;22;0;22;53,72;32,82;21,88;
EMERSON;1070;57;0;61;57;132;5,06;14,76;0;15,97;11,92;65,21;7,61;00:18:47;1,11;1,49;5,66;5,31;12,36;0;2;1;20;23;0;23;19,02;24,61;18,69;
LA ROSA ;962;51;0;67;54;151;4,67;17,86;0;19,39;17,24;69,74;12,68;00:18:47;1,79;2,01;6,95;5,66;15,71;0;4;4;28;23;0;23;53,74;31;18,59;
PITZALIS;1157;62;69;86;81;207;5,78;21,18;10,5;23,26;34,36;61,92;43,22;00:18:47;2,97;2,01;7,43;6,99;17,91;5,96;6;8;28;24;0;24;55,43;33,36;26,22;
