;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;642;67;47;23;21;94;5,69;9,05;8,57;7,46;6,94;55,78;14,62;00:09:32;1,07;1,13;3,46;3,16;13,95;6,57;1,84;1,84;6,16;6,05;0,21;6,05;38,85;24,41;23,59;
ALTARE ;640;67;30;32;27;80;5,89;13,42;10,94;12,04;13,09;52,76;22,86;00:09:32;2,05;1,88;5,02;4,15;12,52;4,74;4;4;9;6;0;6;22,87;25,39;26,34;
ARBOLEDA;839;88;108;31;30;158;7,57;11,17;27,74;13,19;10,99;37,79;29,49;00:09:32;1,31;1,57;3,74;3,52;18,87;12,85;2;3;5;11;1;11;70,92;30,85;27,01;
BELLONI ;809;85;65;27;19;116;7,02;7;7,15;7,5;4;38,82;19,93;00:09:32;0,49;0,93;3,32;2,35;14,39;8,09;0;1;4;3;0;3;52,5;24,61;25,14;
CADILI;563;59;36;25;21;81;5,11;11,94;9,28;5,55;8,18;62,97;13,91;00:09:32;1,45;0,99;4,42;3,73;14,41;6,38;3;3;9;6;0;6;46,45;26,39;26,67;
COCCO;548;57;24;15;15;69;4,8;7,97;0;4,22;5,06;62,41;5,77;00:09:32;0,92;0,77;2,75;2,78;12,53;4,32;1;0;7;4;0;4;19,82;22,12;23,66;
DALLA BERNARDINA ;532;56;39;16;13;65;4,6;6,65;0;4,44;4,51;62,27;7,95;00:09:32;0,85;0,83;2,97;2,45;12,3;7,38;1;0;4;3;0;3;36,38;20,37;22,68;
DEMARCUS ;565;59;0;13;14;60;4,87;6,1;0;2,55;3;61,58;2,5;00:09:32;0,53;0,45;2,31;2,41;10,56;0;1;1;3;3;0;3;16,27;18,04;18,89;
DORATIOTTO ;723;76;72;28;19;119;6,42;9,4;0;9,33;7,51;50,04;16,26;00:09:32;1,04;1,29;3,92;2,65;16,49;9,97;2;3;8;7;0;7;46,56;28,5;23,68;
EMERSON;564;59;14;14;15;60;4,85;6,06;0;3,99;2,94;60,03;3,5;00:09:32;0,52;0,71;2,42;2,7;10,58;2,52;1;1;5;4;0;4;26,43;18,41;20,62;
GAGLIANO;559;59;13;18;17;62;4,98;9,74;0;6,86;7,99;63,76;9,71;00:09:32;1,43;1,23;3,22;3,06;11,01;2,38;2;1;6;9;0;9;27,15;20,61;22,51;
GIANDONATO;774;81;72;34;40;160;7,14;13,77;0;11,27;12,62;49,21;21;00:09:32;1,63;1,46;4,39;5,22;20,71;9,32;2;3;12;11;0;11;56,28;34;23,41;
LA ROSA ;580;61;15;19;14;71;5,07;7,71;0;4,84;5,44;59,58;6,29;00:09:32;0,94;0,83;3,19;2,47;12,25;2,55;1;0;6;3;0;3;45,83;21,87;21,57;
LELLA ;806;85;67;30;25;161;7,11;8,69;16,02;6,58;8,78;45,62;13,19;00:09:32;1,09;0,82;3,69;3,15;19,95;8,36;4;1;7;6;1;6;100,12;31,08;25,97;
MARIGOSU;472;49;19;16;17;64;4,11;7,41;0;4,77;2,78;73,33;4,87;00:09:32;0,59;1,01;3,29;3,52;13,65;3,94;0;0;5;7;0;7;27,92;24,42;21,84;
PENNINGTON;831;87;103;29;29;139;7,32;8,64;13,73;10,26;5,87;40,56;24,15;00:09:32;0,71;1,24;3,54;3,46;16,71;12,39;2;3;7;9;0;9;40,4;28,44;25,09;
PITZALIS;855;90;121;31;34;162;7,68;10,79;52,59;10,64;12,34;38,1;31,4;00:09:32;1,44;1,24;3,6;3,94;18,91;14,14;4;2;6;9;2;9;40,2;29,52;26,01;
UDHO;450;47;10;16;16;40;4,04;10,73;0;7,05;9,24;76,66;10,69;00:09:32;2,05;1,57;3,48;3,49;8,85;2,31;4;3;5;6;0;6;16,01;19,47;22,36;
VALLOCCHIA;704;74;93;31;22;104;6,32;10,62;25,37;14,15;5,49;49,72;34,11;00:09:32;0,78;2,01;4,42;3,17;14,79;13,21;1;6;8;5;0;5;40,81;28,17;26,92;
VERDE;391;41;0;8;7;22;3,3;4,09;0;2,44;1,93;74,68;0,18;00:09:32;0,49;0,63;2,03;1,9;5,55;0;0;0;1;3;0;3;5,16;11,44;17,9;
