;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;899;41;0;31;25;60;3,49;9,19;0;5,57;5,17;74,39;1,47;00:21:47;0,57;0,62;3,42;2,73;6,7;0;0,67;0,44;4,67;4,11;0;4,11;2,94;12,94;15,86;
ALTARE ;903;45;0;26;22;55;3,78;8,82;0;4,25;3,24;70,89;2,41;00:20:08;0,36;0,47;2,93;2,44;6,13;0;1;0;4;2;0;2;2,66;12,16;16,77;
ARBOLEDA;924;42;0;30;24;55;3,54;8,43;0;4,44;3,86;74,08;0,22;00:21:53;0,42;0,48;3,29;2,54;5,96;0;0;1;5;3;0;3;0;11,65;13,17;
BELLONI ;906;41;0;36;23;83;3,52;9,98;0;6,51;4,11;75,49;1,7;00:21:53;0,45;0,72;3,99;2,53;9,18;0;0;2;11;5;0;5;0;17,77;15,45;
BIANCU;881;40;0;26;24;46;3,37;8,11;0;3,46;3,89;73,38;0;00:21:53;0,44;0,39;2,98;2,75;5,17;0;0;0;3;3;0;3;0;9,71;15,45;
CADILI;851;39;0;37;28;87;3,33;10,53;0;5,03;5,81;76,87;0,74;00:21:53;0,68;0,59;4,4;3,29;10,25;0;0;0;6;3;0;3;10,69;18,28;17,47;
COCCO;951;43;0;33;26;76;3,68;9,46;0;6,08;4,55;72,45;1,63;00:21:53;0,48;0,64;3,5;2,69;8,02;0;0;0;2;2;0;2;0;14,74;15,84;
DALLA BERNARDINA ;916;42;0;39;29;120;3,59;10,9;0;7,49;7,79;76,41;5,82;00:21:53;0,85;0,82;4,31;3,17;13,05;0;3;0;11;6;0;6;18,91;22,82;18,05;
DEMARCUS ;874;40;0;29;21;49;3,34;8,1;0;4,3;2,6;74,23;1,19;00:21:53;0,3;0,49;3,27;2,4;5,63;0;1;0;4;5;0;5;6,11;11,17;17,26;
DORATIOTTO ;867;40;0;27;22;51;3,32;8,32;0;4,12;3,91;75,68;0;00:21:53;0,45;0,48;3,07;2,57;5,87;0;0;0;6;2;0;2;0;10,97;14,38;
EMERSON;917;42;0;27;28;38;3,52;8,51;0;5,63;8,51;73,35;0,64;00:21:53;0,93;0,61;2,99;3,05;4,14;0;1;0;1;7;0;7;1,51;7,95;16,42;
GAGLIANO;877;40;0;35;24;63;3,43;10,51;0;5,14;4,93;74,77;1,73;00:21:53;0,56;0,59;3,95;2,73;7,22;0;1;1;3;6;0;6;0;14,52;15,22;
GIANDONATO;850;39;0;24;21;26;3,23;7,47;0;4,38;4,04;73,88;0,4;00:21:53;0,48;0,52;2,86;2,45;3,02;0;1;0;3;2;0;2;0;6,56;14,85;
LA ROSA ;875;40;0;27;26;39;3,35;8,27;0;6,31;7;75,67;0,24;00:21:53;0,8;0,72;3,09;2,94;4,42;0;0;0;3;2;0;2;0;8,29;13,48;
LELLA ;919;42;0;41;27;90;3,61;11,07;0;6,24;6,54;75,44;3,25;00:21:53;0,71;0,68;4,47;2,89;9,85;0;1;0;5;6;0;6;5,44;18,28;17,22;
MARIGOSU;850;39;0;35;31;62;3,36;11,98;0;8,92;5,98;77,21;3,14;00:21:53;0,7;1,05;4,12;3,64;7,27;0;1;2;7;8;0;8;7,55;15,68;18,66;
PENNINGTON;933;43;0;25;23;55;3,56;7,89;0;3,65;3,51;73,4;1,06;00:21:53;0,38;0,39;2,7;2,44;5,93;0;0;1;1;5;0;5;0;11,93;15,43;
PITZALIS;1000;46;0;40;32;61;3,95;11,65;0;12,06;10,51;71,42;2,24;00:21:53;1,05;1,21;4;3,24;6,08;0;2;1;7;6;0;6;0;13,64;15,26;
VERDE;892;41;0;14;12;30;3,32;5,4;0;2,31;2,24;74,2;0;00:21:53;0,25;0,26;1,58;1,34;3,4;0;0;0;2;1;0;1;0;6,83;15;
