;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3081;50;221;168;148;488;4,46;15,25;46,84;58,21;47,71;71,9;85,73;01:01:39;1,53;1,88;5,42;4,78;15,72;7,15;12,47;15,35;53,94;42,88;0,65;42,88;133,41;28,81;26,87;
ALTARE ;2963;47;225;162;156;428;4,22;16,15;71,94;61,06;44,07;74,03;97,3;01:03:11;1,49;2,06;5,48;5,25;14,44;7,61;12;18;55;37;1;37;85,13;27,38;29,68;
ARBOLEDA;3214;51;232;229;228;681;4,83;22,58;40,76;90,59;96,7;71;119,16;01:03:10;3,01;2,82;7,13;7,1;21,17;7,22;35;29;89;80;0;80;239,58;38,13;26,27;
BELLONI ;1994;53;122;114;103;294;4,84;17,08;0;44,13;42,99;68,81;46,44;00:37:17;2,16;2,21;5,74;5,17;14,75;6,11;12;11;31;30;0;30;73,46;28,17;23,78;
CADILI;2996;47;200;161;130;480;4,21;14,67;27,35;58;41,07;73,18;77,8;01:03:11;1,37;1,94;5,38;4,33;16,02;6,66;12;18;54;38;1;38;149,6;29,82;26,74;
COCCO;2492;39;189;128;123;372;3,49;14,22;3,22;44,99;26,5;78,84;50,18;01:03:11;1,06;1,81;5,13;4,93;14,94;7,58;5;8;46;26;0;26;102,48;26,97;24,67;
DALLA BERNARDINA ;3026;48;144;143;117;339;4,18;12,77;25,4;48,39;35,77;70,65;50,67;01:03:11;1,18;1,6;4,73;3,86;11,2;4,75;8;12;47;42;0;42;65,91;22,3;26,1;
DEMARCUS ;3654;58;334;210;196;735;5,21;16,38;106,93;60,67;74,62;66,28;125,09;01:03:11;2,04;1,66;5,74;5,35;20,13;9,13;23;17;65;54;3;54;148,59;34,11;29,31;
DORATIOTTO ;3272;52;211;165;146;561;4,56;13,7;27,09;51,02;39,2;70,05;87,37;01:03:11;1,2;1,56;5,05;4,46;17,16;6,44;9;13;45;44;0;44;162,95;30,83;26,89;
EMERSON;2902;46;205;126;105;340;3,98;11,96;46,04;36,91;33,93;74,04;66,17;01:03:11;1,17;1,27;4,35;3,63;11,7;7,06;7;13;32;33;1;33;66,44;21,64;26,41;
GAGLIANO;3292;52;248;188;162;559;4,68;16,06;52,47;64,13;55,62;72,5;107,04;01:03:11;1,69;1,95;5,7;4,92;16,99;7,54;16;17;56;39;0;39;158,28;31,36;26,26;
GIANDONATO;2845;45;129;129;104;321;3,9;11,89;0;42,02;21,87;74,35;43,31;01:03:11;0,77;1,48;4,53;3,67;11,28;4,55;6;8;37;28;0;28;125,18;21,38;22,82;
LA ROSA ;3518;56;166;137;105;477;4,79;11,09;3,82;48,25;26,52;69,72;56,12;01:03:11;0,75;1,37;3,9;2,99;13,55;4,7;9;11;48;32;0;32;166,38;24,51;24,95;
LELLA ;3210;51;285;209;194;609;4,64;17,99;84,15;72,19;74,48;72,48;107,05;01:03:11;2,32;2,25;6,51;6,04;18,99;8,89;13;18;64;70;1;70;136,99;33,24;31,77;
MARIGOSU;3344;53;406;223;211;640;4,91;19,93;165,59;85,58;71,72;70,87;164,56;01:03:11;2,15;2,56;6,66;6,31;19,14;12,15;16;20;69;55;3;55;173,16;34,23;29,29;
PENNINGTON;3175;50;173;168;122;448;4,4;13,07;24,63;46,92;33,79;72,23;59,65;01:03:11;1,06;1,48;5,29;3,84;14,11;5,46;7;10;62;34;0;34;111,21;27;26,21;
PISANO;3247;51;191;171;141;431;4,54;14,09;15,5;63,95;37,18;71,74;78,19;01:03:11;1,15;1,97;5,26;4,35;13,26;5,9;10;19;59;45;0;45;133,71;25,95;25,21;
PITZALIS;3244;51;303;186;172;584;4,62;16,38;101,3;70,86;54,97;70,24;121,39;01:03:11;1,69;2,18;5,72;5,29;18,01;9,36;12;19;58;42;1;42;168,86;32,56;30,41;
