;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3653;118;413;175;175;1034;10,53;14,8;106,33;46,07;57,12;34,42;116,13;00:30:50;1,54;1,25;4,77;4,77;28,11;11,19;12,12;7,24;42,06;44,18;2,47;44,18;409,91;42,78;29,39;
ALTARE ;3706;117;514;181;182;1044;10,33;14,35;180,88;46,81;61,94;34,08;154;00:31:44;1,67;1,26;4,87;4,91;28,17;13,87;8;11;44;48;5;48;407,13;42,95;30,56;
ARBOLEDA;4140;130;573;248;241;1329;11,97;18,53;106,55;86,42;87,75;30,49;174,89;00:31:43;2,12;2,09;5,98;5,82;32,1;13,85;25;16;69;62;3;62;569,96;48,85;29,94;
CADILI;3878;134;374;186;186;1154;11,99;15,54;108,15;53,36;63,39;27,91;110,67;00:28:55;1,63;1,38;4,81;4,8;29,75;9,64;7;6;44;43;4;43;345;45,58;28,82;
COCCO;3544;112;356;153;139;992;9,74;12,66;72,62;36,7;33,72;39,95;69,99;00:31:44;0,95;1,04;4,32;3,92;28;10,04;4;6;33;34;1;34;418,13;42,09;27,66;
DALLA BERNARDINA ;3464;108;337;143;146;926;9,4;12,2;44,73;26,63;35,32;39,15;84,68;00:31:59;1,02;0,77;4,12;4,21;26,75;9,72;9;6;34;43;1;43;436,68;39,97;32,03;
DEMARCUS ;4087;134;460;189;227;1357;12,14;16,83;99,91;47,7;89,07;28,24;116,3;00:30:26;2,18;1,17;4,62;5,56;33,2;11,26;22;11;47;69;1;69;594,04;48,82;31,45;
DORATIOTTO ;3574;119;472;162;166;1030;10,55;14,61;214,3;44,6;56,25;35,45;145,21;00:30:03;1,57;1,25;4,53;4,66;28,83;13,22;15;7;31;41;5;41;305,66;43,13;32,26;
EMERSON;3285;104;168;111;100;679;8,78;9,63;18,81;23,47;30,14;36,16;34,42;00:31:44;0,92;0,71;3,37;3,06;20,67;5,12;4;3;27;24;0;24;318,93;32,23;26,56;
GAGLIANO;3686;119;445;166;169;1034;10,43;13,55;130,69;37,75;45,11;33,88;113,64;00:31:03;1,22;1,02;4,5;4,59;28,05;12,08;11;2;39;45;3;45;377,38;42,69;29,64;
GIANDONATO;3089;104;156;113;116;713;9,01;11,9;7,73;27,32;31,66;38,36;39,76;00:29:41;1,02;0,88;3,66;3,74;23,08;5,06;8;5;29;35;0;35;351,07;35,71;25,79;
LA ROSA ;3597;120;608;120;125;1089;10,26;10,62;151,19;22,69;36,13;33,74;81,85;00:30:00;1;0,63;3,33;3,48;30,29;16,92;7;6;25;26;3;26;460;42,49;30,69;
LELLA ;3976;125;459;211;180;1114;11,17;15,2;95,72;58,01;67,16;30,75;147,86;00:31:44;1,69;1,46;5,32;4,54;28,01;11,56;23;6;56;49;3;49;438,23;43,34;28,52;
MARIGOSU;3887;123;447;266;265;1224;11,55;20,96;128,48;74,66;90,35;34,42;167,05;00:31:30;2,32;1,92;6,83;6,82;31,48;11,49;14;7;62;56;3;56;520,92;49,14;29,09;
PENNINGTON;3886;126;499;150;151;1138;10,97;12,18;70,43;36,41;44,06;32,65;88,31;00:30:45;1,13;0,94;3,87;3,88;29,28;12,84;10;3;39;41;1;41;445,59;42,8;26,85;
PISANO;3186;111;289;167;136;761;9,76;14,01;70,55;42,67;34,36;37,35;104,89;00:28:48;1,08;1,34;5,24;4,28;23,88;9,06;8;8;41;33;1;33;288,6;39,01;27,42;
PITZALIS;3615;114;499;231;256;1104;10,62;20,52;154,51;72,21;80,15;38,66;176,19;00:31:44;2,22;2;6,39;7,09;30,54;13,79;11;14;49;52;4;52;410,76;47,13;31,56;
UDHO;3501;114;367;181;194;897;10,41;18,09;152,37;45,79;84,4;33,48;164,52;00:30:44;2,41;1,31;5,17;5,55;25,63;10,48;20;6;46;50;4;50;280,32;41;30,85;
