;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3246;99;65;169;173;626;8,93;16,1;4,84;48,04;56,73;39,02;54,09;00:32:42;1,72;1,48;5,2;5,29;18,92;2;13,67;8,89;48,56;54,83;0;54,83;181,09;33,65;23,85;
ALTARE ;3149;96;120;199;203;660;8,86;18,85;17,18;66,69;64,56;42,39;82,53;00:32:42;2,05;2,12;6,32;6,45;20,97;3,8;14;8;56;59;0;59;239,55;37,53;26,17;
ARBOLEDA;3030;93;73;218;209;624;8,7;21,4;8,65;70,06;81,77;43,46;80,73;00:32:42;2,7;2,31;7,21;6,89;20,59;2,4;32;24;77;76;0;76;159,93;38,1;25,55;
BIANCU;3530;108;90;183;187;741;9,68;15,86;11,74;38,73;61,66;34,67;52,55;00:32:42;1,75;1,1;5,19;5,29;20,98;2,55;12;5;47;57;0;57;227,42;35,96;25,56;
CADILI;3474;106;113;234;231;751;9,9;20,45;14,14;75,3;94,14;36,05;101,02;00:32:42;2,71;2,17;6,73;6,64;21,61;3,26;27;10;56;73;0;73;250,73;38,95;25,74;
COCCO;3004;92;55;150;146;544;8,19;15,13;0;45,52;43,49;43,39;35,34;00:32:42;1,45;1,52;5;4,86;18,12;1,83;9;8;47;43;0;43;194,52;32,33;23,05;
DALLA BERNARDINA ;3370;103;70;166;171;646;9,19;15,16;12,2;40,85;50,69;34,73;46,81;00:32:42;1,5;1,21;4,93;5,08;19,18;2,09;8;6;51;59;0;59;179,11;33,79;26,9;
DEMARCUS ;3134;96;88;211;207;654;8,99;21,22;0;66,58;84,45;39,03;76,81;00:32:42;2,69;2,12;6,73;6,6;20,87;2,8;27;14;69;67;0;67;213,41;37,89;23,32;
DORATIOTTO ;2552;78;38;139;125;360;6,9;14,16;0;38,16;28,44;52,09;27,47;00:32:42;1,11;1,5;5,45;4,89;14,09;1,48;5;9;49;39;0;39;65,48;27,21;23,11;
EMERSON;3259;100;39;99;121;532;8,52;10,44;0;16,83;34,39;35,74;20,25;00:32:42;1,06;0,52;3,03;3,72;16,32;1,19;6;3;28;39;0;39;162,92;27,58;22,5;
GAGLIANO;3322;102;64;185;182;768;9,26;17,73;0;59,55;67,49;40,87;61,01;00:32:42;2,03;1,79;5,58;5,49;23,11;1,93;16;12;62;67;0;67;284,59;39,66;22,29;
GIANDONATO;2975;91;2;82;85;375;7,7;9,43;0;18,87;17,41;43,15;8,71;00:32:42;0,59;0,63;2,74;2,84;12,61;0,06;1;2;20;24;0;24;25,96;22,9;19,46;
LA ROSA ;3681;113;17;115;125;700;9,64;10,71;0;17,15;31,37;31,47;16,82;00:32:42;0,85;0,47;3,12;3,38;19,01;0,46;11;2;25;47;0;47;144,23;31,34;21,03;
LELLA ;3618;111;122;209;222;749;10,17;18,73;8,17;60,57;81,35;30,16;89,4;00:32:42;2,25;1,67;5,79;6,14;20,7;3,38;20;9;61;75;0;75;246,3;36,82;24,88;
MARIGOSU;3810;116;58;230;233;855;10,72;18,87;0,83;69,8;72,54;29,54;67,31;00:32:42;1,9;1,83;6,03;6,11;22,44;1,53;16;11;56;65;0;65;223,2;39,46;24,05;
PENNINGTON;3753;115;59;162;196;813;10,21;14,9;0;32,66;58,84;31,4;38,04;00:32:42;1,57;0,87;4,32;5,22;21,67;1,58;15;6;38;61;0;61;247,37;35,81;23,1;
PISANO;2390;73;87;119;127;340;6,48;14,54;13,36;32,61;38,72;55,2;55,5;00:32:42;1,62;1,36;4,96;5,3;14,23;3,64;10;5;36;46;0;46;118,03;26,97;26,59;
PITZALIS;2568;79;6;111;105;303;6,84;12,52;0;37,14;24,52;49,53;27,72;00:32:42;0,95;1,45;4,32;4,09;11,79;0,24;3;10;37;28;0;28;71,41;23,61;21,78;
UDHO;3814;117;66;235;234;851;10,81;19,78;0,84;77,72;85,24;29,44;85,61;00:32:42;2,23;2,04;6,15;6,13;22,3;1,73;14;16;59;62;0;62;205,49;39,86;24,16;
