;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2502;96;51;155;153;460;8,88;18,64;9,22;48,53;53,82;39,79;50,02;00:25:55;2,11;1,91;6,12;6,02;18,11;2;12,59;6,76;43,41;46,53;0,18;46,53;111;33,36;24,28;
ARBOLEDA;2693;98;41;196;192;526;9,22;21,83;0;57,72;74,67;39,13;55,06;00:27:32;2,77;2,14;7,28;7,11;19,52;1,53;19;7;58;66;0;66;98,23;36,34;23,41;
BIANCU;2748;100;25;163;158;500;9,16;18,54;0;47,62;59,84;37,4;36,4;00:27:32;2,18;1,73;5,92;5,74;18,18;0,91;15;9;46;56;0;56;125,66;33,5;22,56;
CADILI;2841;103;71;191;174;543;9,48;18,65;11,14;58,96;59,19;35,53;68,96;00:27:30;2,08;2,08;6,71;6,12;19,13;2,52;17;4;61;47;0;47;133,31;35,62;26,67;
COCCO;2441;89;51;137;114;361;7,86;14,62;10,35;37,86;30,86;44,23;33,76;00:27:32;1,26;1,55;5,63;4,66;14,8;2,1;6;6;35;33;0;33;67,53;28,24;25,11;
D'AGOSTINO;2553;93;28;161;181;442;8,68;20,9;0;44,62;68,55;40,28;46,42;00:27:32;2,68;1,75;6,32;7,08;17,3;1,08;13;8;41;60;0;60;116,39;32,45;20,96;
DALLA BERNARDINA ;2447;89;9;124;113;346;7,85;14,2;0;29,61;28,59;42,24;16,29;00:27:32;1,17;1,21;5,05;4,63;14,15;0,36;5;3;31;31;0;31;48,09;26,96;21,13;
DEMARCUS ;2989;109;110;223;227;742;10,34;23,12;3,16;76,53;86,38;36,3;87,55;00:27:32;2,89;2,56;7,44;7,58;24,82;3,67;26;14;68;73;0;73;252,05;43,06;25,42;
DORATIOTTO ;1907;98;99;129;135;411;9,18;20,75;47,83;36,67;52,28;38,63;59,78;00:19:25;2,74;1,92;6,77;7,1;21,55;5,19;15;5;32;39;2;39;116,13;37,62;28,97;
EMERSON;2233;81;27;79;90;231;6,96;10,94;0;20,31;30,13;44,01;20,68;00:27:32;1,35;0,91;3,56;4,03;10,35;1,21;6;2;25;31;0;31;57,21;19,96;23,43;
GAGLIANO;1670;87;17;110;105;295;8,02;19,21;0;33,74;34,09;48,28;36,06;00:19:13;2,04;2,02;6,57;6,3;17,68;1,04;8;4;34;35;0;35;81,18;33,8;23,25;
LA ROSA ;2463;89;12;83;78;298;7,65;10,47;0;20,83;16,76;41,73;12;00:27:32;0,68;0,85;3,37;3,17;12,1;0,49;3;3;19;17;0;17;50,61;22,32;20,05;
LADINETTI;2906;106;10;169;157;507;9,64;17,98;0;58,47;51,51;35,6;41,94;00:27:32;1,77;2,01;5,8;5,39;17,43;0,33;12;3;42;57;0;57;84,2;33,21;20,26;
LELLA ;1825;109;34;112;124;397;10,05;19,11;0;32,97;37,25;34,69;29,09;00:16:44;2,04;1,81;6,15;6,78;21,74;1,87;7;6;35;48;0;48;73,6;37,91;22,95;
MARIGOSU;2902;106;86;247;244;709;10,46;28,01;17,33;94,13;101,02;36,87;105,08;00:27:29;3,48;3,24;8,52;8,42;24,42;2,97;19;16;69;66;0;66;202,56;43,99;27,43;
PENNINGTON;2579;94;20;128;122;379;8,3;14,44;0;38,67;32,67;39,9;15,06;00:27:32;1,27;1,5;4,97;4,72;14,7;0,79;7;5;42;36;0;36;45,93;28;23,99;
PITZALIS;2687;98;107;165;175;572;9,04;19,67;34,06;56,52;66,47;39,17;69,47;00:27:32;2,47;2,1;6,13;6,53;21,29;4;17;9;49;48;1;48;199,18;37,18;27,25;
UDHO;2644;96;121;218;204;555;9,33;25,36;32,89;79,72;84,71;42,6;116,77;00:27:30;3,2;3,02;8,24;7,73;21,01;4,57;19;11;51;48;0;48;135,07;40,11;29,98;
