;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;722;203;3;19;13;260;16,72;6,3;0;4,75;2,59;6,94;1,71;00:03:33;0,36;0,66;2,57;1,79;36;0,46;0,11;1,11;7,89;4,89;0;4,89;204,93;49,03;19,06;
DEMARCUS ;726;205;0;18;14;265;16,75;5,81;0;6,28;2,19;7,73;0,56;00:03:33;0,3;0,86;2,48;1,89;36,42;0;1;3;11;5;0;5;206,94;49,4;18,77;
EMERSON;744;210;13;20;13;289;17,05;5,17;0;3,38;1,95;6,55;1,53;00:03:33;0,26;0,45;2,66;1,78;38,9;1,77;0;0;12;3;0;3;250,92;50,59;19,62;
GAGLIANO;723;204;1;20;9;252;16,58;5,19;0;4,44;1,06;7,7;2,71;00:03:33;0,15;0,61;2,75;1,3;34,8;0,15;0;1;8;2;0;2;227,43;46,9;19,04;
GIANDONATO;697;196;0;16;14;246;16,3;7,33;0;2,79;2,96;8,05;0,79;00:03:33;0,43;0,4;2,26;1,98;35,31;0;0;0;5;7;0;7;187,14;49,43;18,47;
LADINETTI;714;201;0;18;10;247;16,4;5,44;0;6,52;0,52;8,39;2,5;00:03:33;0,07;0,91;2,5;1,35;34,67;0;0;1;6;4;0;4;161,08;47,56;18,64;
PENNINGTON;728;205;2;17;15;263;16,89;6,51;0;3;3,11;5,97;0;00:03:33;0,43;0,41;2,29;2,11;36,16;0,34;0;1;7;6;0;6;228,61;48,87;19,5;
PISANO;724;204;2;18;10;263;16,69;5,77;0;7,02;3,04;6,12;2,98;00:03:33;0,42;0,97;2,46;1,45;36,39;0,23;0;3;8;7;0;7;230,84;48,72;19,3;
PITZALIS;726;204;0;17;14;251;16,82;6,35;0;3,29;3,5;4,98;1,49;00:03:33;0,48;0,45;2,32;1,89;34,6;0;0;1;5;4;0;4;158,33;47,97;18,38;
UDHO;714;201;12;24;17;262;16,98;9,11;0;6,01;4,94;6,93;2,85;00:03:33;0,69;0,84;3,41;2,38;36,76;1,62;0;0;9;6;0;6;193,08;51,8;19,78;
