;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;796;58;0;39;25;108;5,05;12,33;0;11,74;6,07;68,1;2,78;00:13:41;0,77;1,48;4,88;3,11;13,46;0;0,7;1,4;16,1;8,05;0;8,05;2,47;26,34;16,11;
ALTARE ;923;67;0;61;32;187;5,98;14,62;0;19,76;5,61;65,82;5,43;00:13:41;0,61;2,14;6,62;3,45;20,21;0;2;3;29;9;0;9;12,3;37,34;17,21;
ARBOLEDA;804;59;0;45;39;139;5,23;15,14;0;12,92;12,46;69,13;2,48;00:13:41;1,55;1,61;5,59;4,82;17,32;0;2;3;18;16;0;16;0;31,92;15,46;
BIANCU;815;59;0;42;23;111;5,16;12,12;0;10,9;5,71;68,29;1,51;00:13:41;0,7;1,34;5,14;2,83;13,65;0;1;1;16;11;0;11;0;26,72;15,89;
CADILI;801;58;0;52;32;159;5,22;15,41;0;15,01;5,23;69,21;3,83;00:13:41;0,65;1,87;6,47;4,02;19,85;0;0;1;27;9;0;9;5,93;36,67;16,79;
COCCO;743;54;0;39;24;102;4,86;15,79;0;13,05;9,59;69,77;4,13;00:13:41;1,29;1,76;5,28;3,22;13,75;0;1;0;13;8;0;8;0,56;27,43;16,2;
D'AGOSTINO;802;59;0;37;26;92;4,99;10,23;0;9,81;6,32;67,39;2,97;00:13:41;0,79;1,22;4,58;3,18;11,51;0;1;0;11;10;0;10;5,63;22,65;17,36;
DALLA BERNARDINA ;794;58;0;35;29;101;5,01;11,55;0;10,61;5,72;66,1;4,42;00:13:41;0,72;1,34;4,46;3,59;12,75;0;0;0;15;7;0;7;0;24,51;15,52;
DEMARCUS ;864;63;0;47;27;134;5,5;12,79;0;13,1;5,75;64,17;4,68;00:13:41;0,67;1,52;5,4;3,09;15,49;0;2;3;20;8;0;8;8,27;29,44;17,95;
DORATIOTTO ;826;60;0;33;25;101;5,19;11,15;0;9,78;9,08;65,37;1,65;00:13:41;1,1;1,18;4,03;2,98;12,22;0;3;4;12;14;0;14;0,28;23,33;16,08;
EMERSON;844;62;0;37;24;101;5,28;10,65;0;10,64;4,37;66,63;2,35;00:13:41;0,52;1,26;4,36;2,89;12,02;0;0;1;15;8;0;8;8,48;23,46;17,31;
GAGLIANO;727;53;0;34;15;97;4,57;11,22;0;14,04;4;71,31;4,42;00:13:41;0,55;1,93;4,65;2,05;13,34;0;0;2;15;1;0;1;5,12;27,2;17;
GIANDONATO;789;58;0;33;20;82;4,96;11,25;0;7,32;4,2;65,2;2,76;00:13:41;0,53;0,93;4,23;2,58;10,38;0;0;1;11;5;0;5;1,22;21,06;16,36;
LA ROSA ;896;65;0;37;25;105;5,56;9,9;0;8,33;3,79;64,32;0,61;00:13:41;0,42;0,93;4,1;2,81;11,74;0;0;0;16;5;0;5;0;22,62;14,96;
LADINETTI;769;56;0;34;23;80;4,85;11,7;0;8,71;4,87;68,35;1,31;00:13:41;0,63;1,13;4,36;3;10,45;0;0;0;11;7;0;7;0;21,59;14,99;
LELLA ;698;51;0;35;26;87;4,47;13,22;0;12,78;7,48;72,58;1,85;00:13:41;1,07;1,83;4,96;3,7;12,44;0;1;0;18;7;0;7;0;25,48;15,72;
MARIGOSU;742;54;0;28;19;100;4,64;10,68;0;6,06;2,89;71,26;0,44;00:13:41;0,39;0,82;3,72;2,52;13,5;0;0;0;8;3;0;3;0;24,75;15,61;
PENNINGTON;771;56;0;25;12;76;4,7;7,99;0;7,55;0,49;70,84;1,8;00:13:41;0,06;0,98;3,23;1,53;9,8;0;0;3;10;4;0;4;0;20,1;15,54;
PISANO;750;55;0;45;31;105;4,95;16,81;0;15,94;13,76;69,08;3,21;00:13:41;1,84;2,13;5,99;4,2;13,95;0;1;1;21;15;0;15;0;28,81;14,27;
PITZALIS;787;57;0;36;21;89;4,95;11,39;0;10,77;4,49;67,06;3,38;00:13:41;0,57;1,37;4,53;2,64;11,36;0;0;3;16;6;0;6;0;23,27;15,42;
UDHO;785;57;0;47;25;106;5,02;12,97;0;17,69;5,56;70,11;2,4;00:13:41;0,71;2,25;5,98;3,19;13,45;0;0;2;20;8;0;8;1,7;28,47;16,61;
