;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;300;66;14;26;22;59;6,21;19,59;0;10,39;7,13;58,46;15,48;00:04:33;2,17;3,2;7,89;6,67;18,19;4,21;1,43;3,43;8,64;7,14;0;7,14;39,67;36,46;19,81;
ARBOLEDA;334;73;13;28;26;67;6,92;21,94;0;12,65;8,58;54,84;16,38;00:04:33;2,57;3,79;8,35;7,83;19,99;3,94;2;4;7;8;0;8;41,21;39,2;21,53;
CADILI;338;74;22;30;27;67;7,11;23,84;0;15,1;8,03;52,86;21,46;00:04:33;2,38;4,47;8,84;7,96;19,74;6,62;1;7;12;8;0;8;51,47;41,15;21,72;
D'AGOSTINO;338;74;12;27;24;69;6,92;20,28;0;9,15;8,49;53,61;17,82;00:04:33;2,51;2,71;7,84;7,18;20,48;3,67;1;3;8;5;0;5;56,51;39,13;20,57;
DALLA BERNARDINA ;325;71;26;29;21;74;6,79;22,76;0;10,91;11,61;51,68;20,03;00:04:33;3,57;3,35;8,93;6,44;22,81;7,92;4;2;13;7;0;7;54,17;43,63;23,1;
DEMARCUS ;300;66;12;28;27;60;6,44;26,15;0;10,38;9,45;58,27;15,39;00:04:33;3,15;3,46;9,35;9,15;19,83;3,96;2;6;12;11;0;11;32,51;41,01;22,2;
EMERSON;346;76;26;36;30;79;7,24;23,13;0;11,2;12,9;54,66;23,24;00:04:33;3,73;3,24;10,55;8,55;22,82;7,61;3;2;11;10;0;10;68,01;43,04;22,24;
GAGLIANO;328;72;24;29;24;70;6,84;22,87;0;11,57;7,04;54,33;20,21;00:04:33;2,15;3,53;8,89;7,35;21,28;7,37;2;2;10;8;0;8;44,3;41,76;21,85;
GIANDONATO;0;0;0;0;0;0;0;-4;0;0;0;100;0;00:04:33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06;
LADINETTI;328;72;4;20;13;52;6,27;12,57;0;4,79;2,67;53,65;5,16;00:04:33;0,81;1,46;6,04;4,05;15,84;1,2;0;0;5;3;0;3;22,02;30,95;20,87;
LELLA ;316;69;14;33;26;62;6,74;25,64;0;15,76;10,69;56,78;20,93;00:04:33;3,39;4,99;10,36;8,39;19,77;4,51;4;5;11;10;0;10;50,95;41,31;20,79;
MARIGOSU;338;74;21;32;31;64;7,31;27,15;0;16,17;9,48;54,8;25,49;00:04:33;2,8;4,78;9,34;9,28;18,83;6,28;0;6;9;10;0;10;50,89;41,22;23,06;
PENNINGTON;284;62;2;20;15;46;5,58;15,34;0;8,08;2,29;59,59;6,44;00:04:33;0,8;2,84;7,12;5,43;16,28;0,62;0;3;8;5;0;5;17,37;34,67;19,36;
PISANO;266;58;0;16;10;42;5,14;13,81;0;7,29;1,44;61,61;3,91;00:04:33;0,54;2,74;6,15;3,93;15,77;0;0;3;6;4;0;4;14,4;32,27;18,29;
UDHO;363;80;19;32;28;77;7,59;22,8;0;12,45;7,13;51,81;20,34;00:04:33;1,96;3,43;8,74;7,8;21,16;5,29;1;5;9;11;0;11;51,54;41,08;21,75;
