;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1707;95;45;84;90;322;8,51;15,75;7,56;24,77;32,39;41,26;27,44;00:18:01;1,85;1,43;4,86;5,18;18,18;2,46;8,36;3,93;23,71;30,86;0,07;30,86;88,23;31,77;23,45;
ARBOLEDA;1907;106;91;117;128;419;9,91;21;29,79;43,03;45,07;34,95;65,98;00:18:01;2,36;2,26;6,13;6,69;21,97;4,75;9;12;36;33;1;33;87,27;39,29;29,34;
COCCO;1526;85;2;59;66;212;7,39;12,72;0;16,24;19,06;46,33;10,58;00:18:01;1,25;1,06;3,84;4,33;13,91;0,16;4;1;15;21;0;21;33,82;25,44;19,22;
DEMARCUS ;1935;107;44;109;114;492;9,81;18,05;1,4;32,05;37,49;37,14;32,15;00:18:01;1,94;1,66;5,62;5,89;25,41;2,27;11;4;33;41;0;41;177,49;41,76;24,35;
EMERSON;1322;73;0;39;38;98;6,18;8,73;0;8,94;10,92;49,14;1,94;00:18:01;0,83;0,68;2,94;2,85;7,38;0;4;0;9;13;0;13;8,3;13,94;16,84;
GIANDONATO;1543;86;4;48;56;198;7,37;11,2;0;13,85;16,05;44,41;9,55;00:18:01;1,04;0,9;3,09;3,62;12,83;0,25;5;1;13;18;0;18;41,09;23,19;21,66;
LA ROSA ;1522;84;19;53;47;179;7,17;9,72;0;12,44;12,03;44,16;4,78;00:18:01;0,79;0,82;3,45;3,1;11,76;1,22;3;1;12;10;0;10;34,52;21,45;21,64;
LAPIA;1808;100;21;102;90;296;9;15,92;0;27,78;32,25;36,53;21,27;00:18:01;1,78;1,54;5,66;4,98;16,39;1,18;9;3;28;26;0;26;60,26;30,65;23,11;
OCCHIONI;1974;110;118;113;127;494;9,98;17,72;30,59;34,91;39,32;35,88;50,26;00:18:01;1,99;1,77;5,71;6,44;25,04;5,96;7;7;41;46;0;46;146,54;41,17;26,43;
PALESI;1839;102;94;96;113;436;9,38;18,74;13,01;24,6;49,66;40,6;40,03;00:18:01;2,7;1,34;5,24;6,12;23,69;5,12;15;3;22;42;0;42;100,71;38,84;26,62;
PINNA;2019;112;46;104;124;526;10,35;19,34;0;25,81;56,26;34,55;30,88;00:18:01;2,79;1,28;5,14;6,16;26,07;2,29;19;3;28;47;0;47;150,2;41,82;23,19;
RAGATZU;1364;76;30;81;82;224;6,9;17,8;0;27,01;32,23;53,11;22,34;00:18:01;2,36;1,98;5,91;6,04;16,39;2,2;7;4;27;30;0;30;98,91;31,22;20,85;
SANNA;1525;85;17;79;85;250;7,77;18,68;0;31,78;38,63;45,43;26,1;00:18:01;2,53;2,08;5,21;5,56;16,37;1,12;10;9;28;39;0;39;67,88;31,2;23,79;
TRAVAGLINI;1963;109;110;100;111;415;9,75;15,57;29,19;27,12;35,31;33,4;47,38;00:18:01;1,8;1,38;5,09;5,66;21,13;5,58;10;5;25;33;0;33;180,87;35,36;26,42;
UDHO;1646;91;39;82;82;265;8,16;15,32;1,83;21,2;29,12;41,96;20,86;00:18:01;1,77;1,29;4,96;5;16,11;2,38;4;2;15;33;0;33;47,37;29,5;24,8;
