;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2528;136;3;39;25;997;10,88;3,23;0;12;7,83;44,69;5,17;00:18:33;0,31;0,47;1,54;0,99;39,28;0,13;1,5;2,38;18,5;13,38;0;13,38;343,56;51,07;18,72;
ARBOLEDA;2548;137;0;48;34;1087;11,12;4,68;0;17,41;11,12;45,36;9,03;00:18:33;0,44;0,68;1,89;1,32;42,66;0;4;6;24;18;0;18;396,15;55,57;18,84;
BELLONI ;2579;139;1;48;32;1037;11,27;4,84;0;16,21;10,4;44,76;7,79;00:18:33;0,4;0,63;1,85;1,25;40,22;0,03;3;5;22;17;0;17;344,59;53,74;19,16;
COCCO;2548;137;0;41;28;1052;10,96;3,14;0;13,61;13,38;45,4;5,68;00:18:33;0,53;0,53;1,6;1,11;41,3;0;4;2;18;20;0;20;330,01;52,5;18,64;
DEMARCUS ;2672;144;18;31;28;1349;11,36;1,96;0;9,74;7,18;44,21;2,29;00:18:33;0,27;0,36;1,18;1,05;50,48;0,68;0;1;19;13;0;13;998,32;60,24;19,85;
EMERSON;2522;136;0;30;16;780;10,7;1,74;0;8,39;2,27;43,2;3,48;00:18:33;0,09;0,33;1,19;0,63;30,95;0;0;1;13;9;0;9;76,13;41,35;17,63;
GIANDONATO;2250;121;0;23;18;698;9,62;2,6;0;4,14;3,25;46,45;0,71;00:18:33;0,14;0,18;1,03;0,79;31,01;0;0;0;10;5;0;5;3,16;42,81;16,17;
LA ROSA ;2518;136;1;47;25;1042;10,91;3,89;0;14,14;8,89;45,33;10,22;00:18:33;0,35;0,56;1,85;0,99;41,38;0,06;0;0;17;11;0;11;376,83;54,13;19,85;
LAPIA;2684;145;14;44;35;1232;11,68;4,37;0;13,53;13,57;44,06;9,02;00:18:33;0,51;0,5;1,63;1,32;45,91;0,51;6;3;19;16;0;16;773,7;57,97;19,63;
OCCHIONI;2524;136;2;32;19;990;10,69;1,58;0;8,13;6,33;45,47;2,78;00:18:33;0,25;0,32;1,28;0,75;39,22;0,08;0;0;15;11;0;11;325,8;49,08;19,41;
PALESI;2566;138;6;46;24;1051;11,09;3,63;0;13,09;8,57;45,17;7,48;00:18:33;0,33;0,51;1,79;0,92;40,95;0,23;0;2;23;14;0;14;432,16;53,24;19,67;
PINNA;2520;136;10;45;23;1076;10,83;3,12;0;15,03;6,35;46,11;7,67;00:18:33;0,25;0,6;1,77;0,93;42,7;0,42;0;4;19;10;0;10;511,1;54,85;19,93;
PISANO;2473;133;0;37;28;844;10,63;3,11;0;8,69;8,28;43,54;0,5;00:18:33;0,33;0,35;1,5;1,12;34,13;0;3;0;21;16;0;16;28,91;45,7;16,91;
RAGATZU;2528;136;2;37;20;1027;10,89;3,28;0;8,78;2,75;44,95;3,33;00:18:33;0,11;0,35;1,46;0,77;40,62;0,06;0;2;20;9;0;9;395,94;53,42;19,1;
SANNA;2378;128;0;30;24;792;10,14;2,35;0;11,28;8,98;46,04;2,06;00:18:33;0,38;0,47;1,27;1,03;33,32;0;3;4;17;16;0;16;82,18;43,91;17,85;
TRAVAGLINI;2559;138;1;42;18;1039;10,97;2,81;0;15,35;5,62;45,12;5,73;00:18:33;0,22;0,6;1,66;0,7;40,61;0,03;0;4;19;11;0;11;369,32;52,71;19,05;
UDHO;2573;139;0;42;31;850;11,22;4,6;0;14,46;8,35;39,83;4,91;00:18:33;0,32;0,56;1,62;1,19;33,03;0;1;4;20;18;0;18;52,72;45,94;17,73;
