;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;855;42;0;40;28;76;3,6;11,31;0;8,42;4,93;76,57;2,77;00:20:28;0,58;0,98;4,69;3,29;8,85;0;0,06;0,69;6,56;1,44;0;1,44;6,01;16,22;16,1;
ARBOLEDA;823;40;0;42;30;80;3,48;11,65;0;7,77;4,76;77,34;1,62;00:20:28;0,58;0,94;5,13;3,62;9,7;0;1;0;7;2;0;2;0;17,72;15,09;
BELLONI ;856;42;0;49;33;93;3,69;14,01;0;12,14;5,27;76,53;8,76;00:20:28;0,62;1,42;5,71;3,8;10,92;0;0;2;13;2;0;2;9,76;21,2;17,53;
COCCO;785;38;0;32;28;45;3,3;11,28;0;6,52;4,53;77,25;1;00:20:28;0,58;0,83;4,13;3,53;5,7;0;0;2;3;1;0;1;0;11,19;14,87;
DEMARCUS ;883;43;0;31;23;94;3,64;9;0;4,92;3,04;76,35;0,43;00:20:28;0,34;0,56;3,49;2,62;10,63;0;0;0;5;0;0;0;0;16,6;15,88;
EMERSON;942;46;0;51;38;111;4,02;12,89;0;11,92;4,48;75,54;3,04;00:20:28;0,48;1,27;5,44;4,07;11,8;0;0;2;8;0;0;0;34,76;20,29;17,98;
GIANDONATO;790;39;0;34;27;53;3,31;10,72;0;6,98;4,2;77,26;1,22;00:20:28;0,53;0,88;4,35;3,48;6,66;0;0;0;3;1;0;1;0;12,18;15,35;
LA ROSA ;841;41;0;26;19;15;3,42;7,76;0;6,14;4,62;75,15;0,72;00:20:28;0,55;0,73;3,1;2,29;1,76;0;0;0;1;0;0;0;0;4,11;13,67;
LAPIA;897;44;0;39;29;91;3,76;10,97;0;9,73;5,28;75,57;2,73;00:20:28;0,59;1,08;4,34;3,24;10,18;0;0;0;6;1;0;1;11,7;18,05;17,14;
OCCHIONI;825;40;0;26;17;55;3,36;7,82;0;3,05;2,21;77,82;0;00:20:28;0,27;0,37;3,12;2,04;6,72;0;0;0;5;0;0;0;0;11,93;15,37;
PALESI;832;41;0;42;25;83;3,49;11,02;0;4,84;2,54;80,08;1,98;00:20:28;0,31;0,58;5,08;3,03;9,96;0;0;0;8;3;0;3;6,15;18,55;17;
PINNA;869;42;0;51;32;102;3,72;13,36;0;13;6,56;76,68;9,09;00:20:28;0,75;1,5;5,92;3,7;11,71;0;0;0;8;1;0;1;11,44;22,16;17,54;
PISANO;852;42;0;48;27;91;3,62;12,55;0;8,58;5,3;75,15;1,34;00:20:28;0,62;1,01;5,69;3,12;10,65;0;0;1;11;2;0;2;1,41;19,65;16,58;
RAGATZU;861;42;0;39;26;50;3,61;10,73;0;8,62;5,3;75,11;1,17;00:20:28;0,62;1;4,55;3,04;5,81;0;0;1;5;1;0;1;0;11,71;15,25;
SANNA;856;42;0;46;38;111;3,67;13,44;0;9,84;8,74;76,76;1,89;00:20:28;1,02;1,15;5,36;4,4;12,97;0;0;1;6;3;0;3;14,06;21,56;17,54;
TRAVAGLINI;880;43;0;33;23;52;3,63;9,28;0;6,94;4,7;74,41;0;00:20:28;0,53;0,79;3,8;2,62;5,96;0;0;0;5;1;0;1;0;11,02;13,67;
UDHO;880;43;0;51;36;92;3,81;14,42;0;13,65;7,36;78,05;9,35;00:20:28;0,84;1,55;5,8;4,08;10,45;0;0;2;11;5;0;5;6,85;21,67;17,14;
