;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1137;51;0;61;47;95;4,48;13,92;0;19,37;11,78;71,83;4,97;00:22:23;1,03;1,69;5,36;4,1;8,26;0,03;1,88;3,94;26,62;17,94;0;17,94;2,37;19,07;16,39;
ARBOLEDA;1187;53;0;81;71;159;4,82;17,53;0;25,35;18,58;70,34;8,84;00:22:23;1,56;2,13;6,8;5,99;13,35;0;3;9;34;24;0;24;5,01;27,99;16,84;
BELLONI ;1170;52;0;70;50;113;4,6;13,84;0;16,15;14,01;70,63;4,22;00:22:23;1,2;1,38;6,02;4,3;9,66;0;2;5;25;16;0;16;0;21,43;15,84;
COCCO;961;43;0;39;27;47;3,66;10,19;0;8,37;4,77;78,16;1,67;00:22:23;0,5;0,87;4,04;2,8;4,89;0;1;1;11;9;0;9;0,09;11,07;16;
DEMARCUS ;1264;56;0;69;57;121;5,03;15,17;0;22,49;15,73;66,78;5,8;00:22:23;1,24;1,78;5,46;4,49;9,57;0;5;6;25;25;0;25;2,29;21,66;16,84;
EMERSON;1338;60;3;67;54;134;5,22;12,87;0;20,9;14,34;67,53;8,38;00:22:23;1,07;1,56;4,99;4,01;10,02;0,26;3;4;31;26;0;26;15,96;20,89;19,71;
GIANDONATO;1135;51;0;56;44;82;4,41;12,42;0;16,3;10,4;71,84;2,38;00:22:23;0,92;1,44;4,91;3,84;7,21;0;1;2;25;18;0;18;0;16,58;13,98;
LA ROSA ;1077;48;0;38;29;49;4,07;9,2;0;7,93;4,75;74,21;1,1;00:22:23;0,44;0,74;3,51;2,72;4,53;0;0;1;12;15;0;15;0;10,6;13,64;
LAPIA;1218;54;0;66;44;94;4,76;13;0;19,78;10,69;67,36;1,62;00:22:23;0,88;1,62;5,43;3,64;7,71;0;2;2;34;22;0;22;0,56;17,72;16,24;
OCCHIONI;1159;52;2;64;42;102;4,54;13,2;0;21,09;6,73;72,7;5,92;00:22:23;0,58;1,82;5,52;3,67;8,77;0,18;0;5;28;7;0;7;2,51;20,93;20,88;
PALESI;1099;49;0;62;56;110;4,43;16,49;0;24,69;16,03;74,23;6,54;00:22:23;1,46;2,25;5,68;5,11;10;0;1;8;30;27;0;27;1,03;23,05;16,35;
PINNA;1221;55;0;80;65;128;4,93;16,71;0;27,92;14,41;70,75;7,18;00:22:23;1,18;2,29;6,51;5,29;10,51;0;0;5;38;27;0;27;0;24,33;15,73;
PISANO;1053;47;0;62;41;73;4,15;14,17;0;17,9;9,49;73,25;4,13;00:22:23;0,9;1,7;5,89;3,92;6,9;0;3;3;26;17;0;17;0;17,15;15,29;
RAGATZU;980;44;1;44;37;45;3,82;12,75;0;10,82;9,43;75,2;4,54;00:22:23;0,96;1,1;4,49;3,81;4,56;0,07;2;0;11;11;0;11;5,57;11,27;19,27;
SANNA;1123;50;0;73;55;105;4,62;18,99;0;30,78;24,14;69,92;6,62;00:22:23;2,15;2,74;6,51;4,94;9,37;0;7;7;36;26;0;26;0;23,26;14,42;
TRAVAGLINI;1092;49;0;46;32;75;4,18;10,84;0;17,58;5,34;72,47;3,07;00:22:23;0,49;1,61;4,18;2,94;6,83;0;0;3;23;8;0;8;0;16,8;14,12;
UDHO;1108;49;0;64;45;91;4,42;15,42;0;21,93;9,65;73,84;7,48;00:22:23;0,87;1,98;5,73;4,09;8,25;0;0;2;37;9;0;9;4,85;20,35;17,09;
