;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2386;107;93;115;116;485;9,53;14,9;13,74;31,82;41,12;33,9;45,45;00:22:17;1,71;1,33;4,76;4,81;19,82;3,7;9,4;5;34;35,87;0,27;35,87;154,46;33,79;25,4;
ARBOLEDA;2607;117;132;173;165;614;10,91;20,52;16,23;58,56;69,27;29,5;82,25;00:22:17;2,66;2,25;6,64;6,33;23,54;5,08;18;15;59;54;0;54;165,73;40,91;25,87;
BELLONI ;2783;125;35;127;139;633;11,12;15,12;0;27,88;46,05;25,24;33,78;00:22:17;1,65;1;4,57;5;22,75;1,27;9;3;36;41;0;41;237,78;37,43;22,93;
COCCO;2146;96;20;90;96;347;8,41;12,88;0;25,86;28,61;37,73;20,74;00:22:17;1,33;1,2;4,21;4,46;16,19;0,95;7;2;24;30;0;30;122,05;29,05;20,43;
DEMARCUS ;2649;119;234;145;148;720;10,8;17,38;28,67;34,4;50,64;31,04;77,11;00:22:17;1,91;1,3;5,47;5,59;27,17;8,82;15;6;33;43;1;43;249,83;42,97;28,27;
EMERSON;2053;92;59;57;61;260;7,78;9,09;21,62;13,34;22,15;37,6;16,11;00:22:17;1,08;0,65;2,77;2,98;12,64;2,89;6;2;16;21;0;21;48,7;21,18;26,88;
GIANDONATO;2317;104;17;73;81;343;8,91;10,75;0;19,53;25,84;31,1;15,54;00:22:17;1,12;0,84;3,15;3,5;14,8;0,74;4;4;25;28;0;28;102,71;25,54;22,64;
LA ROSA ;2560;115;145;110;102;516;10;12,44;8,38;23,2;27,75;29,1;50,89;00:22:17;1,08;0,91;4,29;3,98;20,14;5,65;7;6;30;27;0;27;198,06;33,55;26,1;
LAPIA;2395;107;50;114;110;430;9,5;14,21;6,96;28,9;31,57;33,02;29,64;00:22:17;1,32;1,21;4,75;4,59;17,94;2,11;6;2;30;39;0;39;118,73;31,08;25,11;
OCCHIONI;2474;111;147;137;133;574;10,05;17,02;32,18;41,95;48,79;32,84;49,57;00:22:17;1,97;1,7;5,52;5,39;23,2;5,92;9;8;49;43;1;43;162,38;38,99;27,1;
PALESI;2618;117;151;120;130;551;10,48;15,22;59,3;29,13;55,98;30,58;64,55;00:22:17;2,14;1,11;4,59;4,96;21,05;5,76;17;3;34;41;2;41;190,43;34,93;28,88;
PINNA;2851;128;158;150;160;775;11,63;17,46;11,52;46,73;64,05;26,34;76,31;00:22:17;2,25;1,64;5,28;5,6;27,17;5,55;15;8;46;57;0;57;308,23;43,32;25,25;
RAGATZU;1891;85;38;91;82;272;7,44;13,33;4,93;25,03;28,3;44,42;33,1;00:22:17;1,5;1,32;4,82;4,34;14,38;2,02;5;3;31;24;0;24;83,2;27,57;25,98;
SANNA;1496;67;26;73;75;247;6,07;16,84;0;27,19;31,62;59,57;21,59;00:22:17;2,11;1,82;4,89;4,99;16,53;1,76;8;3;26;27;0;27;69,39;30,23;23,93;
TRAVAGLINI;2700;121;120;152;146;592;10,91;16,4;4,07;47,06;47,66;26,22;70,58;00:22:17;1,77;1,74;5,63;5,41;21,92;4,44;8;7;46;36;0;36;151,25;38,24;24,71;
UDHO;2245;101;57;107;114;401;8,96;14,9;12,26;28,48;38,56;34,15;40,06;00:22:17;1,72;1,27;4,78;5,07;17,84;2,52;7;3;25;27;0;27;108,43;31,92;26,88;
