;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4720;102;220;182;186;950;8,86;12,05;47,1;48,29;58,43;37,46;82,64;00:46:12;1,23;1,02;3,84;3,92;19,95;4,61;13,6;7,6;47,73;52,93;1,27;52,93;342,61;32,78;27,34;
ARBOLEDA;4975;107;316;224;262;1165;9,57;15,32;73,45;73,18;85,19;35,16;125,67;00:46:24;1,71;1,47;4,51;5,27;23,41;6,36;15;15;71;67;2;67;469,93;38,11;29,01;
BELLONI ;5263;113;169;200;211;1192;9,84;12,08;0;44,04;64,71;33,91;49,16;00:46:24;1,23;0,84;3,8;4;22,66;3,21;17;10;62;74;0;74;437,41;35,77;23,8;
COCCO;4254;92;168;148;145;776;7,83;10,34;42,35;39,89;38,1;43,77;69,63;00:46:24;0,9;0,94;3,47;3,41;18,24;3,95;6;5;39;37;2;37;340,8;30,52;28,56;
DEMARCUS ;4869;105;393;224;253;1270;9,41;15,92;74,93;71,52;93,81;39,87;115,38;00:46:24;1,93;1,47;4,61;5,2;26,08;8,06;31;10;64;85;2;85;463,85;40,55;27,95;
EMERSON;4332;93;102;93;102;561;7,74;7,17;1,68;17,22;31,6;35,74;29,27;00:46:24;0,73;0,4;2,16;2,35;12,96;2,36;7;2;22;31;0;31;203,46;21,46;24,43;
GIANDONATO;4542;98;57;122;131;691;8,24;8,72;0;29,38;33,55;36,74;25,95;00:46:24;0,74;0,65;2,68;2,89;15,21;1,25;8;4;36;39;0;39;181,6;25,49;23,59;
LA ROSA ;4744;110;215;159;161;1018;9,34;10,13;17,94;33,71;36,08;34,36;50,71;00:43:16;0,76;0,71;3,36;3,39;21,46;4,53;6;4;45;49;1;49;356,82;33,97;24,99;
LAPIA;4484;97;108;173;145;801;8,31;11,1;0;34,29;39,81;42,43;38,31;00:46:24;0,89;0,76;3,87;3,23;17,87;2,42;12;2;41;43;0;43;261,78;29,86;22,51;
OCCHIONI;4929;106;118;177;176;1051;9,12;10,99;13,96;40,83;47,33;36,97;52,46;00:46:24;0,96;0,83;3,59;3,57;21,32;2,4;6;4;43;53;0;53;435,12;34,78;27,29;
PALESI;4965;107;305;173;192;1026;9,24;11,64;101,48;39,43;74,11;37,02;99,38;00:46:24;1,49;0,79;3,48;3,86;20,66;6,15;23;6;51;51;2;51;372,21;33,28;30,18;
PINNA;4954;107;385;207;210;1117;9,37;13,45;64,63;63,95;65,93;35,42;125,6;00:46:24;1,33;1,29;4,18;4,23;22,55;7,77;12;13;51;56;0;56;465,68;36,55;26,47;
RAGATZU;4119;89;210;180;173;710;7,73;12,59;61,33;45,92;60,51;42,38;99,1;00:46:24;1,47;1,11;4,38;4,2;17,24;5,09;15;6;50;48;2;48;267,91;30,24;28,46;
SANNA;4846;104;311;211;216;1002;9,23;14,22;134,41;72,27;73,91;35,12;127,18;00:46:24;1,52;1,49;4,36;4,46;20,68;6,42;21;8;45;57;5;57;316,82;34,27;30,66;
TRAVAGLINI;4998;108;250;258;232;1116;9,55;14,59;71,8;70,42;69,34;36,15;133,71;00:46:24;1,39;1,41;5,16;4,64;22,33;4,99;13;21;63;57;2;57;348,97;37,58;31,97;
UDHO;4525;97;189;179;182;755;8,48;12,34;48,47;48,31;62,51;36,7;98,08;00:46:24;1,38;1,07;3,95;4,03;16,69;4,17;12;4;33;47;1;47;216,76;29,35;30,29;
