;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;6174;96;732;189;150;2507;8,02;7,81;10,95;58,92;56,32;54,93;42,4;01:04:17;0,89;0,94;3,04;2,39;40,41;11,42;17,07;14,2;67,93;61,07;0,2;61,07;2237,52;50,3;24,16;
ARBOLEDA;6479;101;1022;225;193;2737;8,59;10,08;8,22;81,87;82,31;51,47;58,64;01:04:17;1,27;1,26;3,47;2,98;42,25;15,77;40;27;87;83;0;83;2603,56;52,79;27,1;
BELLONI ;6596;103;887;256;195;2722;8,71;9,67;0;83,17;73,58;50,49;63,75;01:04:17;1,12;1,26;3,89;2,96;41,27;13,45;21;25;97;82;0;82;2674,73;52,38;22,03;
COCCO;5526;86;983;138;101;2585;7,03;5,76;0;37,27;38,84;65,25;15,42;01:04:17;0,7;0,67;2,5;1,83;46,77;17,79;10;7;55;43;0;43;2565,12;54,69;21,98;
DEMARCUS ;6849;107;1721;225;201;3324;8,99;9;23,02;75,04;89,24;49,53;83,3;01:04:17;1,3;1,1;3,29;2,93;48,53;25,12;29;18;74;71;0;71;2272,71;56,75;28,34;
EMERSON;6123;95;275;140;111;2160;7,74;5,01;0;36,07;34,68;52,07;9,31;01:04:17;0,57;0,59;2,29;1,82;35,27;4,49;13;4;47;51;0;51;2039,82;43,06;23,59;
GIANDONATO;5261;82;2;107;85;1696;6,7;5,83;0;24,75;22,71;60,53;6,38;01:04:17;0,43;0,47;2,04;1,62;32,23;0,03;3;3;30;24;0;24;1127,08;42,84;19,72;
LA ROSA ;5858;91;34;146;101;2009;7,48;6,04;0;34,77;30,17;56,62;18,11;01:04:17;0,51;0,59;2,5;1,72;34,29;0,58;8;9;56;37;0;37;1684,16;44,56;21,84;
LAPIA;6765;105;1952;227;201;3217;8,86;8,82;109,49;73,9;78;50,83;74,58;01:04:17;1,15;1,09;3,35;2,98;47,56;28,85;26;23;76;64;3;64;1991,43;56,56;26,14;
LELLA ;6881;107;1336;253;203;3055;9,07;9,52;0;86,94;83,01;49,11;61,6;01:04:17;1,21;1,26;3,68;2,95;44,41;19,41;17;16;89;90;0;90;2607,58;54,4;23,29;
MICHELOTTI;6732;105;580;213;151;2514;8,75;7,95;0;71,39;65,55;47,68;57,98;01:04:17;0,97;1,06;3,17;2,25;37,35;8,62;23;22;64;63;0;63;2549,35;47,29;23,61;
OCCHIONI;6204;96;424;201;179;2657;8,11;8,58;0,56;63,45;72,79;55,49;38,47;01:04:17;1,17;1,02;3,23;2,88;42,82;6,83;27;13;76;79;0;79;2687,91;52,76;24,06;
PALESI;5740;89;713;164;108;2403;7,4;7,13;0;54,95;42,43;61,76;29,22;01:04:17;0,74;0,96;2,86;1,89;41,86;12,42;14;11;69;59;0;59;2474,81;52,1;22,64;
RAGATZU;5558;86;319;165;129;2282;7,2;7,59;0;44,04;33,89;61,46;26,47;01:04:17;0,61;0,79;2,96;2,32;41,05;5,74;6;11;61;44;0;44;2484,58;52,1;21,67;
TRAVAGLINI;6095;95;565;202;163;2365;7,94;8,27;10,45;62,02;60,3;53,72;39,5;01:04:17;0,99;1,02;3,31;2,67;38,8;9,28;13;13;78;79;0;79;2335,18;48,67;26,78;
UDHO;5945;92;168;177;125;1885;7,72;7,88;12,57;54,17;37,24;57,99;53,24;01:04:16;0,63;0,91;2,98;2,11;31,71;2,82;6;11;60;47;0;47;1464,71;43,5;29,63;
