;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;713;68;8;21;17;62;5,73;8,06;0;4,03;3,17;56,25;3,48;00:10:24;0,44;0,56;2,94;2,37;8,64;1,12;0,4;1,2;5,93;4,2;0;4,2;27,58;15,95;20,17;
ARBOLEDA;708;68;0;16;13;57;5,66;7,4;0;3,67;1,55;54,72;1,23;00:10:24;0,22;0,52;2,24;1,86;8,08;0;0;2;6;5;0;5;6,54;14,67;16,94;
BELLONI ;694;67;14;32;24;73;5,75;11,31;0;8,43;4,26;59,38;7,04;00:10:24;0,61;1,21;4,61;3,42;10,52;2,08;0;3;11;6;0;6;29,34;20,23;22,62;
COCCO;696;67;10;23;16;65;5,64;8,97;0;4,95;4,64;58,26;4,63;00:10:24;0,67;0,71;3,33;2,32;9,32;1,39;1;1;8;3;0;3;16,5;16,97;21,08;
DEMARCUS ;700;67;10;17;14;60;5,57;7,04;0;4,67;2,08;56,87;2,61;00:10:24;0,3;0,67;2,48;1,94;8,53;1,41;0;0;6;3;0;3;38,85;15,52;20,64;
EMERSON;757;73;36;25;30;86;6,23;10,65;0;6,62;6,26;54,76;7,4;00:10:24;0,83;0,88;3,29;3,95;11,35;4,69;1;2;9;8;0;8;38,8;20,38;22,87;
GIANDONATO;616;59;0;13;12;36;4,88;6,58;0;2,35;1,34;62,49;0,76;00:10:24;0,22;0,38;2,19;1,88;5,77;0;0;0;4;2;0;2;1,21;10,95;16,1;
LA ROSA ;712;68;6;15;9;58;5,62;6,12;0;2,58;0,8;55,08;0,32;00:10:24;0,11;0,36;2,14;1,29;8,17;0,85;0;0;5;1;0;1;28,33;14,62;19,95;
LELLA ;753;72;16;20;21;75;6,05;8;0;3,02;4,24;55,49;2,68;00:10:24;0,56;0,4;2,64;2,76;9,97;2,09;1;1;5;6;0;6;28,92;17,27;23,35;
OCCHIONI;715;69;3;20;18;63;5,7;7,15;0;3,3;2,55;57,62;1,93;00:10:24;0,36;0,46;2,79;2,51;8,79;0,47;1;0;9;5;0;5;40,24;16,12;19,43;
PALESI;667;64;2;17;14;49;5,28;6,31;0;2,08;2,7;58,74;1,95;00:10:24;0,4;0,31;2,51;2,05;7,4;0,37;2;1;3;3;0;3;33,45;12,82;20,05;
PISANO;727;70;8;23;16;66;5,86;8,36;0;4,22;2,92;54,3;2,08;00:10:24;0,4;0,58;3,12;2,23;9,12;1,14;0;2;4;5;0;5;22,29;16,68;20,66;
RAGATZU;751;72;11;29;16;61;6,11;9,42;0;5,88;3,51;53,21;9,63;00:10:24;0,47;0,78;3,86;2,18;8,18;1,45;0;3;8;4;0;4;31,36;16,99;21,5;
RENAULT ;740;71;0;17;18;57;5,9;7,15;0;1,38;4,31;51,72;2,43;00:10:24;0,58;0,19;2,23;2,41;7,72;0;0;0;1;4;0;4;31,81;13,83;18,73;
TRAVAGLINI;720;69;1;20;16;53;5,7;6,39;0;0,7;3,41;53,67;0,52;00:10:24;0,47;0,1;2,77;2,27;7,3;0,12;0;0;5;5;0;5;22,61;13,48;19,12;
UDHO;731;70;5;28;18;69;5,98;9,98;0;6,52;3,05;57,45;7;00:10:24;0,42;0,89;3,85;2,52;9,38;0,68;0;3;5;3;0;3;43,43;18,65;19,54;
