;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;6159;92;336;248;259;1255;8;12,7;74,36;68,54;87,69;45,3;104,23;01:07:13;1,41;1,1;3,99;4,18;20,11;5,42;20,69;10,62;72,23;78;1,62;78;444,2;32,47;28,83;
ARBOLEDA;6378;95;367;305;338;1472;8,52;15,9;63,73;91,46;138,85;43,51;148,35;01:07:10;2,18;1,43;4,79;5,3;23,07;5,76;42;9;95;108;0;108;528,98;36,65;30,66;
BELLONI ;7160;107;396;324;331;1709;9,42;14,22;56,72;93,92;110,09;37,8;127,24;01:07:13;1,54;1,31;4,52;4,62;23,87;5,53;26;20;106;105;1;105;718,03;37,97;29,87;
COCCO;5410;80;337;201;236;1110;6,98;12,14;21,91;52,02;74,98;52,81;76,49;01:07:13;1,39;0,96;3,72;4,37;20,53;6,22;11;4;51;74;1;74;450,45;32,8;26,66;
DEMARCUS ;6265;93;571;322;321;1599;8,41;16,53;113,8;96,2;120,21;47,45;138,78;01:07:13;1,92;1,54;5,15;5,12;25,52;9,11;35;21;105;104;4;104;598,31;40,12;28,95;
EMERSON;5311;79;169;141;170;710;6,65;8,75;46,98;26,94;43,57;49,99;45,57;01:07:13;0,82;0,51;2,65;3,21;13,36;3,18;7;3;38;47;1;47;234,78;21,97;27,9;
GIANDONATO;5461;81;67;134;152;663;6,8;8,21;14,61;34,82;39,4;48,13;21,49;01:07:13;0,72;0,64;2,46;2,79;12,14;1,23;8;4;45;43;0;43;160,21;20,53;27,26;
LA ROSA ;6465;96;228;187;192;1312;8,14;9,37;22,27;42,36;46,48;43,95;42,17;01:07:13;0,72;0,66;2,89;2,97;20,3;3,53;10;3;49;42;0;42;456,86;31,16;25,4;
LELLA ;6529;97;365;332;330;1533;8,76;16,49;81,37;113,51;124,99;43,56;150,86;01:07:13;1,91;1,74;5,08;5,05;23,48;5,58;33;23;100;108;2;108;534,66;38,5;30,39;
OCCHIONI;6825;102;289;284;294;1599;8,88;13,05;39,89;72,09;97,29;41,62;85,86;01:07:13;1,43;1,06;4,16;4,31;23,42;4,23;23;17;96;101;1;101;677,86;37,09;29,98;
PALESI;6296;94;445;245;235;1222;8,13;12,13;141,1;68,81;82,7;45,34;135,93;01:07:13;1,31;1,09;3,88;3,74;19,41;7,07;21;14;65;78;2;78;347,1;31,61;29,16;
RAGATZU;5348;80;348;233;245;976;6,97;13,17;77,27;60,89;79,9;50,05;121,62;01:07:13;1,49;1,14;4,35;4,59;18,25;6,51;14;5;60;58;1;58;374,83;30,86;27,61;
TRAVAGLINI;6484;96;319;265;251;1294;8,34;11,75;79,21;63,49;77,93;42,35;94,04;01:07:13;1,2;0,98;4,09;3,88;19,96;4,92;12;6;70;75;3;75;401,69;32,34;30,43;
UDHO;6137;91;468;253;273;1116;8,01;13,37;207,81;74,49;103,6;42,35;166,66;01:07:13;1,69;1,21;4,12;4,45;18,18;7,62;27;9;59;71;5;71;290,78;30,47;30,47;
